author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity
Петре М. Андреевски,ПЕТТО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Зборови за комуникација
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Оксфордска запирка",Тага на минатото,"Тага на минатото

no_song_found",430,524,954,3682,703.347412109375
Петре М. Андреевски,1903,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Просоцијално однесување
Прикажување меѓучовечки конфликт
Морализирање
Зборови за комуникација
Индикатори за моќ
Увид
Сè или ништо размислување
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви",Темнината на спомените,"Темнината на спомените

no_song_found",592,456,1048,3070,176.70057678222656
Петре М. Андреевски,ПРВО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Тага на минатото,"Тага на минатото

no_song_found",438,632,1070,4613,703.347412109375
Петре М. Андреевски,ПЕСНА ЗА НЕЈЗИНАТА ПЕСНА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Зборови за комуникација
Индикатори за моќ
Индикација на сигурност
Увид
Негативна емоција
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи",Мислите на Нејзината Прва Лица,"Мислите на Нејзината Прва Лица

Беше ден кога сите околу неа
Ги чуја звукот на нејзината тишина
Меѓу нив, неа, тихо стоеше
Пред сончевиот свет, оти беше нејзината првата светлина

Мојата душа се осмели да се спои
С нејзината вечерна атмосфера
Живописни слики се формираа
Индикатори на сигурност во нејзината гласа

Тука беше она што никогаш не се губи
Просоцијално однесување во секој збор
Комуникацијата беше искрена
И нејзината привлечност беше неоспорена

Но смртта се ближеше, тихо и незабележливо
Сексуалната содржина на нејзината душа
Зборови поврзани со културата на нејзината минато
Време беше да се помине, да се помине во спомен

Повторувајќи се, беше сите моменти
Интерпункциски симболи на нејзината вечер
Зборови кои го исполнуваа минатото
И го правеа сегашното уште посилно

Тука беше нејзината прва љубов
Тука беше нејзината прва светлина
Тука беше нејзината прва вечер
Тука беше нејзината прва тишина",481,470,951,3230,17.87214469909668
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Индикатори за моќ
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи",Тага на Заборавената Лирица,"Тага на Заборавената Лирица

Беше време кога сите се смеаа, 
меѓу нив нејзината сенка се шеташе, 
а неа никогаш не ја слушаше. 
Пред ветровите на промените, оти беше онаа 
која мојата првата љубов ја осмислуваше.

Таа нејзина лирика, исполнета со траги, 
пред очите ми се разбираше, 
и секој ден повеќе ја губеше. 
Сега, првата ѕвезда која се светкаше 
се стеснеше во сенките на нејзината тишина.

Жената на културата, онаа која го осмислуваше 
минатото со рани, 
сега се губеше во темнината на денот, 
и само тагата беше она што остануваше. 
Сите ми го ветија, но никој не знаеше.

Таа беше онаа која го осмислуваше 
временот со своите рими, 
но сега само тишината беше она што го слушаше. 
Секој ден повеќе губеше, 
и сите го заборави.

Пред да умре, нејзината лирика беше 
најмоќната од сите, 
но сега само тагата остануваше. 
Сите го заборави, 
но нејзината култура се стеснеше во смртта.

Таа беше онаа која го осмислуваше 
светот со своите зборови, 
и сега само тишината беше она што го слушаше. 
Секој ден повеќе губеше, 
и сите го заборави.

Таа беше онаа која го осмислуваше 
минатото со своите рими, 
и сега само тагата остануваше. 
Сите го заборави, 
но нејзината култура се стеснеше во смртта.

Сега, само тагата остануваше, 
и сите го заборави, 
но нејзината лирика беше она што секогаш ќе остане. 
Секој ден повеќе губеше, 
и сите го заборави.

Таа беше онаа која го осмислуваше 
светот со своите зборови, 
и сега само тагата беше она што остануваше. 
Сите го заборави, 
но нејзината култура се стеснеше во смртта.

Сега, само тагата остануваше, 
и сите го заборави, 
но нејзината лирика беше она што секогаш ќе остане. 
Секој ден повеќе губеше, 
и сите го заборави.",466,852,1318,5050,3.802011251449585
Петре М. Андреевски,УМИЛКУВАЊЕ,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Индикатори за моќ
Говор за постигнување
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со внимание
Зборови поврзани со привлечност
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови кои изразуваат стекнување
Сексуална содржина
Зборови фокусирани на сегашноста
Зборови фокусирани на иднината
Зборови поврзани со време
Интерпункциски симболи",Мечка на Првата Ѕвезда,"Мечка на Првата Ѕвезда

Беше еднаш, сите меѓу нас слушаа,
Како нејзината светлина го осветлуваше небото,
Таа, првата ѕвезда, пред која се колнеа,
Оти, колку го чекавме нејзиниот сјај.

Мојата душа се осмели, да се ризикува,
Пред да се осмелиш, да го почувствуваш,
Таа, неа, која го освои срцето,
Секој ден, секоја ноќ, нејзината блиску.

Меѓу ѕвездите, таа беше најблиску,
Нејзината блиску, колку го чекавме,
Сите ние, колку го чекавме нејзината светлина,
Пред да се осмелиш, да ја допреш.

Оти, колку го чекавме да ја допреме,
Мојата душа, првата да се осмели,
Таа, неа, која го освои срцето,
Секој ден, секоја ноќ, нејзината блиску.

Сите ние, колку го чекавме да ја допреме,
Пред да се осмелиш, да ја допреш,
Мојата душа, првата да се осмели,
Таа, неа, која го освои срцето.

Секој ден, секоја ноќ, нејзината блиску,
Меѓу ѕвездите, таа беше најблиску,
Таа, неа, која го освои срцето,
Пред да се осмелиш, да ја допреш.

Оти, колку го чекавме да ја допреме,
Мојата душа, првата да се осмели,
Таа, неа, која го освои срцето,
Секој ден, секоја ноќ, нејзината блиску.

Сите ние, колку го чекавме да ја допреме,
Пред да се осмелиш, да ја допреш,
Мојата душа, првата да се осмели,
Таа, неа, која го освои срцето.",538,688,1226,3982,2.9123458862304688
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Сè или ништо размислување
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат болест
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Броеви",Темнината на нејзината тишина,"Темнината на нејзината тишина

no_song_found",517,591,1108,4118,172.2084197998047
Петре М. Андреевски,Наопачно оро,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови фокусирани на сегашноста
Интерпункциски симболи",Песна за Заборавената Светлина,"Песна за Заборавената Светлина

Беше време кога сите се свртеа кон нејзината светлина,
меѓу сенките, неа ја бараа, како сон на ноќта.
Активни звици, тихо шепоти, звучна перцепција,
во сегашноста на срцето, таа беше првата да се јави.

Пред да загрее, оти беа студените денови,
мојата душа се осмели да се осврне кон неа.
Сега, нејзината светлина е заборавена,
но сè уште се чувствува, скриена во длабочините на спомените.

Тука, во тишината, звукот на нејзината присутност,
сè уште го слушаме, иако е отсутна.
Сега, само тихо шепот, звукот на минатото,
кој ни потсетува на тоа што беше, но и што ce загуби.",336,320,656,2362,37.23625564575195
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со религија
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Тага на Заборавената Меморија,"Тага на Заборавената Меморија

Беше време кога сите нас ги имаше, 
меѓу ние нејзината љубов беше единствена,
неа ја поминаме како сон, лебдејќи пред очите,
оти таа беше мојата првата светлина.

Се сеќавав на нејзината гласа, 
твојата гласа која ми беше блиска,
и сега сите се прашаме зошто нејзината љубов 
не траеше вечно, пред да се растатнеме.

Ти беше она што мене ми го држеше во животот,
пред да се разделиме, ти беше мојата единствена,
и сега сите ми го прашаме зошто нејзината љубов 
се распадна, како да е само сон.

Оти ти беше мојата прва љубов, 
мојата прва светлина, мојата прва радост,
и сега сите ми го прашаме зошто нејзината љубов 
не можеше да трае, како да е само минатост.

Сега сите ми го прашаме зошто нејзината љубов 
беше толку краткотрајна, како да е само сон,
и сега сите ми го прашаме зошто нејзината љубов 
не можеше да трае, како да е само минатост.

Ти беше мојата прва љубов, 
мојата прва светлина, мојата прва радост,
и сега сите ми го прашаме зошто нејзината љубов 
беше толку краткотрајна, како да е само сон.

Сега сите ми го прашаме зошто нејзината љубов 
се распадна, како да е само минатост,
и сега сите ми го прашаме зошто нејзината љубов 
не можеше да трае, како да е само сон.

Ти беше мојата прва љубов, 
мојата прва светлина, мојата прва радост,
и сега сите ми го прашаме зошто нејзината љубов 
беше толку краткотрајна, како да е само сон.

Сега сите ми го прашаме зошто нејзината љубов 
се распадна, како да е само минатост,
и сега сите ми го прашаме зошто нејзината љубов 
не можеше да трае, како да е само сон.

Ти беше мојата прва љубов, 
мојата прва светлина, мојата прва радост,
и сега сите ми го прашаме зошто нејзината љубов 
беше толку краткотрајна, како да е само сон.

Сега сите ми го прашаме зошто нејзината љубов 
се распадна, како да е само минатост,
и сега сите ми го прашаме зошто нејзината љубов 
не можеше да трае, како да е само сон.

Ти беше мојата прва љубов, 
мојата прва светлина, мојата прва радост,
и сега сите ми го прашаме зошто нејзината љубов 
беше толку краткотрајна, како да е само сон.

Сега сите ми го прашаме зошто нејзината љубов 
се распадна, како да е само минатост,
и сега сите ми го прашаме зошто нејзината љубов 
не можеше да трае, како да е само сон.",507,1086,1593,5643,2.0429108142852783
Петре М. Андреевски,КОГА ЈА ЉУБЕВ ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Индикатори за моќ
Говор за постигнување
Индикација на сигурност
Увид
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови кои изразуваат желби
Зборови кои изразуваат стекнување
Зборови кои изразуваат исполнување
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Сон на Првата Звезда,"Сон на Првата Звезда

Беше една ноќ, кога сите ѕвезди се склони
Межу нејзината блескава орбита, тихо се слушаше
Неа, која го осветлуваше небото со својата блескава слава
Пред да отиде, мојата љубов, првата звезда во мојот сон

Ти беше светлото што го следев, нејзината гласа
Која ми ги шепаше ѕвездите, ми ги шепаше очите
Активно јас слушав, ти си ми беше водник во ноќта
Женскиот сјај што ми го укажуваше патот, просоцијално ми го укажуваше

Бидувај љубезен, ти си беше она што ми даде сигурност
Индикатор на моќ, ти си беше светлото што никогаш не гасеше
Говор за постигнување, ти си беше сонот што секогаш го имав
Индикација на сигурност, ти си беше она што никогаш не се разбиваше

Увид во светот, ти си беше она што го осветлуваше мојот живот
Позитивна емоција, ти си беше она што го полнеше мојот ден
Позитивен тон, ти си беше она што го правеше мојот свет да звучи правилно
Зборови поврзани со визуелна перцепција, ти си беше она што го правеше сè да се осветлува

Зборови поврзани со привлечност, ти си беше она што го правеше срцето да пука
Зборови кои изразуваат желби, ти си беше она што го правеше срцето да чека
Зборови кои изразуваат стекнување, ти си беше она што го правеше срцето да се раде

Зборови поврзани со смрт, ти си беше она што никогаш не го имаше право да дојде
Зборови поврзани со политика, ти си беше она што никогаш не го имаше право да се меша
Зборови поврзани со култура, ти си беше она што го правеше срцето да танчи

Зборови фокусирани на минатото, ти си беше она што го правеше срцето да се врати
Зборови поврзани со време, ти си беше она што го правеше срцето да се осмели

Повторени зборови, ти си беше светлото, ти си беше светлото
Зборови кои означуваат жени, ти си беше светлото што го осветлуваше срцето

Интерпункциски симболи, ти си беше она што го правеше срцето да говори
Оксфордска запирка, ти си беше она што го правеше срцето да се одморе

Беше една ноќ, кога сите ѕвезди се склони, ти си беше светлото што го осветлуваше мојот сон",553,1001,1554,5561,7.028660297393799
