author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms
Петре М. Андреевски,ПЕТТО ПИСМО,,Првата светлина на нејзината љубов,"Првата светлина на нејзината љубов

Беше првата светлина која се родила меѓу сите ѕвезди,
Таа осветлуваше пат пред кој срцето ми се држеше.
Нејзината љубов беше тој светилник кој го води,
Отиде во мојата душа, неа никогаш не ја заборави.

Сите мои мисли се враќаат кон неа, неа која се родила,
Пред да стигнеме до крајот, нејзината љубов беше онаа,
Која го осветлуваше мојот свет, мојата љубов,
Беше првата светлина која го најде патот до срцето на неа.

Ce осмех на нејзиното лице беше првата ѕвезда во мојот сон,
Ce звук на нејзиниот глас беше првата мелодија во моето срце,
Ce љубов што ја чувствував беше првата врска меѓу нас,
Беше првата светлина на нејзината љубов, која никогаш не ќе веснее.",233,378,611,2827
Петре М. Андреевски,1903,,Првата светлина на нејзината љубов,"Првата светлина на нејзината љубов

Беше првата светлина која се родила меѓу сите ѕвезди,
Таа осветлуваше пат пред кој срцето не се плашеше.
Нејзината љубов беше тој блесок кој го знаеше само мојата душа.
Отиде во срцето на секој кој ја слушаше нејзината песна.

Сите очекуваа да се родиш, да го промениш светот со својата присутност,
Ти беше првата искра која го запали првата ден.
Меѓу сите звучни зборови, твојата љубов беше најискрена,
Таа се рашири како мирис на цвет кој не се губи никогаш.

Пред да се роди секоја друга светлина, ти беше мојот свет,
Твојата љубов беше онаа која никогаш не ќе помине.
Отиде во длабочините на моето срце, неа никогаш не заборави,
Таа останува мојата првата и единствена љубов.

Ce ми остана да ти кажам, ти си светлината на мојот живот,
Твојата љубов беше ce првата што ми ја даде смисла на денот.",233,433,666,3437
Петре М. Андреевски,ПРВО ПИСМО,,Првата светлина на нејзината љубов,"Првата светлина на нејзината љубов

Беше првата ѕвезда што се родила во нејзината тишина,
сите сончеви зраци се собраа меѓу нејзините мигли.
Пред да се роди денот, оти беше моментот на нејзината љубов,
мојата душа се осмели да ја допре неа.

Се чудеше како тихо беше, кога нејзината љубов почна да зрачи,
сите сенки беа разбиени, а неа ја осветлуваше првата светлина.
Меѓу облаците на спомени, таа беше светот на моето срце,
нејзината љубов беше она што го осветлуваше секој ден.

Беше првата гласа што се чудеше, се чудеше како неа,
сите прашања се губеа, оти беше она што го сакав.
Мојата душа се осмели да ја допре, неа,
и сега сите прашања се решаваа со нејзината светлина.",233,361,594,2669
Петре М. Андреевски,ПЕСНА ЗА НЕЈЗИНАТА ПЕСНА,,Првата светлина на нејзината љубов,"Првата светлина на нејзината љубов

Беше првата светлина која се родила меѓу сите ѕвезди,
Таа осветлуваше пат пред кој срцето не се плашеше.
Нејзината љубов беше тој блесок кој го знаеше само мојата душа.
Отиде во срцето на секој кој ја сретна неа.

Сите ја чекаа, првата светлина на нејзината љубов,
Која се родила во тишината на ноќта,
И се рашири во далечина, нејзината љубов беше незаборавна.
Таа беше светлина која никогаш не ќе исчезне.

Пред да ја спознаеш, срцето веќе ја имаше земено во своите раце,
И можат сите да го знаат, таа беше првата светлина на нејзината љубов.",233,316,549,2478
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,,Првата светлина на нејзината љубов,"Првата светлина на нејзината љубов

Беше првата светлина која се родила меѓу сите ѕвезди на ноќта,
Таа го светнела патот пред отидањето на мојата душа.
Сите ми ветуваа дека нејзината љубов е непозната,
Но таа беше првата да ми го открие срцето.

Пред да ја сретнам, светлината неа беше мојот свет,
Отидев во сонце да ја најдам, неа која го осветлува мојот живот.
Мојата душа се родила со нејзината прва љубов,
И сега сите знаат дека таа беше првата.

Ce љубовта да се раѓа од првата светлина на нејзината љубов,
Тогашен беше мојот сон, сега е реалност меѓу нас.",233,302,535,2432
Петре М. Андреевски,УМИЛКУВАЊЕ,,Првата светлина на нејзината љубов,"Првата светлина на нејзината љубов

Беше првата светлина која се родила меѓу сите ѕвезди,
Таа осветлуваше пат пред кој срцето не го знаеше да оди.
Отиде во длабочините на нејзината душа, 
Мојата љубов, нејзината првата сенка.

Сите сонови што се родија во тишината на ноќта,
Пред неа стануваа дел од единствената приказна.
Тука беше мојата љубов, целиот свет во неа,
Откривајќи го она што сите бараа.

Беше првата гласа во бурата на животот,
Која го најде моето срце во темнината.
Меѓу сите момчиња, неа беше единствената,
Целиот свет беше нејзина, целосно.

Пред да ја сретнам, светот беше празна прашка,
А оти таму, секој ден стануваше побогат.
Мојата љубов беше првата светлина,
Сега сите знаеме дека срцето не се лга.",233,380,613,2925
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,,Првата светлина на нејзината љубов,"Првата светлина на нејзината љубов

Беше првата ѕвезда што се родила во нејзината тишина,
сите сончеви зраци се свртеа кон неа,
меѓу облаците на спомени, таа беше светлината.
Пред да ја почувствувам, оти беше мојата љубов.

Нејзината гласа беше првата што ми го промени насокот,
мојата душа се осмели да скокне во нејзината рамки.
Се осмели да се ослободи, оти беше нејзината сила.
Тука, во првата минута на среќата, се родија нашиот сон.

Оти, таа беше светлина што ги осветли првите мисли,
неа, нејзината љубов беше првата да ми даде смелост.
Секој ден беше ново раѓање, секоја ноќ беше ново искуство,
меѓу нас, никој не беше сами, затоа што беше првата светлина на нејзината љубов.

Секој збор беше мост кон нејзината душа,
пред да ја разберам, оти беше мојата љубов.
Секој ден беше ново раѓање, секоја ноќ беше ново искуство,
тука, во првата минута на среќата, се родија нашиот сон.

Беше првата ѕвезда што се родила во нејзината тишина,
сите сончеви зраци се свртеа кон неа,
меѓу облаците на спомени, таа беше светлината.
Пред да ја почувствувам, оти беше мојата љубов.",233,546,779,3855
Петре М. Андреевски,Наопачно оро,,Првата светлина на нејзината љубов,"Првата светлина на нејзината љубов

Беше првата светлина која се родила меѓу сите ѕвезди,
Таа осветлуваше пат пред кој срцето не го знаеше да оди.
Отиде во длабочините на нејзината душа,
Мојата љубов, првата која се родила во тишината.

Сите сонови се собраа за да ѝ дадат форма,
Нејзината љубов беше светло кое никогаш не ве губи.
Пред да стигне до крајот на нејзината пут,
Ce осмели да ја допре срцето на мојата љубов.

Тука беше првата светлина на нејзината љубов,
Која осветлуваше сè што беше нејзината љубов.",233,279,512,2248
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,,Првата светлина на нејзината љубов,"Првата светлина на нејзината љубов

Беше првата светлина која се родила меѓу сите ѕвезди,
Таа осветлуваше пат пред кој срцето не се плашеше.
Нејзината љубов беше тој блесок кој го знаеше само мојата душа.
Отиде во далечнината, но сè уште го чувствував неа.

Сите ѕвезди се исклучија, но нејзината светлина останува,
Пред неа, срцето се отвораше како првата пролет.
Таа беше она што го најдов, кога сите ми беа туѓи,
Целосно осветлено со нејзината љубов.

Беше тој момент кога сфатив дека нејзината љубов е ce она,
Што го барав во животот, она што го најдов во тишината.
Меѓу сите звучни ѕвонења, нејзината гласа беше првата,
И сè уште го чувствувам тој блесок кој го остави во мојата душа.",233,371,604,2882
Петре М. Андреевски,КОГА ЈА ЉУБЕВ ДЕНИЦИЈА,,Првата светлина на нејзината љубов,"Првата светлина на нејзината љубов

Беше првата светлина која се родила меѓу сите ѕвезди,
Таа осветлуваше пат пред кој срцето не се плашеше.
Нејзината љубов беше тој блесок кој го знаеше само мојата душа.
Отиде во срцето на секој кој ја сретна неа.

Сите ја чекаа, првата светлина на нејзината љубов,
Која се родила во тишината на ноќта,
И се рашири во далечина, нејзината љубов беше незаборавна.
Таа го осветлуваше срцето, оти беше нејзината светлина.

Мојата душа се осмешаше кога ја гледаше,
Првата светлина на нејзината љубов беше тој блесок,
Кој никогаш не ќе исчезне, туку ќе продолжи да живее во секој ден.
Беше тоа нејзината љубов, која беше првата светлина на сè.",233,370,603,2815
