author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms
Петре М. Андреевски,ПЕТТО ПИСМО,,Будалиште на срцето,"Будалиште на срцето

Во будаличиштето на срцето,
каде што љубовта се патат,
меѓу спомени и ветрови,
најдне се најискривените лица.

Пред да се родиш, нејзин сон,
првите чекори на животот,
пред да се случи нешто неверојатно,
кога душа се открива.

Оти се родив, оти те сакав,
мојот свет, моја единственост,
пред сè, пред сите граници,
пред нос, пред очи, во срцето.

Тука, каде што се плоди,
секој ден, секоја вечер,
меѓу четири ѕида,
најискривените спомени.

Прв пат, прва љубов,
први зори, први сончеви зраци,
царинарник на тишината,
каде што се плаќа за љубовта.

Во будаличиштето на срцето,
каде што љубовта се патат,
меѓу спомени и ветрови,
најдне се најискривените лица.",6520,361,6881,3086
Петре М. Андреевски,1903,,Будалиште на срцето,"Будалиште на срцето

Во будаличиштето на срцето,
каде што љубовта се патат,
меѓу спомени и ветрови,
се твори наша љубовна драма.

Пред да се стеми ноќта,
ти си како сон што се јавува,
нејзин свет, нејзино рајско рајче,
каде што сè е полн со надеж.

Оти ти си мој прв сон,
мој прв чекор кон висина,
пред сè, пред сите мисли,
ти си првата љубов, првата награда.

Во моето време, кога сум бил слободен,
пред Божиќ, зад Божиќ, кај да си,
дома да си, во будаличиштето,
каде што срцето не знае да се стои.

Меѓу четири ѕида на овој свет,
ти си моја единствена светлина,
пред нос, пред очи, блиску како да си во рацете.

Прв(и) чекор(и) во овој живот,
од прва рака ти си моја љубов,
прва помош, прва класа,
прв(и) сон, прв(и) надежда.

Секој пат се патат, се множи,
наша љубов меѓу нас кажано,
меѓу чеканот и наковалната,
ние сме во незавидна положба.

Но во будаличиштето на срцето,
сè е можно, сè е љубов,
пред сè, пред сите прашања,
ти си моја единствена љубов.",6520,505,7025,4227
Петре М. Андреевски,ПРВО ПИСМО,,Будалиште на срцето,"Будалиште на срцето

Во будаличиштето на срцето, каде што ветровите се слободни да плодат,
меѓу спомени и сенки, се кријат тишините најдлабоки.
Таму, каде што нејзиниот звук се одразува, секој ден се патат нови траги.

Пред да се случи нешто големо, пред да се отвори новиот ден,
срцето чека, не знаејќи зошто, но секој пат се надежува.
Тоа е првиот звук на утрото, првиот поглед на денот.

Пред да се случи нешто неочекувано, срцето се наоѓа во мојот дел,
каде што сè е познато и сепак ново, каде што се наоѓаме меѓу спомените.
Тоа е местото каде што срцето живее, каде што се наоѓаме пред сè.

Оти срцето почна да бие, оти веќе долго чека,
пред да се случи нешто неверојатно, тоа е првиот чекор.
Тоа е местото каде што срцето се наоѓа, каде што сè е можно.

И во царинарникот на срцето, каде што сите мигли се бројат,
се наоѓаме меѓу очекувањата и верувањата.
Тоа е местото каде што срцето живее, каде што сè е вистинито.

Пред сè, срцето чека, пред сè, срцето надева,
пред сè, срцето верува во можностите што доаѓаат.
Тоа е местото каде што срцето се наоѓа, каде што сè е ново.",6520,565,7085,4509
Петре М. Андреевски,ПЕСНА ЗА НЕЈЗИНАТА ПЕСНА,,Будалиште на срцето,"Будалиште на срцето

Во будаличиштето на срцето, каде што ветровите се слободни да плодат,
меѓу спомени и сенки, се кријат тишините најдлабоки.
Тука нејзиниот смисол е единствен, нејзината љубов не се меѓу другите,
но се пред сè, како што сончевиот зрак се раширува пред утринскиот мрак.

Оти срцето се труди, оти сака без граници, оти верува во надеждата,
пред да се стене вечерата, тоа продолжува да пука како цвеќе во пролет.
Мојот свет е тука, во овој мал, но огромен царинарник на чувства,
првите зборови, првите погледи, првите солзи – сè е прво во ова будаличиштето.

Пред да се случи утринскиот зорник, срцето веќе плоди и се множи,
и во прв ред стои она што е најважно, најискриено, најчисто.
Во моето време, кога срцето беше полно со љубов и верување,
секој прв чекор беше исполнет со надевање, секоја прва љубов беше вечен сон.

Сега, стојам пред новата врата, пред сè што доаѓа,
и очекувајќи, како што сончевиот зрак очекува утринската светлина.
Во овој будаличиштето на срцето, каде што сè е прво и вечно,
секој ден е ново почнување, секоја вечер е ново почитување.",6520,541,7061,4664
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,,Будалиште на срцето,"Будалиште на срцето

Во будаличиштето на срцето, каде што се патат чувствата,
меѓу спомени и сенки, се кријат најдобрите дружења.
Таму каде што нејзиниот ветер мислите ги носи,
и неа ја следиме, без да се плашиме од ништо.

Пред да се родиш, срцето веќе беше подготвено,
пред да се роди љубовта, срцето беше веќе плен.
Оти се родивме за да љубиме, оти се родивме за да веруваме,
и во моето будаличиштето, ти си првиот што влезе.

Првите зборови, првите ветрови, првите солзи,
сите се спојуваат во царинарник на душа.
Тука се акумулираат спомените, тука се чуваат дружењата,
и секој ден се отвораме повеќе, како царинарници.

Прв пат кога те видов, срцето ми се засолни во будаличиштето,
и од таму почнавме да патаме, да се множиме,
да се спојуваме меѓу спомени и сенки,
и да останеме засекогаш во будаличиштето на срцето.",6520,423,6943,3614
Петре М. Андреевски,УМИЛКУВАЊЕ,,Будалиште на срцето,"Будалиште на срцето

Во будаличиштето на срцето,
каде што љубовта се патат,
меѓу спомени и ветрови,
се твори она што се исплакна.

Оти ти беше мој прв свет,
пред сè, пред сите мисли,
пред да се стене денот,
пред да се осветли ноќта.

Твојот ѕвон најпрвин ми звучна,
меѓу звучите на денот,
и ти си остави трага,
меѓу четири ѕида на душа.

Твојата нејзина куќа,
нејзино срце меѓу нас,
нејзиниот мирис на цвеќиња,
нејзиниот ветер на љубов.

Мојот прв чекор кон тебе,
беше како првите сончеви зраци,
првите цвеќиња на пролет,
првите зори на надежда.

Сега сме во царинарник на душевни граници,
царинарници на љубовта,
каде што се плаќа за секој спомен,
и се чака новиот ден.

Оти ти си мој прв,
пред сè, пред срцето,
пред да се спои уште еднаш,
пред да се роди уште една љубов.

Во будаличиштето на срцето,
каде што љубовта се патат,
меѓу спомени и ветрови,
се твори она што се исплакна.",6520,475,6995,4017
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,,Будалиште на срцето,"Будалиште на срцето

Во будаличиштето на срцето, ти си мој прв,
Меѓу спомени, како што светли нејзини ѕвезди.
Пред да се родиш, веќе бев пред сè,
Пред сонце, пред ноќ, пред секој ден и ноќ.

Ти си оти светлината во моја темнина,
Ме водиш меѓу ѕвонките цвеќиња на животот.
Нејзино рајско јаболко, под срцето мое,
Пред да почнеш да дишеш, ти си ми вечен сон.

Мој прв чекор, моја прва љубов,
Ти си во прв ред на моите мисли.
Пред да се родиш, ти си ми вечен сон,
Пред сè, пред него, пред неа, ти си мој.

Во моето време, ти си првата радост,
Пак дојде на моето, ти си првата радост.
Меѓу четири ѕида, ти си светлина,
Меѓу спомени, ти си мој прв.

Ти си оти светлината во моја темнина,
Ме водиш меѓу ѕвонките цвеќиња на животот.
Нејзино рајско јаболко, под срцето мое,
Пред да се родиш, ти си ми вечен сон.",6520,442,6962,3572
Петре М. Андреевски,Наопачно оро,,Будалиште на срцето,"Будалиште на срцето

Во будаличиштето на срцето,
каде што љубовта се патат,
меѓу спомени и ветрови,
се твори наша најдобра драма.

Пред да се родиш, ти си прв,
прв сон, прв чекор,
прв улубен поглед,
прв ветување на утрото.

Ти си нејзин, како што неа е мој,
во моето време, во нејзиното,
меѓу четири ѕида,
најсигурно местоште на срцето.

Оти се родив за да те љубам,
пред сè, пред сите ѕвезди,
пред нос, пред очи,
ти си мој прв и последен.

Во царинарникот на душа,
каде што се чуваат најдобрите спомени,
ти си прва награда,
прв дар, прв благослов.

Будалиште на срцето,
каде љубовта се множи,
меѓу нас, засекогаш,
ти си мој прв и единствен.",6520,345,6865,3003
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,,Будалиште на срцето,"Будалиште на срцето

Во будаличиштето на срцето, каде што ветровите се слободни да плодат,
меѓу спомени и сенки, се кријат најдлабоките искуства.
Тоа е местото каде што се наоѓа нејзиниот свет, нејзиниот сјај,
каде што секој ден се јавува како прв, но веќе испитан и искусен.

Пред да се родиш, пред да се роди светот, срцето веќе се патат,
и во секој чекор, во секое движење, се крие некоја навреда.
Пред сè, срцето знае, знае да љуби и да се плаче,
и затоа што е таков, тој останува во моето време.

Оти се родив во будалиште, каде што сè е ново и старо,
каде што секој ден е прв, но веќе испитан.
Тој е прв во срцето, прв во љубовта, прв во спомените,
и затоа што е таков, тој останува во прв ред.

Царинарникот на срцето, каде што се бројат сите искуства,
меѓу кои се наоѓаат најдобрите и најлошите.
Тој е местото каде што се плаќа за секој чекор,
и затоа што е таков, тој останува во прв план.

Пред сè, срцето знае, знае да љуби и да се плаче,
и затоа што е таков, тој останува во моето време.",6520,508,7028,4235
Петре М. Андреевски,КОГА ЈА ЉУБЕВ ДЕНИЦИЈА,,Будалиште на срцето,"Будалиште на срцето

Во будаличиштето на срцето, каде што се патат чувствата,
меѓу спомени и сенки, се кријат најдобрите дружења.
Таму каде што нејзиниот сјај се одразува, 
и каде што неа се гледа пред сè.

Пред да се родиш, пред да се осмешиш, 
првите чекори се прават во тоа будаличиштето,
каде што се плодат најчистите љубовни зборови.
Оти се родивме за да се спојиме, 
во тоа место каде што срцето го најде својот прв дом.

Мојот свет е таму, во тоа будаличиштето,
каде што се наоѓаме пред сè, 
пред сонце, пред месечина, пред ѕвезди.
Таму каде што се прави првите обиди,
и каде што се родуваат најголемите надеж.

Царинарник на душа, тука се минува низ границите,
меѓу сон и реалност, се прави прв пат.
Таму каде што се земаат првите решавања,
и каде што се открива првата љубов.

Во будаличиштето на срцето, каде што се патат чувствата,
се наоѓаме пред сè, во првите редови на животот.
Тука, каде што срцето го најде својот прв дом,
и каде што се родија најчистите дружења.",6520,500,7020,4135
