author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms
Петре М. Андреевски,ПЕТТО ПИСМО,,Расцепот на традицијата,"Расцепот на традицијата

Во длабочината на спомените, тихо се чуди
расцепот што се прошири, пукнатина во ѕидот на верата.
Меѓу чеканот и наковалната, звукот вечно се губи,
и срцето се стои, испрано од раздорот што го испреплетка.

Традиција, она што беше исполнето со верување,
сега се осакати, како белата кошула што ѕиркаше.
Межу нас, кога имаше доверба, сега има разединетост,
и срцето чека, пред сè, да се врати она што беше.

Првите чекори, првите обичаи, сега се расцепани,
и срцето стои, нејзино, во прашање.
Пред да се случи нешто ново, тука сме ние,
оти уште еднаш ќе се обидиме да ги спојиме.

Фотографски помнења, оние што го одразуваат вистинито,
како да се вратиме назад, да ги исправиме расцепи.
Традиција, ти си она што ни го учини да веруваме,
и ние ќе се бориме, за да ја вратиме она што беше.

Прв пат, прва љубов, првите зборови на ветување,
срцето чека, нејзино, да се врати она што беше.
Межу четири ѕида, тука сме ние, заробени во раздорот,
но ние веруваме, оти ќе ги спојиме сите расцепи.",7258,537,7795,4874
Петре М. Андреевски,ПРВО ПИСМО,,Расцепот на традицијата,"Расцепот на традицијата

Во длабочината на спомените, тихо се чуди
расцепот што се прошири, пукнатина во ѕидот.
Тука, каде што се чувал ветувањето на стариот,
сега се гледа раздор, трага на несогласување.

Межу браќата, кои некогаш беа единствени,
сега се видливи рани, исполнети со болка.
Традицијата, која ги врзуваше, сега се распадна,
и секој од нив се губи во својот свет.

Пред да дојде расцепот, сè беше мир и единство,
но оти веруваа во различни правци, патиштата се раздвоија.
Сега, нејзиниот ѕид е разделен, а нејзината куќа
е исполнета со прашина на заборавените обичаи.

Првите чекори на новото, се осмелија да станат
светло на надеж, но и светло на раздор.
Фотографски запечатени се сликите на минатото,
каде што секој чекор беше синхронизиран со традицијата.

Пред сè, остана прашањето: дали ќе се врати
единството, или расцепот ќе остане траен?
Межу чеканот и наковалната, се слуша само тихо
заборавење, но и надежда за иднина.

Прв пат кога се сретнаа, беше полно со надеж,
но оти се развиваа на различни правци, сега се прашаме:
што ќе остане од традицијата, а што ќе се изгуби?
Во расцепот, се крие и сон за понов, единствен ден.",7258,568,7826,4993
Петре М. Андреевски,ПЕСНА ЗА НЕЈЗИНАТА ПЕСНА,,Расцепот на традицијата,"Расцепот на традицијата

Во длабочината на спомените, тихо се чудев,
Каде минатите се скршени, на расцеп се губе.
Процепи на ѕидот, пукнатини во срцето,
Расколот што ги раздели, нивното единство укине.

Традиција, она што се рашири од генерација во генерација,
Верувања и обичаи, нивната свила стана раздвоена.
Межу нив беше доверба, сега е само разединетост,
Споредби на суштините, уште еднаш се испитува.

Пред да се раздели, беше единство во срцето,
Секојденивие исполнето со нивната свила.
Но сега, пред нос, се гледа раздвоеноста,
Межу чеканот и наковалната, во незавидна положба.

Традиција, ти си она што го знаев,
Моја куќа, мои деца, сега расцепнати.
Прв пат се чудев зошто се раздели,
Прв чекор кон раздорот, прв судир меѓу верите.

Во прв ред, треба да се врати единството,
Да се затворат процепите, да се зацврстат идеите.
Пред сè, единството, пред сè, традицијата,
Да се врати она што беше најважно, најдобро.

Оти ќе се вратиме, оти ќе ги затвориме расцепите,
Да ги исполниме со нов живот, со нова свила.
Пред божиќ, зад божиќ, единството ќе се врати,
И ние ќе бидеме поединци во една традиција.",7258,557,7815,4901
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,,Расцеп во Традиција,"Расцеп во Традиција

Во длабочината на традицијата, тихо се чуди,
расцеп се појави, пукнатина во стариот вид.
На ѕидот на спомените, малите расцепи се гледаат,
а белата кошула ѕирка од палтото раздедано.

Традиција на верувања, обичаи вековни,
меѓу нив се чудеше доверба, но сега се скршени.
Расколот во душа, раздор во верата,
расцепот во идеи, судирот што го чека.

Пред сè, споредбата меѓу минатото и сегашноста,
суштински разлики, она што некогаш беше единство.
Пред да се раздели, секој знаеше што е нејзино,
но сега расцепот е голем, нејзината куќа е празна.

Моја традиција, што ми беше најдобра,
сега е поделен, како првите сончеви зраци.
Прв пат на овој свет, првите љубови и срца,
но првите расцепи се родија во тишината.

Пред божиќ, уште беше единство,
а сега, пред новото време, расцепот е видлив.
Меѓу четири ѕида, изолирано се живее,
но надеждата е дека некогаш ќе се спои повторно.

Оти ќе се врати, оваа традиција ќе живее,
и ние ќе ги исполниме нашите обичаи со љубов.
Прв пат, прва помош, прва класа на единство,
и ние ќе ги вратиме светлините на нашите ѕидови.

Фотографски момент, запечатен во спомените,
фотографски помнење, она што никогаш не ќе заборави.
Првите чекори во обединување, од прва рака,
и ние ќе ги вратиме нашите традиции, целосно.",7258,642,7900,5280
Петре М. Андреевски,УМИЛКУВАЊЕ,,Расцепот на традицијата,"Расцепот на традицијата

Во длабочината на спомените, тихо се чуди
расцепот што се прошири, пукнатина во ѕидот на верата.
Меѓу чеканот и наковалната, звукот се губи,
и срцето се стои, како да си го губи ритамот.

Традиција, она што беше вековна веза,
сега се расцепи, како белата кошула што ѕиркаше.
Межу нас, довербата се распадна, како стара куќа,
и сега се гледаме со туѓи очи, непознати и тужни.

Пред да се раздели, сè беше едно,
и звукот на чеканот беше единствен.
Но оти се раздели, сè стана двојно,
и секој чекан се слуша сам, без звук на согласност.

Традиција, ти си уште тука,
но расцепот е длабоок, не може да се залепи.
Прв пат се слушаме, како непознати,
и се сеќаваме на времето кога бевме едно.

Мојата традиција, ти си уште тука,
но фотографски се гледаме, како непознати лица.
Првите чекори на новиот пат,
дали ќе ги најдеме заедно, или ќе се изгубиме меѓу расцепот?",7258,454,7712,3978
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,,Расцепот на традицијата,"Расцепот на традицијата

Во длабочината на спомените, тихо се чуди
расцепот што се прошири, пукнатина во животот.
На ѕидот на минатото, белите траги ги следи
и во душа ѝ ѕирка белата кошула на идните денови.

Традиција, она што се рашири од генерација до генерација,
верувања и обичаи, исполнети со стари знаења.
Межу нас, имаме доверба, почит и единство,
но расцепот, пренесувајќи се, создаде раздор и разединетост.

Пред да се раздели, секој ден беше полн со спомен,
со исполнети рутини, со вековни обичаи.
Сега, пред очите, се гледа раздвоеност,
и срцето се лути на тој прв разкол.

Оти се раздели, почна да се губи традицијата,
онаа што беше светлост во темнината на времето.
Фотографски се задржуваат моментите на единство,
но денови се минати, а расцепот останува.

Прв пат се случи, прв разкол, прв судир,
и сега, прв чекор кон новото, но непознато.
Межу чеканот и наковалната, се наоѓаме,
испробувајќи да најдеме пат меѓу четири ѕида.

Но верувам дека традицијата не е изгубена,
туку само се променила, како првиот снег.
Првите јагоди на пролет, најновите траги,
ние сме подготвини да ги пронајдеме новите патишта.

Пред сè, имаме единство во разновидноста,
и дури и пред божиќ, ние ќе најдеме начин
да ги спојиме расцепите, да ги вратиме традициите,
и да живееме меѓу нас, како некогаш.",7258,635,7893,5566
Петре М. Андреевски,Наопачно оро,,Расцепот на традицијата,"Расцепот на традицијата

Во длабочината на спомените, тихо се чуди
расцепот што се прошири, пукнатина во ѕидот на верата.
Меѓу чеканот и наковалната, звукот се губи,
и срцето се стои, испрано од раздорот.

Традицијата, она што беше вековна гарантија,
сега се расцепува, се разделува.
Межу нас, довербата се губи, се врти
во лавиринти на различни верувања и правила.

Пред да се раздели, сè беше единство,
и тихо, нежни обичаи се пренесуваа.
Сега, сепак, првите чекори се ставаат,
и срцето чека, што ќе дојде новото.

Нејзината куќа, полна со стари традиции,
сега се ѕирка со нови расцепи.
Межу четири ѕидови, се чуди дали ќе се врати
она што беше, или ќе се роди нешто ново.

Пред сè, оставаме ги минатите,
и чекаме да видиме што ќе дојде.
Првите сончеви зраци на новиот ден,
може да н’ осветлат патот што ќе го избереме.

Прв пат, ќе се осмелиме да кренеме,
и да ги исполниме празнините со нова традиција.
Фотографски, ќе ги зачуваме моментите,
и ќе ги пренесеме како оригинални податоци.

Прв чекор, прв поглед, прва надежда,
да се излезе од расцепот и да се најде
ново единство, новата традиција,
која ќе н’ освежи и н’ направи посилни.",7258,591,7849,5161
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,,Расцепот на традицијата,"Расцепот на традицијата

Во длабочината на спомените, тихо се чуди
расцепот што се прошири, пукнатина во ѕидот на верата.
Меѓу чеканот и наковалната, звукот се губи,
и срцето се стои, испрано од болка.

Традицијата, она што беше нејзино, стана празнина,
како белата кошула што ѕиркаше преку расцепот.
Межу нас, довербата се распадна,
и со неа, уште се распадна и нашето единство.

Пред да се раздели, секој ден беше ист,
но сега, првите солзи се испуштаат.
Пред сè, остана само прашањето:
што ќе стане од нас, откако расцепот се прошири?

Оти верувавме во едно, оти имавме заедничко,
сега, првите чекори се оддалечуваат.
Првите спомени, првите обичаи, сега се спомен.
Фотографски запечатени во минатото, но веќе далеку.

Межу четири ѕида, се губиме во празнината,
и само најдобрите приказини остануваат.
Првите зборови, првите ветувања, веќе се заборави.
Традицијата, сега е само сенка од некогаш.

Но, можеби, некогаш ќе се врати,
кога ќе се излее целата болка.
И ако тоа се случи, ние ќе се сетиме,
дека и најголемите расцепи не можат да ни разделат.",7258,530,7788,4815
Петре М. Андреевски,КОГА ЈА ЉУБЕВ ДЕНИЦИЈА,,Расцепот на традицијата,"Расцепот на традицијата

Во длабочината на спомените, тихо се чуди
расцепот што се прошири, пукнатина во животот.
На ѕидот на минатото, белите траги се гледаат,
и белата кошула ѕирка од раните на палтото.

Традицијата, она што се чудеше во текот на годините,
сега се расцепи, разделена од нови верувања.
Межу нијзините раце, имаше верба и почит,
но сега, меѓу нас, има раздор и недоверба.

Пред да дојде расцепот, сè беше единство и сила,
секој ден беше исполнет со народни обичаи.
Секојдневниот живот беше исполнет со верувања,
и секој чекор беше спореден со она што беше најдобро.

А сега, пред нос, видиме дека традицијата се расцепи,
и меѓу нас, има различни перспективи.
Пред сè, имаме единство во спомените,
но првите чекори на новиот пат се неизвесни.

Пред да се раздели, имаше единство во срцата,
и секој ден беше полно со надежи.
А сега, првите сончеви зраци на новото утро,
се ѕиркаат скршено, како огледало на минатото.

Межу чеканот и наковалната, се слушаше звукот на единство,
но сега, меѓу нас, има раздор и празнина.
Пред сè, имаме единство во спомените,
но првите чекори на новиот пат се неизвесни.

Пред божиќ, единството беше полно со надеж,
а сега, зад божиќ, имаме раздор и разединетост.
Пред сè, имаме единство во спомените,
но првите чекори на новиот пат се неизвесни.",7258,628,7886,5156
Петре М. Андреевски,ПРВАТА РАЗДЕЛБА,,Расцепот на традицијата,"Расцепот на традицијата

Во длабочината на спомените, тихо се чуди
расцепот што се прошири, пукнатина во ѕидот на верата.
Меѓу чеканот и наковалната, звукот се губи,
и срцето се стои, како да си го губи ритамот.

Традиција, она што беше вековна веза,
сега се расцепи, како белата кошула што ѕиркаше.
Межу нас, имаше доверба, но сега се разедини,
и секој од нас се најде меѓу четири ѕида, изолирано.

Пред да се раздели, имаше единство,
но оти се промени, сè стана раздор.
Првите чекори во новата патека,
се оставаат траги, но и ги губиме сè повеќе.

Фотографски момент, запечатен во времето,
но тој се расцепи, како светот што ни се стори.
Првите љубовни зборови, сега звучат празни,
и срцето чека, пред да дојде новото.

Традиција, ти си уште тука,
но расцепот е длабоок, не може да се залечи.
Межу нас, имаме уште надежда,
да се врати единството, и да се заборави расцепот.

Прв пат кога ќе се сретнеме,
дали ќе го заборавиме расцепот и ќе го продолжиме патот?
Фотографски момент, нов почеток,
дали ќе стане светло во темнината на разделението?",7258,526,7784,4573
