author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms
Петре М. Андреевски,ПЕТТО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Зборови за комуникација
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Оксфордска запирка",Сенки во тишина,"Сенки во тишина

Беше првата, нејзината меѓу сите -
оти, мојата тишина те чекаше.
Пред тебе, сенки во темнина.
Слушам како шепотат, шепотат...
Твојот глас, што беше мој,
сега е само тага што ме гуши.

Секој збор, речениците долги,
допираат до мојата душа.
Оставаат траги во мојот ум,
како да си ме напуштил во темнина.

Не можам да те видам, да те слушам,
само твојата сенка ме следи.
Сите спомени, сите чувства,
се губат во вечноста на времето.

Тивко, тивко, во мојата самота,
ја прифаќам оваа судбина.
Но, знам дека некаде во мрак,
те чекам, те барам, те молам...",439,301,740,5824
Петре М. Андреевски,ПЕТТО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Зборови за комуникација
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Оксфордска запирка",Заборавениот спомен,"Заборавениот спомен

Беше таа, меѓу сите,
Нејзината првата љубов.
Пред неа, ce редеа мигови,
Оти мојата душа беше сама.

Во сенките на минатото,
Тагата ce плетеше низ зборовите,
Оставајќи трага од негативен тон.
Аудитивните перцепции ce губеа,
Како одгласи на заборавен спомен.

Визуелната слика ce мрачеше,
Во тишината на вечноста.
Зборовите за комуникација заглавија,
Меѓу редовите на фрагментирани реченици.

Времето беше неумолливо,
Оставајќи го заборавот да владее.
Повторените зборови,
Како чекори што одекнуваат во празнината.

Точките, запирките,
Ја одбележуваа патеката на сеќавањето.
Но, таа беше отсутна,
Оставајќи ги сите да тонат во вечноста.",439,349,788,6378
Петре М. Андреевски,1903,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Просоцијално однесување
Прикажување меѓучовечки конфликт
Морализирање
Зборови за комуникација
Индикатори за моќ
Увид
Сè или ништо размислување
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви",Сеќавања на минатото,"Сеќавања на минатото

Во сенките на вечноста,
Тагата ме поплавува, 
Меѓу сеќавањата што не одат.
Беше нејзината рака што ме водеше,
Пред да ме остави сам,
Оти не можев да ја задржам.

Сите спомени се магла во мојата глава,
Првата љубов - само фрагмент од реченица.
Нејзината слика во мојата меморија,
Се губи во бескрајот на времето.

Нема повеќе комуникација,
Само тишина што ме обвива.
Моќта на емоциите ме уништува,
Сè или ништо - мојата судбина.

Во ноќта, нејзиниот глас ми одекнува,
Ми носи тага и болка што ме гуши.
Ризикот да ја пронајдам е премногу голем,
Но потребата во мене не престанува да тлее.

Мажот што беше, не постои веќе,
Останаа само зборови што повторуваат,
И сеќавања што ме убиваат.

Во ова време, немам ништо освен моите спомени,
Нема утеха, само празнина што ме гуши.
Оти таа беше мојата прва и единствена,
Сега таа е само тага што ме следи.",608,447,1055,8948
Петре М. Андреевски,ПРВО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Сенка на минатото,"Сенка на минатото

Беше таа, меѓу сите,
Нејзината сенка, пред мене.
Првата, што ce појави,
Оти мојата душа, погребана беше.

Сите спомени, ce испреплетуваа,
Во нејзиното присуство, неа бараше.
Пред сé, ce чувствував изгубен,
Во тагата, што ме опкружуваше.

Звуците на минатото, одекнуваа,
Во темнината, што ме опфаќаше.
Сенката, ce движеше низ просторот,
Оставајќи трага, на мојот пат.

Времето, ce губеше во бескрајот,
Оставајќи ме во сеќавањата на минатото.
Тагата, што ме опфати, беше неизмерна,
Како да ce наоѓам на работ на вечноста.",442,303,745,5509
Петре М. Андреевски,ПЕСНА ЗА НЕЈЗИНАТА ПЕСНА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Зборови за комуникација
Индикатори за моќ
Индикација на сигурност
Увид
Негативна емоција
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи",Сенки на минатото,"Сенки на минатото

Во сенките на минатото, таа беше
Меѓу сите, нејзината сенка ce движеше
Пред нејзините очи, оти пред беше првата
Мојата душа во нејзина сенка ce губеше

Нејзината сенка, како да вкрстува зборови
Во нејзината темнина, мојот глас ce крие
Во бесконечноста, ce разлеваат тагата и болот
Но, во нејзината сенка, сепак, моето срце живее

Сенките на минатото, меѓу нас ce плетат
Исткаени од зборови, долги и темни реченици
Но, во нејзината сенка, ce крие нашата иднина
Во нејзината сигурност, ce раѓа нашата моќ",488,276,764,4900
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Индикатори за моќ
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи",Мемори,"Мемори

Таа беше, пред сите, мојата прва.
Нејзината душа, меѓу нас, ја носеше тагата.
Во нејзините очи, видов увид во минатото,
Што го чуваше во срцето, како скапоцена визија.

Сеќавањата, како фрагменти, ја исполнуваа нејзината привлечност,
Што со нејзината моќ, ме привлекуваше во нејзината култура.
Времето, што тече, ја следеше нејзината женска сила,
Но, тагата, во нејзиниот глас, ми го кажуваше нејзиното емотивно бреме.

Сега, кога ја нема, сите ми се чинат студени и негативни,
Оти, таа беше мојата прва, мојата единствена, мојата вечна.",474,294,768,4595
Петре М. Андреевски,УМИЛКУВАЊЕ,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Индикатори за моќ
Говор за постигнување
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со внимание
Зборови поврзани со привлечност
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови кои изразуваат стекнување
Сексуална содржина
Зборови фокусирани на сегашноста
Зборови фокусирани на иднината
Зборови поврзани со време
Интерпункциски симболи",Ветар на промена,"Ветар на промена

Ветрот на промена ме обвива,
Мојата душа бездомно лута.
Беше ли сè само заблуда?
Сите патишта меѓу нас се губат.

Нејзината прва љубов, моја тага,
Пред мене стои, но не ја разбирам.
Оти толку многу се изгубивме,
Мојата болка сега во неа гледам.

Пред да ја изгубам засекогаш,
Сакам да ја допрам нејзината рака.
Да ја вратам назад во мојата прегратка,
Да ја чувам како мојата најмила.

Ветрот на промена ме обвива,
Но сепак во неа верувам.
Ќе ја пронајдам, ќе ја вратам,
Оти мојата душа со неа живее.",547,295,842,5478
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Сè или ништо размислување
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат болест
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Броеви",Во нејзиниот сјај,"Во нејзиниот сјај

Беше таа, сред сите.
Нејзината убавина, меѓу останатите.
Пред неа, се клонев.
Оти, мојата душа, во нејзиниот сјај се растворуваше.
Првата љубов, што никогаш не ќе се заборави.

Зборови на љубов, во тишина изговарав.
Сè или ништо, помислував.
Несигурен, колеблив, во нејзино присуство бев.
Болеста на срцето, ме измачуваше.
Минатото, секогаш ме враќаше кон неа.

Време што застанува, во нејзиното лице.
Очите што зборуваат, душата што вибрира.
Тага што ме гуши, емоции што ме измачуваат.
Смртта, како да ми доаѓаше блиску.
Но, сега, нејзиниот сјај, ме грее и ме води напред.",529,331,860,6132
Петре М. Андреевски,Наопачно оро,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови фокусирани на сегашноста
Интерпункциски симболи",Нејзината песна,"Нејзината песна

Беше таа, меѓу сите,
Нејзината првата песна.
Пред мојата, ce огласи,
Оти нејзината глас,
Сега одекнува, во моите уши.

Миг, на тишина, во моите соништа,
Нејзината глас, ме дочекува.
Пред мене, стои, неа чекам,
Оти нејзината песна, е мојата.",340,163,503,3630
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со религија
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Одјек на минатото,"Одјек на минатото

Нејзината сенка ме следеше секогаш,
Меѓу сеќавањата на првата љубов.
Беше таа, во нејзината убавина,
Што ме привлекуваше со сè своја сила.

Долги ноќи поминавме разговарајќи,
Споделувајќи ги нашите мисли и чувства.
Нејзиниот глас, толку мек и топол,
Ми даваше увид во нејзината душа.

Сега, кога ја нема, ме обзема тага,
Анксиозноста ме гуши, не ми дава мир.
Сеќавањата на нејзината убавина,
Ми ги будат емоциите, како кога беше тука.

Ја гледам нејзината слика пред мене,
Толку привлечна, како да е жива.
Но, таа е далеку, во царството на смртта,
Оставајќи ме сам, во овој свет на болка.

Сè што ми остана се нејзините зборови,
Одекот на нејзината љубов, во моето срце.
Ќе ја чувам засекогаш, во мојата меморија,
Оти таа беше мојата прва, и единствена.",515,418,933,6803
