,Адам Гајтани,Анте Поповски,Ацо Шопов,Блаже Конески,Богомил Ѓузел,Бранко Цветкоски,Братислав Ташковски,Веле Смилевски,Владо Урошевиќ,Гане Тодоровски,Ефтим Клетников,Игор Исаковски,Катица Ќулавкова,Милош Линдро,Петре М. Андреевски,Пијан Славеј,Ристо Лазаров,Славко Јаневски,Тодор Чаловски
Адам Гајтани,0.9999999999999998,0.5995761564182467,0.6021613299039402,0.7906284564491114,0.7259187149134134,0.8155240657489091,0.7006765325305989,0.7378559260865857,0.7819527887518067,0.6532691973493159,0.8312685900714035,0.5781098756761565,0.8499263942464308,0.7770656080387961,0.7016853586121594,0.7488472007411284,0.8167423102537238,0.6527430545944354,0.8204910991399605
Анте Поповски,0.5995761564182467,0.9999999999999999,0.4425889567411693,0.6371026751127684,0.6074486122826585,0.5918573202734788,0.6033063355155543,0.48118265219674405,0.5640574812654258,0.5020883073551105,0.5749305668131937,0.47006112066433364,0.6515774881621959,0.5259210454983893,0.5731606870736489,0.6262905635761655,0.5752499002955013,0.48561092356843005,0.6233853641671968
Ацо Шопов,0.6021613299039402,0.4425889567411693,1.0000000000000002,0.5973047983028278,0.5568730669274987,0.5878631686897361,0.5496349394928193,0.5337727669089521,0.5493655668907333,0.48538341815342817,0.5868085485580139,0.4390121866218105,0.6042609082698782,0.5283113098591646,0.5417831476044123,0.5675464523273546,0.5769016571123126,0.5207483192841951,0.5989267566264176
Блаже Конески,0.7906284564491114,0.6371026751127684,0.5973047983028278,1.0000000000000018,0.7902314710321097,0.7577185340598154,0.8119465040264561,0.6253107036060175,0.7358546766951448,0.7065692023745831,0.7336240973209492,0.6268312896968918,0.8546229031766015,0.6765848854865433,0.7494446855573138,0.8448828023613134,0.7265006522236325,0.7223445670747937,0.7966837594025642
Богомил Ѓузел,0.7259187149134134,0.6074486122826585,0.5568730669274987,0.7902314710321097,0.9999999999999986,0.7134662990839437,0.7840778535486397,0.6292305879092996,0.7235228118343671,0.6442284911912213,0.7159333267904503,0.5770482645238446,0.8455024467276793,0.631557252513062,0.7449692340007018,0.753541774029339,0.6915803218447346,0.5939274190719775,0.8079595459635293
Бранко Цветкоски,0.8155240657489091,0.5918573202734788,0.5878631686897361,0.7577185340598154,0.7134662990839437,1.0000000000000007,0.6825969191740385,0.7247845863609299,0.7826082869543705,0.6037212284648381,0.8206833232043731,0.5739154203509917,0.8310658037012488,0.7461508172648201,0.6852825349627109,0.7290453172587599,0.7998134142143755,0.6203486556244233,0.7833791617677149
Братислав Ташковски,0.7006765325305989,0.6033063355155543,0.5496349394928193,0.8119465040264561,0.7840778535486397,0.6825969191740385,0.9999999999999996,0.5852006800956717,0.6683971773903427,0.644945707144597,0.6648922166542388,0.5995958576192228,0.8036735102833813,0.595757615733451,0.7300548014146033,0.8063013969067924,0.6589044655661981,0.6080518996766057,0.7630257480951499
Веле Смилевски,0.7378559260865857,0.48118265219674405,0.5337727669089521,0.6253107036060175,0.6292305879092996,0.7247845863609299,0.5852006800956717,0.9999999999999996,0.6710834250862305,0.5436844656253863,0.7418732660624434,0.4572791451203903,0.7133009817536861,0.6554938038693656,0.5950207277125434,0.5747830305500398,0.7234098432670316,0.526277077050165,0.7434333837627436
Владо Урошевиќ,0.7819527887518067,0.5640574812654258,0.5493655668907333,0.7358546766951448,0.7235228118343671,0.7826082869543705,0.6683971773903427,0.6710834250862305,1.0000000000000013,0.5776298177635231,0.7752436910501808,0.581741677358452,0.8057657949094048,0.6866500686792305,0.6931493807151767,0.6821661681733517,0.7292884817744872,0.5650775694195512,0.7393330373468129
Гане Тодоровски,0.6532691973493159,0.5020883073551105,0.48538341815342817,0.7065692023745831,0.6442284911912213,0.6037212284648381,0.644945707144597,0.5436844656253863,0.5776298177635231,0.9999999999999999,0.6038397262067475,0.48375183983506226,0.6980243343930392,0.5806721143716665,0.5903145147295902,0.6743645725304355,0.6169263545245313,0.5970105020783502,0.6704217600836623
