author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,- Активен глас- Долга реченица (run-on)- Женски заменки- Зборови кои означуваат жени- Зборови поврзани со визуелна перцепција- Зборови поврзани со време- Зборови поврзани со култура- Зборови поврзани со привлечност- Зборови поврзани со смрт- Зборови фокусирани на минатото- Индикатори за моќ- Интерпункциски симболи- Негативен тон- Негативна емоција- Повторени зборови- Просоцијално однесување- Тага- Увид- Фигуративен јазик- Фрагмент од реченица,Тајната на минатото,"Тајната на минатото

Ти, моја љубов, ми го откриваш минатото, 
со женственото светло на твоите очи, 
како да ми го врати времето, 
но ти ми го зема, ми го зема секој ден.

Долгата реченица се шета низ спомените, 
и ти, ти си таа која ги шета, 
со твојата женска сила, 
со твојот звук, звукот на минатото.

Ти, ти си онаа која ми го враќа она што го заборави, 
со твоите зборови, зборови кои означуваат жени, 
со нив ги враќаш оние денови, 
кога културата беше живописна, 
и ти, ти беше дел од таа живописност.

Ти, ти си онаа која ми ги враќа очигледните слики, 
на денови кога светлината беше нова, 
и ти, ти си онаа која ги враќа оние часови, 
кога времето беше мирно, 
и ти, ти беше дел од тој мир.

Ти, ти си онаа која ми ги враќа оние денови, 
кога културата беше полна со живопис, 
и ти, ти беше дел од таа живописност.

Ти, ти си онаа која ми ги враќа оние часови, 
кога привлечноста беше неогранлива, 
и ти, ти беше онаа која ги враќа оние моменти, 
кога смртта беше далечна, 
и ти, ти беше онаа која ги враќа оние денови.

Ти, ти си онаа која ми ги враќа оние денови, 
кога сè беше полно со увид, 
и ти, ти беше онаа која ги враќа оние часови, 
кога смртта беше далечна, 
и ти, ти беше онаа која ги враќа оние моменти.

Ти, ти си онаа која ми ги враќа оние денови, 
кога сè беше полно со тага, 
и ти, ти беше онаа која ги враќа оние часови, 
кога сè беше полно со увид, 
и ти, ти беше онаа која ги враќа оние моменти.

Ти, ти си онаа која ми ги враќа оние денови, 
кога сè беше полно со просоцијално однесување, 
и ти, ти беше онаа која ги враќа оние часови, 
кога сè беше полно со тага, 
и ти, ти беше онаа која ги враќа оние моменти.

Ти, ти си онаа која ми ги враќа оние денови, 
кога сè беше полно со моќ, 
и ти, ти беше онаа која ги враќа оние часови, 
кога сè беше полно со просоцијално однесување, 
и ти, ти беше онаа која ги враќа оние моменти.

Ти, ти си онаа која ми ги враќа оние денови, 
кога сè беше полно со несреќа, 
и ти, ти беше онаа која ги враќа оние часови, 
кога сè беше полно со моќ, 
и ти, ти беше онаа која ги враќа оние моменти.

Ти, ти си онаа која ми ги враќа оние денови, 
кога сè беше полно со негативна емоција, 
и ти, ти беше онаа која ги враќа оние часови, 
кога сè беше полно со несреќа, 
и ти, ти беше онаа која ги враќа оние моменти.

Ти, ти си онаа која ми ги враќа оние денови, 
кога сè беше полно со повторени зборови, 
и ти, ти беше онаа која ги враќа оние часови, 
кога сè беше полно со негативна емоција, 
и ти, ти беше онаа која ги враќа оние моменти.

Ти, ти си онаа која ми ги враќа оние денови, 
кога сè беше полно со фигуративен јазик, 
и ти, ти беше онаа која ги враќа оние часови, 
кога сè беше полно со повторени зборови, 
и ти, ти беше онаа која ги враќа оние моменти.

Ти, ти си онаа која ми ги враќа оние денови, 
кога сè беше полно со фрагменти од реченица, 
и ти, ти беше онаа која ги враќа оние часови, 
кога сè беше полно со фигуративен јазик, 
и ти, ти беше онаа која ги враќа оние моменти.

Ти, ти си онаа која ми го открива минатото, 
со женственото светло на твоите очи, 
како да ми го врати времето, 
но ти ми го зема, ми го зема секој ден.",419,1668,2087,7759
Петре М. Андреевски,Првата разделба,- Активен глас- Анксиозност- Бидување несигурен/колеблив- Долга реченица (run-on)- Женски заменки- Зборови кои изразуваат недостаток- Зборови кои изразуваат потреби- Зборови поврзани со аудитивна перцепција- Зборови поврзани со визуелна перцепција- Зборови поврзани со време- Зборови поврзани со меморија- Зборови поврзани со ментално здравје- Зборови поврзани со смрт- Зборови фокусирани на минатото- Интерпункциски симболи- Негативен тон- Негативна емоција- Оксфордска запирка- Тага- Увид- Фигуративен јазик- Фрагмент од реченица,Тага на исчезнатиот ден,"Тага на исчезнатиот ден

О, денот што беше, а сега веќе не е, 
колку ти си ми го зеде она што беше,
а сега ли го имаме уште она што не беше?
Ти, денот, ми го зеде светлиот блесок,
а јас сè уште го барам светлиот блесок.

Ти си отиде, ти си отиде, а јас сè уште стојам
во сенката на минатото, во сенката на спомените,
кои веќе не се тука, но уште ги чувствувам.
Ти си отиде, ти си отиде, а јас сè уште чекам.

Сега ли имаме уште време, уште спомени?
Сега ли имаме уште сон, уште надежда?
Сега ли имаме уште срце, уште душевна сила?
Ти си отиде, ти си отиде, а јас сè уште колебам.

Сега ли сум уште жива, уште тука?
Сега ли сум уште во спомените на оние што остануваат?
Сега ли сум уште во нивното сеќавање, уште во нивната љубов?
Ти си отиде, ти си отиде, а јас сè уште трагам.

Ти си отиде, ти си отиде, а јас сè уште стојам
во сенката на минатото, во сенката на спомените,
кои веќе не се тука, но уште ги чувствувам.
Ти си отиде, ти си отиде, а јас сè уште чекам.

Тага, тага, тага, колку ти си ми го зеде она што беше,
а сега ли го имаме уште она што не беше?
Тага, тага, тага, колку ти си ми го зеде она што беше,
а сега ли имаме уште она што не беше?",460,650,1110,3569
Петре М. Андреевски,1903,- Активен глас- Броеви- Долга реченица (run-on)- Зборови за комуникација- Зборови кои изразуваат недостаток- Зборови кои изразуваат потреби- Зборови кои означуваат мажи- Зборови поврзани со аудитивна перцепција- Зборови поврзани со визуелна перцепција- Зборови поврзани со време- Зборови поврзани со култура- Зборови поврзани со меморија- Зборови поврзани со политика- Зборови поврзани со ризик- Зборови поврзани со смрт- Зборови фокусирани на минатото- Индикатори за моќ- Интерпункциски симболи- Машки заменки- Морализирање- Негативен тон- Негативна емоција- Повторени зборови- Прикажување меѓучовечки конфликт- Просоцијално однесување- Сè или ништо размислување- Тага- Увид- Фигуративен јазик- Фрагмент од реченица,Смртта и ризикот на нашите денови,"Смртта и ризикот на нашите денови

Од ден на ден, ние го гледаме како смртта близи, 
во секој чекор, во секоја акција, 
ние го ризикуваме, не знаејќи колку уште останале 
минути, секунди, часови, дена.

Можаме ли да ги слушаме овие зборови, 
да ги видиме овие знаци, 
да ги чувствуваме овие културни врски 
што ни ги поврзуваат со минатото?

Ние често зборуваме за потребите, 
за оние што немаме, 
за оние што ги губиме, 
за оние што ги ризикуваме.

Можеме ли да се сетиме на сè што имаме, 
на сè што го имаме загубено, 
на сè што го имаме ризикувано?

Моќта ни е лишена, 
ние сме ослабени, 
и сè уште морализираме, 
и сè уште трагаме по увид.

Ние ги користиме интерпункциските симболи, 
да ги разделиме овие мисли, 
да ги спојиме овие зборови, 
да ги изразиме нашите чувства.

Машките заменки се уште овде, 
ние ги користиме, 
ние ги ризикуваме, 
ние ги носиме смртта во секој ден.

Тага ни опкружува, 
и сè уште продолжуваме, 
сè или ништо, 
ние ги земаме нашите ризици.

Ние сме во борба, 
со меѓучовечки конфликти, 
просоцијално однесување, 
но сè уште се надемуваме на подобро.

Ова е нашата ера, 
на смрт и ризик, 
на минатото и сегашноста, 
на култура и меморија.

Ние сме оние што го живееме, 
и сè уште трагаме по смислата, 
во секој чекор, во секоја акција, 
ние го ризикуваме сè, за да пронајдеме.",545,694,1239,4533
Петре М. Андреевски,ЛЕТУВАЊЕ,- Активен глас- Долга реченица (run-on)- Женски заменки- Зборови за комуникација- Зборови поврзани со аудитивна перцепција- Зборови поврзани со визуелна перцепција- Зборови поврзани со време- Зборови поврзани со култура- Зборови поврзани со перцепција на движење- Зборови поврзани со привлечност- Зборови поврзани со смрт- Зборови фокусирани на минатото- Индикатори за моќ- Интерпункциски симболи- Неутрален тон- Просоцијално однесување- Увид- Фигуративен јазик- Фрагмент од реченица,Песна за минатото на смртта,"Песна за минатото на смртта

Ти, мината љубов, ми го шепаш минатото со тихо чекорење, она што го слушаме со срцето, а не со ушите. Ти, она што го гледаме во секој блескај на спомен, ти си она што го чувствуваме во секој ветер на пролет кој ни доаѓа со мирис на тинести спомени. 

Ти, она што ни го враќа минатото со едно прашање, со една испакнатина на раката, со една стара фотографија, ти си она што ни го враќа сè. Ти, она што ни го укажува патот назад, со светлина на минатото која никогаш не вечернее, туку секогаш осветлува со нови перспективи.

Ти, она што ни го укажува на смртта со тихо шепање, со миг на очите, со звук на тихо удирање на врата, ти си она што ни го укажува дека сè минува, но сè останува во нас. Ти, она што ни го укажува дека сè уште може да се види со очите на срцето, дури и кога веќе не може да се види со очите на телото.

Ти, она што ни укажува дека сè уште може да се слушна со ушите на душата, дури и кога веќе не може да се слушна со ушите на телото. Ти, она што ни укажува дека сè уште може да се чувствува со рацете на срцето, дури и кога веќе не може да се чувствува со рацете на телото.

Ти, она што ни укажува дека сè уште може да се живее со душа, дури и кога веќе не може да се живее со тело. Ти, она што ни укажува дека сè уште може да се биде жив со спомените, дури и кога веќе не може да се биде жив со телото.

Ти, она што ни укажува дека сè уште може да се биде привлечно со душа, дури и кога веќе не може да се биде привлечно со телото. Ти, она што ни укажува дека сè уште може да се биде моќно со спомените, дури и кога веќе не може да се биде моќно со телото.

Ти, она што ни укажува дека сè уште може да се биде просоцијално со душа, дури и кога веќе не може да се биде просоцијално со телото. Ти, она што ни укажува дека сè уште може да се биде со увид со душа, дури и кога веќе не може да се биде со увид со телото.

Ти, она што ни укажува дека сè уште може да се биде фигуративно со душа, дури и кога веќе не може да се биде фигуративно со телото. Ти, она што ни укажува дека сè уште може да се биде со фрагмент од реченица со душа, дури и кога веќе не може да се биде со фрагмент од реченица со телото.

Ти, она што ни укажува дека сè уште може да се биде со минатото со душа, дури и кога веќе не може да се биде со минатото со телото. Ти, она што ни укажува дека сè уште може да се биде со смртта со душа, дури и кога веќе не може да се биде со смртта со телото.

Ти, она што ни укажува дека сè уште може да се биде со сè со душа, дури и кога веќе не може да се биде со сè со телото.",435,1240,1675,6175
Петре М. Андреевски,ИЗЛЕТ,- Активен глас- Бидување несигурен/колеблив- Бидување љубезен- Броеви- Долга реченица (run-on)- Женски заменки- Зборови за комуникација- Зборови кои изразуваат желби- Зборови кои изразуваат количина- Зборови кои означуваат мажи- Зборови кои означуваат пријатели- Зборови поврзани со аудитивна перцепција- Зборови поврзани со визуелна перцепција- Зборови поврзани со време- Зборови поврзани со култура- Зборови поврзани со меморија- Зборови поврзани со перцепција на движење- Зборови поврзани со привлечност- Зборови поврзани со просторна перцепција- Зборови поврзани со смрт- Зборови поврзани со храна или јадење- Зборови поврзани со љубопитност- Зборови фокусирани на минатото- Зборови фокусирани на сегашноста- Издолжени зборови- Интерпункциски симболи- Машки заменки- Негативна емоција- Неутрален тон- Повторени зборови- Просоцијално однесување- Увид- Фигуративен јазик- Фрагмент од реченица,Песна за спомени и звукови,"Песна за спомени и звукови

Од денот кога ти си ми речеше, ти, мој пријател, 
да имаме вечен спомен, ми го помина животот со звукови,
кои уште се слушаат, дури и сега, кога ти си одлегол.
Ти беше сигурен, ти беше жив, ти беше светот за мене,
но сега ти си само спомен, ти си само звук во минатата.

Се сеќавам на нас, како ми прашаше, „Што сакаш да имаш?”
Ти беше колеблив, но ти беше љубезен, ти беше искрен.
„Желам да имам уште еден ден, уште една вечер, 
уште една часот на ѕвездите, уште една љубов.”

Броевите ги броеше, броевите ги броеа нашите часови,
долгите ноќи, долгите разговори, долгите спомени.
Ти беше она што ми го даде смислата на овие броеви.

Жената што ја сакав, ти беше мојот свет, 
и ти беше она што ми го даде смислата на овие зборови.
„Зошто не го правиш она што сакаш?” ти беше мојот прашање,
и ти беше она што ми го даде смислата на овие прашања.

Мојот пријател, ти беше маж, ти беше силна личност,
ти беше она што ми го даде смислата на овие спомени.
Ти беше култура, ти беше историја, ти беше спомен.

Ти беше она што ми го даде смислата на овие зборови,
ти беше она што ми го даде смислата на овие звукови.
Ти беше она што ми го даде смислата на овие минути,
ти беше она што ми го даде смислата на овие секунди.

Ти беше она што ми го даде смислата на овие перцепции,
ти беше она што ми го даде смислата на овие движења.
Ти беше она што ми го даде смислата на овие спомени,
ти беше она што ми го даде смислата на овие звукови.

Ти беше она што ми го даде смислата на овие перцепции,
ти беше она што ми го даде смислата на овие спомени.
Ти беше она што ми го даде смислата на овие звукови,
ти беше она што ми го даде смислата на овие спомени.

Ти беше она што ми го даде смислата на овие спомени,
ти беше она што ми го даде смислата на овие звукови,
ти беше она што ми го даде смислата на овие спомени.",624,954,1578,4758
Петре М. Андреевски,До кога,- Активен глас- Женски заменки- Зборови за комуникација- Зборови поврзани со смрт- Зборови фокусирани на сегашноста- Интерпункциски симболи- Машки заменки- Негативен тон- Негативна емоција- Повторени зборови- Тага- Фигуративен јазик- Фрагмент од реченица,Тага на исчезнатиот разговор,"Тага на исчезнатиот разговор

Ти, таа, што ми го зеде гласовите,
Зошто ти, таа, ми ги зеде очите?
Сега, сега, ти си тука, а јас сум тука,
Срцето ми брзи, но ти си тука, а јас сум тука.

„Зошто не говориш?“ — прашаше тој, тој,
„Зошто не говориш?“ — прашаше ја, ја.
Но ти, таа, ти си тука, а јас сум тука,
Сега, сега, ти си тука, а јас сум тука.

„Зошто умреш?“ — праша тој, тој,
„Зошто умреш?“ — праша ја, ја.
Но ти, таа, ти си тука, а јас сум тука,
Сега, сега, ти си тука, а јас сум тука.

Тага, тага, колку ти си тука, а јас сум тука,
Срцето ми брзи, но ти си тука, а јас сум тука.
„Зошто не говориш?“ — праша тој, тој,
„Зошто не говориш?“ — праша ја, ја.

„Зошто умреш?“ — праша тој, тој,
„Зошто умреш?“ — праша ја, ја.

Тага, тага, колку ти си тука, а јас сум тука,
Сега, сега, ти си тука, а јас сум тука.",330,488,818,2583
Петре М. Андреевски,Таа,- Активен глас- Женски заменки- Зборови кои изразуваат желби- Зборови кои означуваат жени- Зборови поврзани со визуелна перцепција- Зборови поврзани со смрт- Зборови фокусирани на сегашноста- Интерпункциски симболи- Неутрален тон- Увид- Фигуративен јазик- Фрагмент од реченица,Тајната на Животот,"Тајната на Животот

Таа зборува со очите, нијансите на сончевиот светилник,
Таа, онаа што мисли со срце, жената на моите сонови.
Желбите ми се исполнуваат кога ја гледам,
Таа, онаа што ми го осветлува животот со својата присуство.

Сегашноста е нејзино живописно творештво,
Секој миг со неа е ново откритие, нова перспектива.
Таа гледа во душата, ми го открива она што немам зборови за,
Таа, онаа што ми го враќа смртта во смисла на нов живот.

Сончевиот свет, нејзиниот поглед,
Тој ми го враќа видот на светлината,
Таа, онаа што ми го враќа животот на секој миг.

Таа е сон, она што го очекуваме,
Таа е смрт, но и живописен сон,
Таа е сегашноста, она што го имаме,
Таа е она што никогаш не го заборавуваме.

Таа е сон, она што го очекуваме,
Таа е смрт, но и живописен сон,
Таа е сегашноста, она што го имаме,
Таа е она што никогаш не го заборавуваме.",341,480,821,3002
Петре М. Андреевски,ВТОРА ИСПОВЕД,- Активен глас- Броеви- Долга реченица (run-on)- Женски заменки- Зборови за комуникација- Зборови поврзани со визуелна перцепција- Зборови поврзани со време- Зборови поврзани со дом- Зборови поврзани со меморија- Зборови поврзани со смрт- Зборови фокусирани на минатото- Интерпункциски симболи- Неутрален тон- Повторени зборови- Фигуративен јазик- Фрагмент од реченица,Песна за спомени и домови,"Песна за спомени и домови

Во домот на спомени, каде што ветрот често зборува,
триесет и два пати ја слушав мајка како раскажува.
„Тука, во оваа куќа, минатото живо е,“ рече,
и јас, слушајќи, сеќавајќи, секој ден се враќам назад.

Седум вечерни часови, светлината паѓа, тихо говори,
светлината на минатото, она што никогаш не го заборави.
„Тука,“ рече таа, „секој ден е нов, но сè уште ми е дом,“
и јас, со срцето полн со спомени, го чувствувам него.

Очите гледаат ѕидови, ѕидови што раскажуваат,
секој ден, секоја вечер, нивните приказни се враќаат.
„Тука,“ рече таа, „секој ден е нов, но спомените остануваат,“
и јас, со душа полна со минатото, го чувствувам него.

„Тука,“ рече таа, „домот е она каде што срцето се чувствува слободно,“
и јас, слушајќи, сеќавајќи, секој ден се враќам назад.

Седум вечерни часови, светлината паѓа, тихо говори,
светлината на минатото, она што никогаш не го заборави.
„Тука, во оваа куќа, минатото живо е,“ рече таа,
и јас, со срцето полн со спомени, го чувствувам него.

„Тука,“ рече таа, „секој ден е нов, но спомените остануваат,“
и јас, со душа полна со минатото, го чувствувам него.

„Тука,“ рече таа, „домот е она каде што срцето се чувствува слободно,“
и јас, слушајќи, сеќавајќи, секој ден се враќам назад.",380,674,1054,4069
Петре М. Андреевски,ПРВАТА РАЗДЕЛБА,- Активен глас- Анксиозност- Бидување несигурен/колеблив- Долга реченица (run-on)- Женски заменки- Зборови кои изразуваат недостаток- Зборови кои изразуваат потреби- Зборови поврзани со аудитивна перцепција- Зборови поврзани со визуелна перцепција- Зборови поврзани со време- Зборови поврзани со меморија- Зборови поврзани со просторна перцепција- Зборови поврзани со смрт- Зборови фокусирани на минатото- Интерпункциски симболи- Негативен тон- Негативна емоција- Прикажување меѓучовечки конфликт- Тага- Фигуративен јазик- Фрагмент од реченица,Тага на исчезнатиот ден,"Тага на исчезнатиот ден

no_song_found",463,1786,2249,5262
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,- Активен глас- Анксиозност- Бидување љубезен- Долга реченица (run-on)- Женски заменки- Зборови за комуникација- Зборови кои означуваат жени- Зборови поврзани со визуелна перцепција- Зборови поврзани со време- Зборови поврзани со меморија- Зборови поврзани со привлечност- Зборови поврзани со религија- Зборови поврзани со смрт- Зборови фокусирани на минатото- Интерпункциски симболи- Негативен тон- Негативна емоција- Оксфордска запирка- Повторени зборови- Просоцијално однесување- Сексуална содржина- Тага- Увид- Фигуративен јазик,Темнината на спомените,"Темнината на спомените

Темнината на спомените, ти си сенката што ме гони,
активно прашајќи се: „Каде ми ги изгубив оние денови?
Анксиозноста ме опколува, како да ми ги врати она што го изгубив,
бидувајќи љубезен, но сè пак прашајќи се: „Што стана со светлината?“

Долгата реченица ме брка, ти си ми шепот во ушите:
„Сеќавањата се како слики, но ти си ги избриша, ти ми ги изгуби.
Женскиот лик на спомените, ти си ми сонот што го губиме,
и ние ги бараме зборовите за комуникација, но ти си ги искриви.

Зборовите за жени звучат како далечни песни, ти си ми спомен за она што нема,
визуелна перцепција на минатото, ти си ми сон што се расипува.
Време е да се врати она што ми го зема, ти си ми спомен за она што го губиме,
и спомените ми се како стари писма, ти си ми минатото што не го вратиме.

Спомените ми се како слики на привлечност, но ти си ми сенка на смрт,
и ми ги зема она што ми беше најдраго. Оксфордска запирка во срцето,
тагата ме опколува, ти си ми сон што се расипува.
Увидот во минатото е тука, но ти си ми спомен за она што не го вратиме.

Просоцијално однесување, ти си ми прашање што нема одговор,
сексуалната содржина на спомените е тука, но ти си ми сон што се расипува.
Негативниот тон на спомените е тука, ти си ми сенка на смрт,
и ми ги зема она што ми беше најдраго.

Темнината на спомените, ти си сенката што ме гони,
и ние ги бараме зборовите за комуникација, но ти си ги искриви.",460,718,1178,4310
