author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Индикатори за моќ
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи",Тага на Заборавениот Ветер,"Тага на Заборавениот Ветер

Ветер, ти кој беше светот на минатото, 
колку силно ти ми го носиш она што сите го заборави,
кога ти тихо шеташ, ми го шепнеш она што никогаш не го слушав,
сите ми го губеа, но ти си останав, вечен спомен.

Женските окоси што ти ги носев, 
сега тихо летаат, исполнети со тага,
долгата реченица на тинестиот ветер,
активно ги шепа своите спомени, 
просоцијално се однесувајќи кон минатото.

Индикатори за моќ, ти си го знаеш тоа,
но ти си мислиш дека сите го заборавиле,
увидот во срцето, тука е тагата,
негативната емоција што никогаш не исчезна,
и тука е смртта на сите што го имаше.

Културата на минатото, ти си ја чуваш,
во минатото, ти си го знаев сè,
временските стрели што ни ги носат спомени,
повторени зборови, женски заменки,
сите ни се враќаат кон тебе.

Ти, ветре, ти си споменот на жените,
и тихо, со интерпункциски симболи,
ти го шепаш минатото, 
и тука сме ние, исполнети со тага,
заборавените ветрови на минатото.",471,500,971,3357
Петре М. Андреевски,Првата разделба,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Бидување несигурен/колеблив
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи
Оксфордска запирка",Темнината на спомените,"Темнината на спомените

Темнината го опфаќа срцето, како сенките на вечерната тишина;
кога беше тука, светлината беше близу, но сега ти си далеку.
Сеќавањата, фрагменти од минатото, се пливаат во водите на спомените,
долга реченица на несигурност, колебливост, несвесно испуштена.

Живописни слики се разбија, исчезнаа, но уште се слуша звукот на тишината,
која го исполнува просторот, прашајќи: „како може да се живее без тебе?”
Тага го опфаќа душата, јас сум исполнет со прашања, празнини,
кои се шират како морето на несигурност, анксиозност, болка.

Сеќавањата, оние што го исполнуваат умот, често се исчезнуваат,
но уште ги чувствувам нивните траги, нивниот звук, нивната сенка.
Менталното здравје се троши, како ветерот на ветровите на времето,
кој го носат минатото, смртта, прашањата за што и зашто.

„Кај се сите?” се праша јас, исполнет со празнини, недостатоци,
и сè уште се слуша звукот на тишината, прашајќи: „како да се живее без звук?”
„Кај е светлината?” се праша јас, исполнет со сенки, празнини,
и сè уште се гледа сликата на минатото, трагите на смртта.

Темнината на спомените го опфаќа срцето, како сенките на вечерната тишина,
и јас сум исполнет со прашања, несигурност, несвесно испуштена.",512,629,1141,4158
Петре М. Андреевски,1903,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Просоцијално однесување
Прикажување меѓучовечки конфликт
Морализирање
Зборови за комуникација
Индикатори за моќ
Увид
Сè или ништо размислување
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви",Темното време на спомените,"Темното време на спомените

Темното време на спомените, кога сите тихо стојат,
кога ти го гледаш она што беше, но не можеш да го врати.
Фигуративен јазик, долга реченица, тихо шепотејки,
активниот глас на минатото, машките заменки се губаат.

Просоцијално однесување, но конфликтот е неизбежен,
морализирањето исчезнува, а траги од тага остава.
Комуникацијата е празна, а индикаторите за моќ се губаат,
увидот се губи во темнината на спомените.

Се или ништо, она што ќе остане, тихо стои во тишината,
зборови поврзани со меморија, но тие се исчезнуваат.
Негативната емоција се шири, тагата го опфаќа срцето,
негативниот тон се успиња, уште посилно го опколува.

Зборови поврзани со аудитивна перцепција, но тие се губаат,
визуелна перцепција, но она што беше, се губи во темнина.
Ризикот е висок, а потребите се остаруваат,
недостатокот се зголемува, а смртта близи.

Политиката е далеку, а културата се губи во времето,
минатото е далечко, а сегашноста е празна.
Повторени зборови, мажи кои стојат настрана,
интерпункциски симболи, но смислата се губи.

Броеви се губаат, а минатото се враќа,
зборови кои означуваат мажи, но тие се исчезнуваат.
Темното време на спомените, каде сè е прасто и тужно,
и само тихото шепотење на минатото останува.",597,616,1213,3879
Петре М. Андреевски,ЛЕТУВАЊЕ,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Зборови за комуникација
Индикатори за моќ
Увид
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Величествено Минато,"Величествено Минато

Величествено минато, ти беше како сон долг и сенки на сончеви зраци, 
кога сите се спојуваа кај огништата, јас слушав како ти таа го раскажуваше 
приказната на денот кога светот беше нов, ќе го споменеме сите.

Женскиот ветер носев големи тајни, просоцијално се споделуваа 
искуствата, зборовите за комуникација се испливаа во тишината 
како лајсни на ветер. Индикатори за моќ се скриваа во секој чекор, 
увидот беше како сонце што светка во сенките на минатото.

Аудивтивниот свет беше полн со звукови на стари инструменти, 
визуелни перцепции на танци и фестивали, движење што го исполнуваше 
воздухот со живот. Привлечноста на културата беше недостижна, 
сите се стремуваа кон неа, како да е смртта што никогаш не се стигнува.

Културата беше живописен панон, минатото беше часовник што 
секогаш беше во тек, а интерпункциски симболи беа тишините 
меѓу зборовите, полнејќи го просторот со мистерија.

Величествено минато, ти беше сон што секогаш ќе го носам со себе, 
како звук на далечниот бубен, како светлина на далечната ѕвезда.",487,529,1016,3597
Петре М. Андреевски,ИЗЛЕТ,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Зборови поврзани со меморија
Негативна емоција
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со привлечност
Зборови поврзани со љубопитност
Зборови кои изразуваат желби
Зборови поврзани со храна или јадење
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Зборови кои изразуваат количина
Зборови кои означуваат пријатели
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви
Издолжени зборови",Мисли на Непознатото,"Мисли на Непознатото

Ти го знаеш како сончевиот светилник 
кога беше најсилен, осветлуваше сите темни улици 
и ти, ти беше светилникот на моите надежни ноќи 
кога таа, таа ми беше ѕвезда во најмрачниот час.

Кај сегашноста, ти ќе го најдеш патот 
и ќе го слушаш звукот на срцето кое ти го даваше 
и ќе го чувствуваш ветерот на минатото 
кој ти беше ветер на надеж.

Јас го знаев како ќе го најдеш својот правец 
и ќе го слушаш звукот на животот кој ти го даваше 
и ќе го чувствуваш ветерот на минатото 
кој ти беше ветер на надеж.

Сега, ти го имаш сите прашања 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.

Ти го знаеш како звукот на ветерот 
кој ти го носи минатата 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.

Ти го знаеш како звукот на срцето 
кое ти го даваше надеж 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.

Ти го знаеш како звукот на животот 
кој ти го даваше сила 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.

Ти го знаеш како звукот на минатото 
кој ти го носи светлина 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.

Ти го знаеш како звукот на смртта 
кој ти го носи тишина 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.

Ти го знаеш како звукот на културата 
кој ти го носи идентитет 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.

Ти го знаеш како звукот на времето 
кој ти го носи промена 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.

Ти го знаеш како звукот на љубовта 
кој ти го носи среќа 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.

Ти го знаеш како звукот на смртта 
кој ти го носи тишина 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.

Ти го знаеш како звукот на минатото 
кој ти го носи светлина 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.

Ти го знаеш како звукот на смртта 
кој ти го носи тишина 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.

Ти го знаеш како звукот на културата 
кој ти го носи идентитет 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.

Ти го знаеш како звукот на времето 
кој ти го носи промена 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.

Ти го знаеш како звукот на љубовта 
кој ти го носи среќа 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.

Ти го знаеш како звукот на непознатото 
кој ти го носи прашање 
и ти го знаеш како да се справиш со сето тоа 
но има нешто што ти го останува 
и тоа е прашањето на непознатото.",676,1623,2299,7290
Петре М. Андреевски,До кога,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Машки заменки
Женски заменки
Зборови за комуникација
Негативна емоција
Тага
Негативен тон
Зборови поврзани со смрт
Зборови фокусирани на сегашноста
Повторени зборови
Интерпункциски симболи",Тага на смртта,"Тага на смртта

Како, ти, беше тука, сега сите ти си однела,
Тага, јас го чувствувам вако, ти ми го остави празниот дом.
Кога ти си отишла, сите ти си однела надеж,
Ти, таа, ти ми го остави празниот ѕид.

Кај мен, ти, ќе се врати, но ти си однела срце,
Женски заменки, ти ми ги остави празни празнини.
Зборови за комуникација, ти ги изгубив, ти,
Негативна емоција, ти ми ја остави тага.

Тука, ти, смрт, си дојде, ти ми го зеде светот,
Тага, јас го чувствувам вако, ти си однела свет.
Негативен тон, ти ми го остави празниот ден,
Зборови поврзани со смрт, ти ми ги остави празни.

Повторени зборови, ти, ти, ти си однела,
Интерпункциски симболи, ти ми ги остави празни.
Како, ти, ќе се врати, но ти си однела сите,
Тага, јас го чувствувам вако, ти си однела сите.",382,434,816,2600
Петре М. Андреевски,Таа,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Женски заменки
Увид
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат желби
Зборови поврзани со смрт
Зборови фокусирани на сегашноста
Зборови кои означуваат жени
Интерпункциски симболи",Темнината на Животот,"Темнината на Животот

Како ти го осветлуваш денот, 
кога беше светло, ти таа го губеше?
Сега сите се во сенки, 
кај празнината што јас јас ја чувствувам.

Фигуративно, ти јас јас го гледам сончевиот сјај,
но фрагмент од реченица, ти ми го зема животот.
Активен глас, ти го крева звукот на тишината,
а женскиот сјај се расипува во празнина.

Увид во темнината, 
неутрален тон на смртта што доаѓа.
Зборови поврзани со визуелна перцепција, 
но ти ги губи сите нијанси на светлина.

Желбите се губеат, 
како да смртта ги зема сите нијанси на надеж.
Зборови фокусирани на сегашноста, 
и ти јас јас сум само сенка на себе.

Жената во темнината, 
искачува се, но никогаш не достигнува светлина.
Интерпункциски симболи на празнината,
која ни ги зема сите надежни зборови.

Како ти ќе го најдеш патот,
кога сите се загубени во темнината на животот?",393,448,841,3619
Петре М. Андреевски,ВТОРА ИСПОВЕД,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Зборови за комуникација
Зборови поврзани со меморија
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Броеви",Пејзаж на спомени,"Пејзаж на спомени

Тука, блиску до тишината, ти го чувствуваш како светлината на минатото се разигра на ѕидините на домот, 
кога беше полно со звукови на смеа и љубов. 
Сега, сите празнини се полнат со тишина, 
и таа, која беше блиску, сега е далечна како ѕвезда во ноќта.

Се сеќаваш ли на денот кога тие ни беа дадени? 
Сеќуверието, како сон, се разигра во мозокот, 
и тие зборови за комуникација, сега ги слушаш како ехе во празнината.

Сега, околу нас, само тишината го опишува минатото, 
и ние стоиме како ѕидови на домот, стари и тивки. 
Како, никој не го слуша ветрот како разговара за нив, 
и времето тече како река, но ние остануваме тука, во минатото.

Сеќавањата се испреплетени како мрежа на спомени, 
и ние ги гледаме како слики во стари албуми. 
Сега, смртта е блиску, но ние го држиме минатото во рацете, 
и тие зборови, сега звучат како ветер во пустина.

Сеќавајќи се на сите моменти, ние стоиме тука, 
и тие зборови, сега звучат како ехе во празнината. 
Сега, ние сме тука, ти и јас, исполнети со спомени, 
и тие зборови, сега живеат во сеќавањата на домот.

Сега, ние сме тука, ти и јас, исполнети со спомени, 
и тие зборови, сега живеат во сеќавањата на домот.

Сега, ние сме тука, ти и јас, исполнети со спомени, 
и тие зборови, сега живеат во сеќавањата на домот.",432,686,1118,4504
Петре М. Андреевски,ПРВАТА РАЗДЕЛБА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Бидување несигурен/колеблив
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Темното време на спомените,"Темното време на спомените

Темното време на спомените, кога сите тихо го чекаме,
кога беше тука, а сега таа мислите ги губиме.
Фигуративен јазик, долга реченица, ние ги плетеме,
активни зборови, женски заменки, ние ги испишеме.

Кога ти го губеше местото, јас сите спомени ги чувавме,
но сега тихо, колеблив, срцето ми го губеше ритамот.
Меморијата ми ја исполнува тага, анксиозност,
и негативен тон, мислите ми се враќаат назад.

Слушав како ветерот шепоти, ми ги шепотеше спомените,
визуелна перцепција, ми ги ритуализираше очите.
Просторот ми беше пун со потреби, но недостаток беше сè што имав,
смртта ми се чинеше блиску, минатото ми беше единствено.

Интерпункциски симболи, тихо, ние ги испишеме,
како да ние сами себе си го губеме во темното време на спомените.",515,415,930,2818
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со религија
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Тага на минатото,"Тага на минатото

Како да се врати времето, ти, кога беше сè уште свежо и ние сите заедно, кај она што го знаевме, јас и таа, која ми беше најблиска? 
Сега сите се разделени, а ти, ми го оставив прашањето како да се врати она што беше, она што ќе биде, но не и она што беше? 
Тага ме опфати, кога мислим на она што ми беше дадено, а сега е минатото, минатото што никогаш нема да се врати, никогаш нема да се повтори.

Анксиозноста ме опфати, ти, кога мислим на она што го изгубивме, на она што никогаш нема да се врати, никогаш нема да се повтори. 
Тага, она што го чувствувам, јас, кога мислим на она што беше, на она што никогаш нема да се врати, никогаш нема да се повтори. 
Негативниот тон ме опфати, ти, кога мислим на она што го изгубивме, на она што никогаш нема да се врати, никогаш нема да се повтори.

Зборови поврзани со меморија, ти, кога мислим на она што беше, на она што никогаш нема да се врати, никогаш нема да се повтори. 
Зборови поврзани со визуелна перцепција, јас, кога мислим на она што беше, на она што никогаш нема да се врати, никогаш нема да се повтори. 
Зборови поврзани со привлечност, ти, кога мислим на она што беше, на она што никогаш нема да се врати, никогаш нема да се повтори.

Зборови поврзани со смрт, јас, кога мислим на она што беше, на она што никогаш нема да се врати, никогаш нема да се повтори. 
Сексуална содржина, ти, кога мислим на она што беше, на она што никогаш нема да се врати, никогаш нема да се повтори. 
Зборови поврзани со религија, јас, кога мислим на она што беше, на она што никогаш нема да се врати, никогаш нема да се повтори.

Зборови фокусирани на минатото, ти, кога мислим на она што беше, на она што никогаш нема да се врати, никогаш нема да се повтори. 
Зборови поврзани со време, јас, кога мислим на она што беше, на она што никогаш нема да се врати, никогаш нема да се повтори. 
Повторени зборови, ти, кога мислим на она што беше, на она што никогаш нема да се врати, никогаш нема да се повтори.

Зборови кои означуваат жени, јас, кога мислим на она што беше, на она што никогаш нема да се врати, никогаш нема да се повтори. 
Интерпункциски симболи, ти, кога мислим на она што беше, на она што никогаш нема да се врати, никогаш нема да се повтори. 
Оксфордска запирка, јас, кога мислим на она што беше, на она што никогаш нема да се врати, никогаш нема да се повтори.",512,1135,1647,4841
