author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Индикатори за моќ
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи",Тага на минатото,"Тага на минатото

no_song_found",472,529,1001,3792
Петре М. Андреевски,Првата разделба,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Бидување несигурен/колеблив
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи
Оксфордска запирка",Тага на Заборавената Меморија,"Тага на Заборавената Меморија

Меѓу сенките на сите што беше, нејзината сенка се разбира неа, пред неа, оти јас сум тука, мојата првата љубов, ce онаа која не ја имаме повеќе.

Фрагмент од реченица, долга и неспретна, јас ли го имав срцето, но сега тоа е празна празнина, прашања без одговори, празни зборови кои се губеа во ветрот на спомените.

Активен глас, јас го барам нејзиниот звук, нејзиниот смевок, но само тихоста ми одговара, тихоста што го полни мојот ум, полни со празнини и прашања.

Женски заменки, нејзината сенка, неа, нејзината тишина, нејзината тага, сега ми го пуштаат умот да се колебава, несигурен дали го знаам што сакаше.

Увид во минатото, сега сите се губеа во темнината на времето, време што беше, но сега е само празнина, празнина што ме опкружува, празнина што ме прави да се колебам, да се бидувам.

Зборови поврзани со меморија, спомени, оние мигнови кои сега се само сенки, сенки кои ме опкружуваат, сенки кои ме прават да чувствувам болка, болка што е негативна емоција, болка што е анксиозност, болка што е тага.

Негативен тон, празни зборови, празни спомени, празни очекувања, празни надеж, празни исполнети со тишина, тишина што е полна со празнини.

Зборови поврзани со аудитивна перцепција, звукови, оние звукови кои сега не се слушаат, звукови кои се губеа во тишината, тишина што е полна со празнини.

Зборови поврзани со визуелна перцепција, слики, оние слики кои сега не се гледаат, слики кои се губеа во темнината, темнина што е полна со празнини.

Зборови кои изразуваат потреби, потреба, онаа потреба што сега не е исполнета, потреба што е празна, празна како празнината во мојот ум.

Зборови кои изразуваат недостаток, недостаток, онаа болка што се полни со недостаток, недостаток што ме прави да се колебам, да се бидувам.

Зборови поврзани со ментално здравје, здравје, онаа болка што е празна, празна како празнината во мојот ум, празнина што ме прави да поминавам низ ментални кризи.

Зборови поврзани со смрт, смрт, онаа смрт што е празна, празна како празнината во мојот ум, празнина што ме прави да се колебам, да се бидувам.

Зборови фокусирани на минатото, минатото, онаа минатост што е празна, празна како празнината во мојот ум, празнина што ме прави да се колебам, да се бидувам.

Зборови поврзани со време, време, онаа минатост што е празна, празна како празнината во мојот ум, празнина што ме прави да се колебам, да се бидувам.

Интерпункциски симболи, ., !, ?, ,, тие се само симболи на празнина, празнина што ме прави да се колебам, да се бидувам.

Оксфордска запирка, па, сега, а, но, тие се само симболи на празнина, празнина што ме прави да се колебам, да се бидувам.

Тука завршивме, тука заврши минатото, тука заврши онаа болка, тука заврши онаа тага, тука заврши онаа празнина.",513,1316,1829,7345
Петре М. Андреевски,1903,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Просоцијално однесување
Прикажување меѓучовечки конфликт
Морализирање
Зборови за комуникација
Индикатори за моќ
Увид
Сè или ништо размислување
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви",Темнината на спомените,"Темнината на спомените

Беше време кога сите меѓу нас се единствени,
нејзината сенка секогаш го следеше мојата стапка.
Пред оти уште да го разбереме, првата рана беше исфрлена,
целосно, без оглед на она што беше.

Межу нас, моралитетот се расипуваше,
ако не го држиме јазикот фигуративен, ќе се разделиме.
Активниот глас на моите ставови, често ги повикуваше сите,
но неа, само неа, ја исклучувавме од играта.

Машките заменки се губеа во прашањата,
просоцијално однесување се претвораше во борба.
Меѓучовечкиот конфликт се интензивираше,
и морализирањето стана единственото решение.

Зборови за комуникација се губеа во тишината,
а индикаторите за моќ се менуваа на секој чекор.
Увидот беше замрзнат, сè или ништо размислувањето беше заборавено,
а меморијата ги чуваше оние што веќе го заборавиа.

Негативната емоција се ширеше како епидемија,
тагата стана наша единствена дружељубива придружница.
Негативниот тон беше единствениот што остануваше,
а звукот на тишината беше најсилниот говорник.

Визуелните перцепции се замреа,
а ризикот стана најблизок пријател.
Нашите потреби се исполнети со празнина,
а недостатокот беше единствениот правец.

Смртта ни беше позната како најдобрата пријателка,
а политиката ни ги стоеше на прагу на културата.
Зборовите фокусирани на минатото беа најсилни,
временските стрели се губеа во вечноста.

Повторените зборови се губеа во прашањата,
машките сили се спојуваа во една единствена борба.
Интерпункциски симболи беа единствените празнини,
броевите ги броеа секундите на нашата трагична судбина.

Беше време кога сите меѓу нас беа единствени,
но сега, ние сме само сенки на она што беше.",598,770,1368,5177
Петре М. Андреевски,ЛЕТУВАЊЕ,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Зборови за комуникација
Индикатори за моќ
Увид
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Мислите на Нејзината Душа,"Мислите на Нејзината Душа

Беше време кога сите се свртеа кон нејзината светлина, 
првата што се осмели да го осветли темниот дел од нас. 
Меѓу звучните бранови, неа оти беше онаа која ги слушаше 
мојата душевна тајна, првата која го разбра.

Живописни слики се формираа, нијанси на култура 
и звукови кои го исполнуваа воздухот, 
а таа, нејзината душа, беше центарот на сè. 
Секој ден беше ново искуство, но ноќта го носија 
сите таинствени сенки на смрт.

Тука, во минатото, сите се свртеа кон нејзината светлина 
и ние ги слушавме звучните бранови, 
долгите реченици кои беа полнети со моќ. 
Нејзината перцепција на движење беше неверојатна, 
и таа беше онаа која ги креираше најпривлечните слики.

Мислата на неа беше како звук кој се шири, 
и како светлина која се проширува, 
осветлувајќи ги сите темни куќи на смрт. 
Нејзината култура беше онаа која ги осветлуваше 
најдлабоките делови на нашите души.

Сега, тука, во оваа моменталност, 
ние ги чувствуваме нејзините остатоци, 
и сите се осмеливаме да ги споделиме нашите мисли 
и да ги искористиме минатите за да се гледаме подолу.

Тука, во овие долги реченици, 
ние го чувствуваме нејзиниот увид, 
и ние сите го споделуваме овој неверојатен тон 
на неутралност и перцепција на светот околу нас.",488,638,1126,4391
Петре М. Андреевски,ИЗЛЕТ,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Зборови поврзани со меморија
Негативна емоција
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со привлечност
Зборови поврзани со љубопитност
Зборови кои изразуваат желби
Зборови поврзани со храна или јадење
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Зборови кои изразуваат количина
Зборови кои означуваат пријатели
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви
Издолжени зборови",Споменици на времето,"Споменици на времето

no_song_found",677,1786,2463,7489
Петре М. Андреевски,До кога,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Машки заменки
Женски заменки
Зборови за комуникација
Негативна емоција
Тага
Негативен тон
Зборови поврзани со смрт
Зборови фокусирани на сегашноста
Повторени зборови
Интерпункциски симболи",Тага на исчезнатиот сон,"Тага на исчезнатиот сон

Беше време кога сите се смеа, 
меѓу нејзината светлина и мојата сенка.
Ти отидов, првата сенка што ја најдов,
пред да го осмислувам сонот што го загубив.

Ти беше, сите надежи, сите надевања,
неа, нејзината веселина, нејзината љубов.
Сега, ти си отиде, а јас сум останат,
со тага што ја носам во секоја момент.

Зборови на надеж, сега ги слушам,
но ти си ми ги одзема, ти си ми ги зема.
Негативна емоција, тага низ срцето,
смртта на мојот сон, смртта на моето срце.

Тука, во сегашноста, ти си неприсутен,
а јас сум овде, ти си отсутен.
Ти беше, сите, меѓу нас, сега само јас,
со тага што ја носам, со смртта што ја осетувам.

Ти беше, сите, меѓу нас, сега само јас,
со тага што ја носам, со смртта што ја осетувам.",383,403,786,2734
Петре М. Андреевски,Таа,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Женски заменки
Увид
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат желби
Зборови поврзани со смрт
Зборови фокусирани на сегашноста
Зборови кои означуваат жени
Интерпункциски симболи",Мислите на Една Жена,"Мислите на Една Жена

Беше време кога сите околу неа 
Гледаа како нејзината сенка се движеше 
Пред неа, оти уште не стигна 
Мојата прва светлина.

Желбите на нејзината душа 
Се губеа во темнината 
Межу ѕвездите, таа бараше 
Неутрална перцепција на смртта.

Очите ѝ, искрени и искрени 
Се фокусираа на сегашноста 
Животинскиот ритам на срцето 
Беше единствениот звук што се слушаше.

Тишината ѝ беше единствена пријателка 
Живописни слики во глава 
Сегашноста беше нејзината единствена ствар 
Жената, она што секогаш сакаше.

Тука, во ова момент, 
Се осмели да помине 
Пред прагот на непознатото 
Секој ден како првата светлина.

Жената, со очекувања на смртта 
Секој ден го гледаше како ново рајско рајце 
Тука, во сегашноста, 
Секој ден беше ново рајско рајце.",394,411,805,2952
Петре М. Андреевски,ВТОРА ИСПОВЕД,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Зборови за комуникација
Зборови поврзани со меморија
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Броеви",Споменици на Минатото,"Споменици на Минатото

Беше време кога сите поминаа, 
меѓу нијози, нејзината сенка се шеташе, 
пред да отиде таму каде што не се враќа, 
мојата првата светлина, ти си ми ја остави.

Сега, пред да се случи она што не се враќа, 
сите поминаа, ти си ја остави неа, 
светот стана посигурен, но празнината беше огромна, 
првата ѕвезда што се сруши, ти си ја осветли.

Ти си ми ја остави неа, 
и јас сè уште слушам звукот на твоите зборови, 
тие се исчезнаа, но сепак се овде, 
во мојата глава, во секој дел.

Споменици на минатото, 
ти си ги остави, 
и јас сè уште ги гледам, 
сите оние спомени, 
сите оние часови, 
сите оние брзини на времето.

Ти си ја остави неа, 
и јас сè уште ја чувствувам нејзината присутност, 
сите поминаа, но ти си ја остави неа, 
во мојата куќа, во мојата душа.

Споменици на минатото, 
ти си ги остави, 
и јас сè уште поминавам, 
меѓу спомените, 
меѓу ѕвездите, 
меѓу сенките на она што беше.

Беше време кога сите поминаа, 
и ти си ја остави неа, 
сите поминаа, 
но ти си ја остави неа, 
во мојата куќа, во моето срце.

Споменици на минатото, 
ти си ги остави, 
и јас сè уште поминавам, 
меѓу спомените, 
меѓу ѕвездите, 
меѓу сенките на она што беше.",433,627,1060,3705
Петре М. Андреевски,ПРВАТА РАЗДЕЛБА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Бидување несигурен/колеблив
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Тага на минатото,"Тага на минатото

Меѓу сенките на сите спомени, беше нејзината тишина,
првата светлина што осветлуваше мојата вечерина,
од неа, сите траги исчезнаа, како да оти беа ништо.
Мојата душа се колебала, нејзината љубов станаше празнина.

Пред да се случи она што не можеше да се избегне,
сите надежи се урнаа, како да се урна првата ѕвезда.
Оти сега, тишината е мој единствен пријател,
мојата глава полна со празнини, празнини што не се исполнуваат.

Нејзината смрт беше звукот што го слушав секој ден,
беше звукот на празнината, на она што недостасуваше.
Сега, сите спомени станаа празни зборови,
сите ми останаа како празни празнини во душа.

Тага ме опкружува, како да ме гушеше,
сите мои надежни снови се урнаа, како да се урна првата светлина.
Мојата глава е полна со празни звуци,
сите мои мисли се празни празнини во минатото.

Анксиозност ме опкружува, како да ме гушеше,
сите мои спомени се празни празнини во минатото.
Тага ме опкружува, како да ме гушеше,
сите мои спомени се празни празнини во минатото.",516,507,1023,3482
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со религија
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Тука е тагата на минатото,"Тука е тагата на минатото

Беше време кога сите ни беа блиску, нејзината љубов го осветлуваше секој агорен утрински зрак, неа ја чувствував како дел од мојата душа, пред да се разделиме, оти беше првата љубов која ми ја исполнуваше животот со радост и со светлина ce.

Но сега, сите ни беа подалеку, нејзината сенка се губеше меѓу моите спомени, неа ја барав на секој уличен агол, пред да ја заборавиме, оти беше онаа првата љубов која ни го оставаше празниот дом полн со тишина ce.

Тага ме опфати, анксиозност ме опседнуваше, секој ден беше тежок како камен, мислите за неа ме дрпеа во бездната на минатото ce. Гледаше ги нејзините очии, онаа привлечност што беше како сон, сега исчезна, оставајќи го само празниот дел од срцето ce.

Временските стрели ми го носија минатото назад, сеќуверките се враќаа како ветер, ми ги повикуваа името, нејзината љубов, нејзината смрт, сега сè беше само празнина ce. 

Секој ден беше борба против тишината, против тагата, против она што беше минатото ce. И сепак, мислите за неа, за нејзината блискост, за нејзината љубов, секогаш се враќаа, силни како морето ce.

Беше време кога сите ни беа блиску, сега сите ни беа подалеку, нејзината љубов беше минатото, а сега живеев во сенката на нејзината тага ce.",513,617,1130,4268
