author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Индикатори за моќ
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи",Сенките на минатото,"Сенките на минатото

Во нејзината душа, беше скриена тага,
Меѓу сите споменици на изгубено време.
Пред неа, сè што остана, се фрагменти од реченици,
Што одекнуваат во нејзината свест, како звуци на култура.

Првата капка солзи, ја замаглува нејзината визија,
Оти таа гледа само сенки на минатото што ја мачат.
Мојата љубена, во активен глас, вели:
""Зошто оваа болка ме посетува, во овој миг?""

Нејзината привлечност, толку силна,
Но, таа е обвиткана во тага, што не се гаси.
Зборовите што ги употребува, се фокусирани на минатото,
Како да сака да го врати времето што беше.

Сите тие моменти, сега се само успомени,
Кои оставаат негативен тон во нејзината душа.
Во нејзината моќ, таа бара одговор,
Но, увидот ја избегнува, оставајќи ја во очај.",474,370,844,5237
Петре М. Андреевски,Првата разделба,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Бидување несигурен/колеблив
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи
Оксфордска запирка",Во сенката на спомените,"Во сенката на спомените

Во сенката на спомените, беше нејзината,
Замаглена слика, што плови меѓу нас.
Пред очите, фрагмент од реченица,
Што одекнува во тишината на душата.

Колеблива, несигурна, во активен глас,
Зборува за меморија што ја гуши.
Негативна емоција, анксиозност и тага,
Во нејзината, нејзината, нејзината.

Аудитивни перцепции, визуелни слики,
Потреби и недостатоци, што ја гризат.
Ментално здравје, во вртлогот на времето,
Што ја одведува кон вечниот сон.

Оксфордска запирка, во тишината,
Што ја дели минатото од сегашноста.
Сите, меѓу, пред, оти, мојата, првата,
Се исплетуваат во песна на болка.",519,321,840,3581
Петре М. Андреевски,1903,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Просоцијално однесување
Прикажување меѓучовечки конфликт
Морализирање
Зборови за комуникација
Индикатори за моќ
Увид
Сè или ништо размислување
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви",Заборавениот спомен,"Заборавениот спомен

Во тишината на минатото,
Се крие фрагмент од реченица,
Што некогаш беше меѓу нас.
Машките заменки одекнуваат,
Во нејзината сеќавање,
Пред да ја загуби сета надеж.

Во долгата реченица на животот,
Се крие просоцијално однесување,
Што минува незабележано.
Конфликтот меѓу нас,
Оти сме сè или ништо,
Оставја негативен тон во нејзината душа.

Потребата да комуницира,
Да најде увид во минатото,
Ја тера да слуша гласови,
Што го означуваат ризикот.
Нејзината меморија,
Обременета со тага и негативни емоции.

Во тоа време, сите беа фокусирани на политиката,
На културата што ја губевме,
Заборавајќи ги нашите потреби.
Првата љубов, сега само спомен,
Оставена да умре во темнината на минатото.

Денес, повторените зборови,
Што ја означуваат нејзината болка,
Одекнуваат низ времето,
Како звуци што ја демнат.
Во нејзината душа, постои само празнина,
Што никогаш нема да биде пополнета.",608,449,1057,5591
Петре М. Андреевски,ЛЕТУВАЊЕ,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Зборови за комуникација
Индикатори за моќ
Увид
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Одглас на ехо,"Одглас на ехо

Беше првата, меѓу сите,
нејзината глас во мојата тишина.
Пред зората, оти нејзината душа
ce одгласуваше како далечно ехо.

Тажни ноти, што ја следеа,
мешајќи ce со мирисот на време.
Нејзината привлечност, како магија,
ме вовлекуваше во свет на чувства.

Меѓу сенките, нејзините зборови
одекнуваа, обраќајќи ми ce.
Пред одлука, оти нејзината моќ
ме водеше низ мигови на оживување.

Беше првата, меѓу сите,
нејзината сенка во мојата иднина.
Пред крајот, оти нејзината смисла
остава траги во мојата култура.",487,286,773,3512
Петре М. Андреевски,ИЗЛЕТ,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Зборови поврзани со меморија
Негативна емоција
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со привлечност
Зборови поврзани со љубопитност
Зборови кои изразуваат желби
Зборови поврзани со храна или јадење
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Зборови кои изразуваат количина
Зборови кои означуваат пријатели
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви
Издолжени зборови",Меѓу нас,"Меѓу нас

Беше само миг,
Нејзината сенка меѓу сите.
Пред да трепне,
Нејзината душа ce отвори.

Мојата прва мисла,
Оти пред нас ce роди
Нешто што меѓу нас живее.
Пред да ce збогуваме,
Нејзината рака ме допре.

Во тишината,
Нејзините зборови одекнуваат.
Меѓу сите,
Нејзината љубов ме огрева.",686,189,875,2696
Петре М. Андреевски,До кога,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Машки заменки
Женски заменки
Зборови за комуникација
Негативна емоција
Тага
Негативен тон
Зборови поврзани со смрт
Зборови фокусирани на сегашноста
Повторени зборови
Интерпункциски симболи",Сенките на минатото,"Сенките на минатото

Беше сенка што ме следеше,
Меѓу сите што ме гледаа,
Нејзината болка ја чував,
Пред нејзината тага ce повлекував.

Мојата душа, нејзина стана,
Првата љубов, заробена во пепел.
Оти сега, ce сеќавам на неа,
Што во сегашноста, тагата ја носи.

Зборовите, меѓу нас ce губат,
Комуникацијата, ce распаѓа.
Смртта, ја чувствувам во секој удар,
Негативноста, ме следи без да престане.",382,228,610,3012
Петре М. Андреевски,ВТОРА ИСПОВЕД,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Зборови за комуникација
Зборови поврзани со меморија
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Броеви",Сеќавање на дом,"Сеќавање на дом

Беше тоа првата,
меѓу сите нејзини сеќавања.
Нејзината мајка пред неа,
оти таа веќе не беше.

Во сенките на мојата меморија,
цртите на нејзината визија,
како да се движат низ времето.
Пред мене, како да е сè вчера.

Дома, каде што беше нејзиниот живот,
сега тишина влада,
а јас, во бескрајот на годините,
се обидувам да ја запомнам.",436,199,635,2819
Кочо Рацин,Ленка,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Морализирање
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат болест
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Тага во листот,"Тага во листот

Фрагмент од животот, сенка во гради,
Тага што нема крај, што над мене вие.
Зборови што болат, што срцето гризат,
Денови што бледеат, што отсекогаш ќе бидат.

Над ова лице, над овие очи,
Тажен одблесок на она што нема.
Сама себе се гледам, во себе се губам,
Во празнина што ме гута, што ме убива.

Времето одминува, животот се гаси,
Гробот ме вика, ме повлекува надолу.
Во овој миг кога ќе се предадам,
Можеби ќе најдам мир, можеби ќе заврши.",418,250,668,3206
Кочо Рацин,Балада за непознатиот,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Прикажување меѓучовечки конфликт
Морализирање
Зборови за комуникација
Увид
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи",Сенки на минатото,"Сенки на минатото

Листови што шумат, огледало на живот,
Човек што во гради носи болен немир.
Над гробовите денови се ронат,
Срцето ехото на времето го слуша.

Има ли спас во овој безнадежен свет?
Нема одговор, само тага и сеќавање.
Во морето на сенки се губи секој чекор,
Тишината крие зборови што не можат да се кажат.

Звуците на минатото одекнуваат во гради,
Слики што некогаш биле живи сега се прашина.
Човекот што беше, сега е само сенка,
Заробен во лавиринт од спомени и тага.

Над гробовите, како сурова порака,
Се вие ветрот, шепотејќи за пропаднати животи.
Таа песна на смртта, сеприсутна и темна,
Во срцето го буди најдлабокиот страв.

Но, можеби во тишината ќе се роди нов глас,
Глас што ќе ја пронајде патеката кон светлина.
Можеби во овие сенки ќе се роди нов живот,
Живот што ќе ги избрише сите трагови на минатото.",539,415,954,5687
Кочо Рацин,Утрото над нас,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Машки заменки
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови фокусирани на сегашноста
Зборови поврзани со време
Интерпункциски симболи",Тага на еден лист,"Тага на еден лист

Над животот мој, лист сам го влечам,
Во гради што болат, се скршени ноти.
Човекот што беше, сега го немам,
Во гроб под земја, тишина влада.

Денови се бројат, а срцето вене,
Ништо не остана, само празнина.
Над мене се вијат сеќавања стари,
Што ми ја одземаат секоја визија.

Во тишината што ме опкружува,
Слушам звуци на движење, но ништо не гледам.
Времето застанало, животот замрел,
Само смртта владее над мојот простор.

Во сегашноста сум заробен,
Без можност за бегство, без надеж за иднина.
Тагата ме изеде, животот ми го згаси,
Остави ме сам, на овој лист што ме влече.",437,301,738,4387
