author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Индикатори за моќ
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи",Сенки од минатото,"Сенки од минатото

Беше таа, меѓу сите, нејзината моќ.
Пред нас, оти мојата првата љубов.
Сенки од минатото, сеќавања што не сакам да ги забораван.
Тагата ме гуши, црни мисли ме обземаат.

Беше нејзината убавина што ме привлекуваше, 
нејзината култура што ме фасцинираше.
Но, времето поминува, a сенките на минатото се враќаат.
Повторно ја гледам нејзината слика, нејзиното лице.

Тагата ме обзема, сета болка повторно ме наоѓа.
Зошто, зошто не можам да ја заборавам?
Дали некогаш ќе можам да ја избришам од мојата меморија?
Оваа неизбежна тага, овој негативен тон што ме обзема.",474,313,787,4243
Петре М. Андреевски,Првата разделба,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Бидување несигурен/колеблив
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи
Оксфордска запирка",Сеќавањата на нејзината,"Сеќавањата на нејзината

Беше меѓу сите, нејзината првата.
Пред мојата, оти ce споменот што трае.
Фрагмент од реченица, колебливо вечна,
Фигуративен јазик што тагува, што вика.

Долга реченица, run-on низ времето,
Активен глас што зборува за нејзината.
Женски заменки, што чуваат, што носат,
Увид во минатото, што не ce доближува.

Зборови поврзани со меморија, со звук, со вид,
Недостаток на оној што веќе не е тука.
Негативна емоција, анксиозност, тага, болка,
Тонот што одекнува, тежок, непомирлив.

Потреба за време што веќе не ce враќа,
За миг што беше, но сега ce губи.
Ментално здравје, свест за минатото,
Смрт на моментите што веќе не живеат.

Интерпункција, запирки, што ја делат болката,
Оксфордската запирка што ја чува нејзината.",519,367,886,4565
Петре М. Андреевски,1903,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Просоцијално однесување
Прикажување меѓучовечки конфликт
Морализирање
Зборови за комуникација
Индикатори за моќ
Увид
Сè или ништо размислување
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви",Сеќавањето на тагата,"Сеќавањето на тагата

Беше тоа првата, нејзината меѓу сите,
пред да сфатам дека пред мене стои.
Мојата тага, таа што ме следи,
оти сега знам, дека веќе не е таму.

Сеќавањето на нејзината рака,
меѓу сите што ме допираа,
пред да сфатам дека сè е само сенка,
што ме следи во секој миг.

Сеќавањето на нејзината смеа,
меѓу сите што одекнуваа,
пред да сфатам дека сега е тивко,
оти сега знам дека веќе не е таму.

Сеќавањето на нејзината душа,
меѓу сите што ја запознав,
пред да сфатам дека сега е само спомен,
што ме следи секогаш кога сум сам.",608,301,909,3862
Петре М. Андреевски,ЛЕТУВАЊЕ,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Зборови за комуникација
Индикатори за моќ
Увид
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Отпечатоци на душата,"Отпечатоци на душата

Пред нејзината прва светлина,
беше среќата меѓу сите.
Отпечатоците на нејзината душа
ce пеат во тишината.

Мојата гласност одекнува
во нејзината тишина,
оти пред нејзините очи,
светот станува поубав.

Пред нејзината појава,
времето застанува,
нејзината убавина ја разбуди
мојата сетилност.

Мојата меморија ја зачувува
нејзината приказна,
оти таа ce отпечатува 
во мојата свест.

Таа е моја прва и последна,
нејзината сенка ме следи,
оти таа е мојата култура,
мојата вечност.",487,262,749,3320
Петре М. Андреевски,ИЗЛЕТ,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Зборови поврзани со меморија
Негативна емоција
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со привлечност
Зборови поврзани со љубопитност
Зборови кои изразуваат желби
Зборови поврзани со храна или јадење
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Зборови кои изразуваат количина
Зборови кои означуваат пријатели
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви
Издолжени зборови",Сеќавањето на нејзината љубов,"Сеќавањето на нејзината љубов

Во тишината на ноќта, сеќавањето се буди,
меѓу сенките на минатото, нејзината слика се крие.
Беше пред сите, со нејзината топла насмевка,
што ми ја разбуди љубопитноста, во мојата душа да влезе.

Нејзините зборови, како мелодија, ме опкружуваа,
а нејзиниот глас, ме водеше низ лавиринтот на спомените.
Тогаш, во оваа темнина, јас ја чувствувам нејзината присутност,
како да ми шепоти, да не заборавам, дека беше првата.

Пред мене, сега, се стрелка на времето, што ме враќа назад,
во мигот кога ја сретнав, кога нејзината душа ја почувствував.
Оти, таа беше мојата, мојата љубов, што ме научи на сè,
и сега, кога ја нема, тагата ме прегрнува, во минатото да се вратам.",686,365,1051,4775
Петре М. Андреевски,До кога,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Машки заменки
Женски заменки
Зборови за комуникација
Негативна емоција
Тага
Негативен тон
Зборови поврзани со смрт
Зборови фокусирани на сегашноста
Повторени зборови
Интерпункциски симболи",Пепел,"Пепел

Меѓу сенките, тивко,
Нејзината душа ce лути.
Оти, пред неа, ce беше.
Мојата првата љубов
Сега ce гаси, како пламен.

Нејзината тага, како дим,
Ме души, во овој миг.
Сите зборови, изгубени,
Нема да ja вратат назад.

Само пепел, што преостана,
Ме потсетува на она што имавме.
Меѓу овие рушевини,
Ја барам нејзината сенка.

Но, тишината ме гуши,
Оставајќи ме во овој пустош.
Сега, во овој момент,
Мојата душа ce бори со смртта.",382,255,637,3642
Петре М. Андреевски,Таа,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Женски заменки
Увид
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат желби
Зборови поврзани со смрт
Зборови фокусирани на сегашноста
Зборови кои означуваат жени
Интерпункциски симболи",Сенката на спомените,"Сенката на спомените

Беше пред нејзината врата,
меѓу сите што чекаа.
Нејзината сенка, тивка, неми,
нè следеше низ мракот.

Мојата душа, первата,
жедна за нејзин допир,
оти неа ја сакам,
пред сè, таа ми е.

Животот, како цвет што вене,
меѓу нас ce распрснува.
Желбите, како птици, прелетуваат
над гробот на нашата љубов.

Сега, кога ce вратив,
нејзината сенка ме следи,
сведок на тие давни денови,
кога ce бореше за мојата душа.",394,242,636,3564
Петре М. Андреевски,ВТОРА ИСПОВЕД,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Зборови за комуникација
Зборови поврзани со меморија
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Броеви",Сеќавање на Дом,"Сеќавање на Дом

Беше првата, меѓу сите,
нејзината сенка што се движеше
пред очите, во сеќавањето.

Оти мојата душа, пред овој миг,
беше во тој дом, каде сè ce
повторува, како вечен циклус.

Сеќавањето на нејзината топлина,
како да ме гали, во овој студ
што ме опкружува, каде и да се најдам.

Времето минува, но нејзината слика
останува врежана, како да сум
секогаш таму, во тој дом, што ми беше
првиот, мојот.",436,223,659,2901
Петре М. Андреевски,ПРВАТА РАЗДЕЛБА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Бидување несигурен/колеблив
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Сенките на минатото,"Сенките на минатото

Сенките на минатото се плеват,
Фрагменти од живот, што беше пред.
Меѓу сите спомени, нејзината сеќавка
Ја краси првата страница на мојата книга.

Несигурноста ме обзема, зашто пред мене
Лежи нејзината тага, нејзината болка.
Пред мене се отвора аудитивен лавиринт,
Во кој ехото на нејзиниот глас одекнува.

Визиите на нашата заедничка минатост
Ме опседнуваат, ме тераат да се вратам.
Но времето е немилосрдно, неумолливо,
И ме остава да скитам меѓу потребите што ги немам.

Смртта на нашата врска ме плаши,
Оти пред мене се гледа само празнина.
Сепак, не смеам да ја заборавам,
Бидејќи таа е дел од мојата меморија.",522,338,860,4539
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со религија
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Сеќавање на она што беше,"Сеќавање на она што беше

Нејзината сенка, меѓу сите,
пред мојата душа се вие.
Беше тоа првата, 
оти сите ја сакаа.
Нејзината љубезност, 
нејзината привлечност,
што ја носеше во себе,
беа причината за нашето сеќавање.

Сега, кога ја нема,
сите ние, во тага и анксиозност,
се обидуваме да ја вратиме
во нашата визуелна перцепција.
Но, таа е отишла во вечноста,
во царството на смртта.
Сеќавањето на она што беше
останува да живее во нас,
како трајна меморија
на нејзината просоцијална природа.

Нејзиниот глас, нејзините зборови,
што ја чинеа таква посебна,
ќе ги слушаме сè додека
и ние не се приклучиме кон неа.
Тогаш, ќе се соединиме
во вечност, во Божјото царство,
каде што нема место за тага,
ниту за негативни емоции.",515,379,894,5432
Кочо Рацин,Ленка,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Морализирање
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат болест
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Сеќавање на минатото,"Сеќавање на минатото

Листови што шушкаат во ветрот,
Трагови од животот што се губат.
Над гробовите, сенки што се вијат,
Тага што во гради се гнезди.

Човек, во себе скрива болка,
Што како болест го изедува.
Денови што се губат во времето,
Оставаат празнина во срцето.

Нема одговори, нема решенија,
Само тага што не може да се скрие.
Над неа, сенките на минатото се надвиваат,
Зборувајќи за она што веќе нема.

Во тишината, се слуша шепотот на листовите,
Што говорат за животот што исчезнува.
Во тагата, се крие увид за пролетта што доаѓа,
Но за неа, тој човек веќе нема да знае.",418,293,711,4556
Кочо Рацин,До еден работник,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Антисоцијално однесување
Прикажување меѓучовечки конфликт
Морализирање
Зборови за комуникација
Увид
Негативна емоција
Лутинa
Тага
Негативен тон
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови кои изразуваат замор
Зборови поврзани со смрт
Зборови поврзани со работа
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Зборови кои означуваат мажи
Зборови кои означуваат сиромаштија
Интерпункциски симболи
Оксфордска запирка",Сенки на минатото,"Сенки на минатото

Нечујни пулси во моите вени,
тапкаат по ритамот на времето.
Минатото ме гризе, ме дави,
а јас се борам со сенките што ме следат.

Денови се множат, а животот бледнее,
тага ме обзема, немир ме измачува.
Зборови што никогаш не беа изговорени,
сега ме душат, ме лишуваат од здив.

Во гради ми гори огнот на лутината,
што ме гризе, ме пече и ме гуши.
Немам мир, немам спокој, немам ништо,
освен сенки на минатото што ме прогонуваат.

Сам се борам, сам се мачам,
во ова сиво, безлично постоење.
Работам, работам, но за што?
Кога секој ден е исти, а никој не ме разбира.

Времето ми бега, а јас останувам заробен,
во мрачната шума на сопствените демони.
Кога ќе најдам мир, кога ќе најдам спокој?
Кога овие сенки ќе ме остават на мира?",554,388,942,5233
Кочо Рацин,Балада за непознатиот,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Прикажување меѓучовечки конфликт
Морализирање
Зборови за комуникација
Увид
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи",Меморија на лист,"Меморија на лист

Фрагмент од реченица, мирис на минато.
Човек, заробен во времето, гради што одамна не дишат.
Долга реченица што се лизга низ денови, години, животи.
Активен глас, машки, што одекнува во празнината.
Меѓучовечки конфликт, морализирање, зборови за комуникација.
Увид во грижа, тага, негативна емоција.
Аудитивна перцепција на тишина, визуелна на сенки.
Просторна на празнина, движење на сеќавање.
Смрт, култура, минато што не се враќа.
Повторени зборови, како откуцаи на срце.
Машки заменки, интерпункциски симболи, тага.

Листот, живот што се распрснува.
Човекот, гроб што ги носи неговите гради.
Има, нема, над - само сеќавање на она што беше.",539,321,860,3821
Кочо Рацин,Утрото над нас,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Машки заменки
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови фокусирани на сегашноста
Зборови поврзани со време
Интерпункциски симболи",Залутан човек,"Залутан човек

Листот што тажно паѓа, животот што нема крај,
Човекот што во гроб почива, но срцето му над гради јај.
Денови што минуваат, а време што не чека,
Има ли спас за него, или само тага вечна?

Над него се надвиваат мрачни сенки, што ја гушат неговата душа,
Звуци на тивка самотија што во ушите му оддекнуваат, не престануваат да звучат.
Погледот негов, заматен, низ темнината се движи,
Трагајќи за некоја искра, некој зрак што ќе го ослободи.

Но, нема, нема никого, ни спас, ни утеха, ни глас,
Само студениот гроб му се наѕира, што го чека во овој час.
Залутан, сам, во овој живот, без надеж, без мир, без крај,
Човекот што умира, но душата му не наоѓа спокој, само тага, само ајај.",437,342,779,5271
Кочо Рацин,Печал,"Фигуративен јазик
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат потреби
Зборови поврзани со смрт
Зборови поврзани со религија
Зборови поврзани со култура
Зборови фокусирани на сегашноста
Зборови поврзани со време
Зборови кои изразуваат количина
Интерпункциски симболи
Броеви",Листот на животот,"Листот на животот

Во сребрени гради, мојот лист живее,
Над срцето што никогаш не ќе умре.
Во него се одразуваат денови минати,
Животот што го имам, а и оној што го немам.

Човек сум, што ја следи секоја негова линија,
Што ја гледа секоја негова боја и нијанса.
Тој е мојот водич низ времето што доаѓа,
Мојот пријател што ме држи во своите раце.

Во него живеам, во него дишам,
Во него најдувам спокој и мир.
Тој е мојот гроб кога ќе ме нема,
Мојата вера кога ќе посегнам кон небесата.

Листот на животот, мој верен другар,
Што ме следи низ овој свет што ме опкружува.
Неговите стихови ми зборуваат за сè,
А јас со радост ги читам, сè додека ми има.",468,330,798,4263
Кочо Рацин,Татунчо,"Фигуративен јазик
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Морализирање
Зборови за комуникација
Увид
Зборови поврзани со меморија
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи
Броеви",Листови на времето,"Листови на времето

Во гради што пулсираат,
Животот ми се враќа.
Над мене шумат листови,
Сведоци на моите денови.

Што ли крие секој лист,
Што ли носи во себе?
Можеби тајни заборавени,
Или спомени што ме греат.

Низ нив одекуваат гласови,
Што ме водат во минатото.
Во срцето ми се враќаат,
Како одблесок од сонот.

Во секој лист што паѓа,
Се крие дел од мене.
Животот што ми го даваше,
Сега во гробот го враќа.

Но, над мене сè уште шумат,
Листовите на времето.
Сведоци на мојот живот,
Чувари на моето семе.",461,277,738,3895
Кочо Рацин,Селска мака,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Машки заменки
Женски заменки
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови поврзани со работа
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Шепот на умот,"Шепот на умот

Во тишината на ноќта,
Шепотот на умот се слуша.
Фрагмент од реченица, збор по збор,
Исплетен во мрачен танц.

Машко тело, женски глас,
Негативна емоција, тага што пулсира.
Над гробот на животот, листови се вијат,
Во движење на времето што бележи крај.

Дома, во гради што одекнуваат,
Звуци на работа што го губат значењето.
Сеќавања на минатото, што не се вратени,
Визии на иднината, што никогаш не доаѓаат.

Тивок шепот, што одекнува во срцето,
Фигуративен јазик, што ја крие вистината.
Ова е животот, што нема и што има,
Ова е животот, што во себе го носи крајот.",450,299,749,4143
Кочо Рацин,Тутуноберачите,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови кои изразуваат болест
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Интерпункциски симболи",Пепел над листовите,"Пепел над листовите

Во тишината на денот, 
фрагменти од живот - 
секој чекор, тежок и студен,
оставја трага врз срцето.

Човекот, сам над гробот,
ги гледа празните гради, 
зашто не ма што да има -
само пепел над листовите.

Во сенката на вечноста,
денови што тлеат во ноќта,
срцето чезне да почувствува
макот на таа непостоечка болка.

Над гробот, во сегашноста, 
времето застанува во место - 
само пепел над листовите,
само смртта што не доаѓа.",448,229,677,3017
