0,1,2,3,4,5
1,Петре М,"Петок е прекрасен ден за читање поезија, па затоа денес ги читаме стиховите на Петре М. Андреевски!",Наопачно оро,"Наопачно оро – Петре М. Андреевски

Кој игра таму така
во глуво време,
на глува свирка?

Кој го води она оро
на лева нога,
на слепа страна?

Кој таму некој нешто,
кој таму некој негде,
кој таму којзнае што?!

",40
2,Кочо Рацин,"На 13 јуни 1943 година загинал Кочо Рацин. И покрај неговата прерана смрт, тој е еден од најзначајните книжевни и општествени дејци, кој е несомнено вткаен длабоко во историјата на Македонија, а неговото  дело „Бели мугри“ е едно од најзначајните во македонската поезија и книжевност. Во негова чест читаме стихови токму од оваа стихозбирка.",Балада за непознатиот,"Балада за непознатиот – Кочо Рацин

Натаму – в поле битолско
чемрее врба проклета –
под врбата незнаен гроб,
в гроб лежи војник непознат.

Лежи од војна световна,
лежи — и веќе земјосал —
силно го тага изела
задека тука загинал.

Никој крај него немаше –
вишното небе врз него,
земјата скришна под него,
над гробот врба стушена.

А таде – в гори зелени
в сума гробишта лежеа
делии – одбор јунаци
за татковина паднати.

В полноќ се над ним дрвјата
од жалба силна свиваа –
горските бистри езерца
в силна светлина светеа.

И од ним – самовилите
една по една идеа –
од гроб до гроб го дигаа
јунак до јунак – на оро.

И кога сите минеа
покрај врбата стушена –
делии се запираа
незнаен брат си викаа:

„Ја стани, море јабанец
на оро со самовили!
Зора се зори – петлите
скоро ќе в село пропеат!”

А тој од гробот тепкаше
дума врз дума чемерна: –
„Минете, браќа, врвете,
не сум ви лика – прилика!

Кој умрел за татковина
и за човечки правдини –
каде вас, братко, не гинел,
со вас до векот живеел.

Вие му песна пеете,
вие го с песна жалите –
така се сите раѓате
и така си умирате!

А тука – зошто паднав ја?
зошто ме куршум прониза,
зошто ме земја притисна –
за кого лудо загинав?

Кажете, браќа, кажете,
кажете – па поминете –
мене ме ништо не дига,
мојата смрт е – карасмрт!”

Делии глави веднеа,
немеа самовилите –
тешко на тија, горко им
така што гинат на војна!

Немеа – туку петлите
в селото веднаш писнаа –
самовилите в горите
с делии в раци лиснаа!

Пусто остана полето,
пусто зазори зората –
чемрее в поле врбата,
чемрее – тажи непознат.

",23
3,Гане Тодоровски,На 22 мај 2010 година починал еден од најголемите македонски поети – Гане Тодоровски.  Во негова чест денес на блогот ги читаме неговите прекрасни стихови.,Молитва,"Молитва – Гане Тодоровски

(пред крајот на годината
и пред истекот на векот)

Боже, зарем ќе оставиш да бидам неразбран
Од современиците мои – што ги мунѕосував ко џган!
Зарем ќе оставиш да останам во уплав збран
И да си заминам од веков – од мунѕосаните мунѕосан?
Придај им на моите сотатковинци додатен ум,
За да ме доразберат, и да ме следат молчешкум;
Не ги прекорувај престрого, не кревај ненужен шум,
Поучи ги, кога зборувам, да стојат отпростум!

За да се знае, конечно еднаш, КОЈ е КОЈ?
За да не понесам вина, дека, дури бев жив
Малцина надзборев а трижтолкумина не победив!

Господе, дај искористи го авторитетот свој,
Па, додека е време, застани на моја страна,
За да поверувам дека ѝ бев на вистината бранач!

Москва, декември 1994 г.

",32
4,Влада Урошевиќ,Денес на блогот читаме прекрасни македонски стихови од Влада Урошевиќ!,Слобода,"Слобода – Влада Урошевиќ

Птица со пет крила што лета над измислена земја
Дрво што патува незадоволно со сите полиња
што му ги нудат
Вода што се искачува кон својот извор
решена да оди уште понатаму
Риба на која ѝ здодеало молчењето
и која го учи говорот на статуите
Планина што се откажува од својата тежина
наспроти поговорките наспроти сфаќањето на нужноста
Пеперуга која сфаќа дека токму со надминувањето на нужноста
се доаѓа до слободата
и затоа ги спалува своите крила врз пламенот на свеќата
Растворлив споменик кој и покрај тоа е изложен на дождот
Ноќ која сака да има најмалку пет сонца во својата соба
Цвет кој се откажува од плодот
Поет кој се откажува од зборовите
но сака да го сочува обликот на песната
Космонаут кој излегува од бродот и зачекорува во ништо
Камен кој фрлен високо не сака да падне одново на земјата

",4
5,Кочо Рацин,"Денес е 1 Мај, Меѓународен ден на трудот. Во таа чест, денес на блогот ги читаме моќните стихови на Кочо Рацин!",Копачите,"Копачите – Кочо Рацин

Се к’ти ноќта црна!
Се рути карпа — мрак!
И петли в село пеат
и зората се зори —
над карпа в крв се мие
и темнината пие
силно
светнал
ден!
Пробудете се морни
копачки и копачи —
на трудот
црн
народ!

Со мотика на рамо
за корка сува леб,
по патиштата стрмни,
по полињата рамни,
у вивналиов ден
да тргнеме и ние
страдалници од век!

На деда Богомил
земјата ровка, мека,
набабрена за род,
со страдна душа чека
ударите ни јаки
со мотиките остри
по троскот
пелин
трат!

Да прокопаме меко
полињата родни
афион, тутун, житце
да родат благородни.

И по кривите вади
да пропуштиме води
за оризите млади
и зелени лободи.

На работа!
На труд!

Да роди род богат!
Да бликне живот млад!
На пепел, троскот, пелин
во огин пламен јад!
Жилите да пуштат
корења длабоко
плодови да бликнат
високо, високо
слободно
на воздух!

Ораме со рало
но земjата ни златна
колку е богата!

На пепел троскот, пелин!
Во огин пламен јaд!

Да престане, да снема
тагата голема
за голиот живот
на човек
станал –
скот.

И в тaјa мугра пресна
да екне дружна песна
на дружните удари –
та биjат срца млади
и растат силно гради
пребликнати со јaд!

Од сички маки тешки
не видовме бел ден,
а од солзи жешки
не стануе меден
нашиот живот!

На работа!
На труд!

Та не сме саде ние
та не сме саде тука —
ние сме по цел свет
безбројни
милиони,
на трудот
црн —
народ!

Да биде честит денот
и првата ни стапка
у првиот ни век!
Ќе мине силен ек
Ќе б’сне сонце златно —
по секаде на светот
ќе згине срамно гнетот —
ќе л’сне живот нов!

И реки ќе потечат
и бреме ќе одвлечат
на вековите смрт!

Реките од живи
и пробудени сили
на копачи
копачки
и страдни
голи
гладни
по целата земја!

Се к’ти ноќта црна!
Се рути карпа — мрак!
И петли в село пеат
и зората се зори —
над карпа в крв се мие
и темнината пие
силно
светнал
ден!
Пробудете се морни
копачки и копачи —
на трудот
црн
народ!

",23
6,Видое Подгорец,"На 14 април 1997 година починал Видое Подгорец, еден од најпознатите македонски современи писатели. Во чест на годишнината од неговата смрт, денес ја читаме и споделуваме песната „Убави зборови“!",Убави зборови,"Убави зборови – Видое Подгорец

Ај, да измислуваме убави зборови!
Еве вака:
Да биде радост наместо мака.

Сè што е насилно, свирепо грубо –
нека го носи името – љубов!

Вистина ставаме наместо лага
смеа и веселба наместо тага.

Болката нека е ведрина сега,
а сите војни да станат шега.

Црното нека си остане боја,
но, да не тежи во душата твоја…

Солзите – мака в срце што носат
нека се претворат во капки роса.

од стихозбирката „Мугри над тополите“ (1968 година)

",39
7,Блаже Конески,Денес на блогот читаме македонска поезија и прекрасните стихови на Блаже Конески.,Разделба,"Разделба – Блаже Конески

Нам ни е дадено за ден да сакаме
и пак на разделба тажни да бидиме,
и пак си велиме: не заборавај ме! –
а може никогаш да не се видиме.
Пат ќе ни препречат мостој соборени,
пат ќе ни препречат градој изгорени,
пат ќе ни препречи куршумот в чело.
И пак сме можеле тажни да бидиме,
и пак си велиме: не заборавај ме! –
а може никогаш да не се видиме.

",9
8,Гане Тодоровски,"Денес е 21 февруари – Меѓународниот ден на мајчиниот јазик поддржан од УНЕСКО. Со цел да го одбележиме овој ден, денес читаме прекрасни стихови на напишани на нашиот мајчин јазик, посветени на нашиот македонски јазик, создадени од перото на Гане Тодоровски.",Македонски јазик,"Македонски јазик – Гане Тодоровски

Се роди ти во злодоба, во мрак,
за да те препознаеме ко сјаен божилак
на повидок по долги векови глувотија –
Се откорна ти како борбен вик
на востанатиот наш бунтовник
што прв ја презре ропската мирнотија!

Низ тажачки се раздипли в клет збор,
закремене низ корав непокор
ко завет свет на тие што нè родија –
Се осети ли навреден и клет,
со судба горчлива на вечно прогонет.
та, стана војник за слободија?

Запелтечи низ тетерав ти глас,
се престори во врла клетва, в небичас,
како болештина од рана луто зината –
Ти бигорлив, ти жуборлив, ти ромонлив,
ти трепетлив, ти дарежлив, ти болежлив,
ти возбудлив здив на татковината!

Им остана ли недовршен грев
на Миладиновци, на Џинот и на Прличев?
Разнежнетост? Достоинство? Добрување?
За деда Цепенко виделина низ опак век,
за Мисирков брег нестигнат, грч горкорек
во чинот свет на нашето зачнување!

Те навредуваа и безочни и зли,
ти токму тогаш се развиоре, се раскрили,
накај слободата ни стана ти поткревање –
Те псуваа, те одречуваа, не поверуваа
дека ко рожба најмила ми те зачуваа
галежно, долгите векови на поревање!

На Илинден се стори секавична вест,
в Крушевскиот се втисна Манифест,
за Делчев сплете наниз жални песни –
Во темно време бликна, чунки лач
на разден што се раѓа, да стане толкувач
на ден полн сонце и чудеснина!

Ти, на слобдата стана најскап дар;
Громовно гргај низ грлата на Пелистер и Шар,
до кај што бијат срца што те жедуваат –
Нем Егеј в ширта своја до болка ќе те смири,
ќе ми те засолни ко верен јатак Пирин,
да ти се изнаслушаат, да ти се нарадуваат!

Липај со гурбетчиите што роден кат
напуштаат, барајќи леб низ светот непознат,
од пустине Америки до припекон Австралија –
биди им жолчна клетва и пцост и благослов
кога ќе си го задомат кај-годе животот нов,
низ стара песна душата нивна разжали ја!

И биди верен вардач на сиот народ наш,
на молитва татковинска да прилегаш,
за да се смири правта на сите што те сакале –
Ти – бакнеж, брчка, благослов и бол,
ти – преграб страстен, ти – најлуд алкохол,
ти – воздишко низ која првпат сме заплакале!

(извор: Министерство за култура)



",32
9,Славко Јаневски,"На 20 јануари 2000 година почина легендарниот македонски писател и поет – Славко Јаневски. Во негова чест, денес читаме прекрасна македонска поезија и неговите стихови.",Осаменица,"Осаменица – Славко Јаневски

Ни утрото не ѝ е придружник.
Во жилите ѝ легнуваат суводолици.
Сонцето од грло не ѝ пие белина
и пак врз градите жега ѝ се населува.

Смислува
и патува кон невратици
Нејзината сенка на камен без неа се сопнува.
Болката ѝ бега од прстите скршени.
Господи под тревите кој ќе ми е придружникот?
Семожнику, те прашува
и не ти верува.
До над чело се кренале ѕидишта.
Ако на еден пир ги повикаш необичните
сети се на неа.
А и Свети Никита голтарот не заборавај го.

*Славко Јаневски. Одбрани песни. Скопје: Мисла, 1982

",5
10,Ацо Шопов,Денес на блогот читаме прекрасна македонска поезија и стиховите на Ацо Шопов!,Лузна,"Лузна – Ацо Шопов

Те оградив cо девет градини, крви,
те затворив во девет грла,
што бараш уште, зошто ме прогонуваш, крви,
зошто закануваш со своето копито темно,
зошто незасито?

Те оградив во девет градини, девет грла,
смири се, крви, слегни во своите темнини
на чие дно твојот црвен вепар
одамна бара пештера за починка.
Слези во своите темнини, крви,

и не обѕирај се,

нема подобро место од ова што ќе скроти,
од овие девет градини, девет градини
што живеат од твоето зеленило,
од овие девет грла, девет грла
што ја пеат пролетта на твоите песни.
Слези во своите темнини, крви,

и не вели ми:

Слушај како татни од далечина,
слушај како татнат сите кории,
идат коњи по пат од ѕвезди и месечина,
идат коњи, коњи, коњи, коњи дории,
идат коњи да ме прегазат,
идат, идат ќе ме прегазат.
Но јас ќе ги ритнам со копитото
ќе ги ритнам право сред чело,
да ме паметат, да ме прикажуваат
и лузната да им свети навечер,
во нивните ноќи без месечина,
во нивните денови без светлина,
на нивните патишта под бурјани.

Не вели ми, крви. Крви, смири се,
оградена со девет градини,
затворена со девет грла
Како некој семоќен владател
на некоја непристапна тврдина.

Ацо Шопов, Небиднина, 1963

",13
