author,song,style_feature_category,extracted_text,original_song,time_needed
Блаже Конески,Езеро,Фигуративен јазик,"Да, авторот на овој пасус користи фигуративен јазик. Фигуративниот јазик е употребата на метафори, симболи или алегории за да се пренесе значење кое не е буквално.","ЕЗЕРО

Задуман, излеgуваш сè со истата проклета мисла,
и, како штрекнат на самиот праг,
го откриваш за себе, по не знам кој пат, светот:
езерото под модриот превез на Беласица
во зелен обрач од чинари и кипариси.
И треба, за еден човечки миг, оваа убавина да ти
стане пак обична,
да потоне во тебе како во пеплишта,
да ја снема –
за да бидеш ти пак нормално несреќен човек
како повеќето наоколу.
Но колку е, сепак, драгоцен имено тој интервал
ме|у две угризенија на совеста!",2.718942165374756
Блаже Конески,Езеро,Сарказам,"Сарказам е израз на спротивното од она што навистина се мисли, со цел иронија или потсмев. За да се идентификува оваа особина во текст, треба да се провери дали авторот користи зборови кои имаат спротивно значење од она што навистина сака да каже. На пример, ако авторот пишува ""Тој е многу паметен"", но всушност мисли дека тој е глупав, тогаш оваа особина може да се идентификува како сарказам.","ЕЗЕРО

Задуман, излеgуваш сè со истата проклета мисла,
и, како штрекнат на самиот праг,
го откриваш за себе, по не знам кој пат, светот:
езерото под модриот превез на Беласица
во зелен обрач од чинари и кипариси.
И треба, за еден човечки миг, оваа убавина да ти
стане пак обична,
да потоне во тебе како во пеплишта,
да ја снема –
за да бидеш ти пак нормално несреќен човек
како повеќето наоколу.
Но колку е, сепак, драгоцен имено тој интервал
ме|у две угризенија на совеста!",5.659968614578247
Блаже Конески,Езеро,Фрагмент од реченица,Фрагмент од реченица – недовршена реченица без сите неопходни граматички делови.,"ЕЗЕРО

Задуман, излеgуваш сè со истата проклета мисла,
и, како штрекнат на самиот праг,
го откриваш за себе, по не знам кој пат, светот:
езерото под модриот превез на Беласица
во зелен обрач од чинари и кипариси.
И треба, за еден човечки миг, оваа убавина да ти
стане пак обична,
да потоне во тебе како во пеплишта,
да ја снема –
за да бидеш ти пак нормално несреќен човек
како повеќето наоколу.
Но колку е, сепак, драгоцен имено тој интервал
ме|у две угризенија на совеста!",1.205442190170288
Блаже Конески,Езеро,Долга реченица (run-on),Долга реченица (run-on) – реченица составена од повеќе мисли без правилна интерпункција или сврзници.,"ЕЗЕРО

Задуман, излеgуваш сè со истата проклета мисла,
и, како штрекнат на самиот праг,
го откриваш за себе, по не знам кој пат, светот:
езерото под модриот превез на Беласица
во зелен обрач од чинари и кипариси.
И треба, за еден човечки миг, оваа убавина да ти
стане пак обична,
да потоне во тебе како во пеплишта,
да ја снема –
за да бидеш ти пак нормално несреќен човек
како повеќето наоколу.
Но колку е, сепак, драгоцен имено тој интервал
ме|у две угризенија на совеста!",1.549651861190796
Блаже Конески,Езеро,Активен глас,"Во пасусот „Езеро“ имаме активен глас, бидејќи подметот („јас“) ја врши дејството („пишувам“).","ЕЗЕРО

Задуман, излеgуваш сè со истата проклета мисла,
и, како штрекнат на самиот праг,
го откриваш за себе, по не знам кој пат, светот:
езерото под модриот превез на Беласица
во зелен обрач од чинари и кипариси.
И треба, за еден човечки миг, оваа убавина да ти
стане пак обична,
да потоне во тебе како во пеплишта,
да ја снема –
за да бидеш ти пак нормално несреќен човек
како повеќето наоколу.
Но колку е, сепак, драгоцен имено тој интервал
ме|у две угризенија на совеста!",1.8141233921051025
Блаже Конески,Езеро,Пасивен глас,"Поздравувам, љубопитниот корисник! Во овој случај, авторот не користи пасивен глас. Во реченицата „Езерото е направено од вода“, подметот „езеро“ ја прима дејството (на пр. „езерото е направено“) и затоа оваа реченица е во пасивен глас.","ЕЗЕРО

Задуман, излеgуваш сè со истата проклета мисла,
и, како штрекнат на самиот праг,
го откриваш за себе, по не знам кој пат, светот:
езерото под модриот превез на Беласица
во зелен обрач од чинари и кипариси.
И треба, за еден човечки миг, оваа убавина да ти
стане пак обична,
да потоне во тебе како во пеплишта,
да ја снема –
за да бидеш ти пак нормално несреќен човек
како повеќето наоколу.
Но колку е, сепак, драгоцен имено тој интервал
ме|у две угризенија на совеста!",3.7741942405700684
Блаже Конески,Езеро,Грешки во согласување,"Да, авторот на овој пасус содржи грешки во согласување. Во првата реченица подметот е „езеро“ кое е множина, а прирокот „се полни“ е еднина.","ЕЗЕРО

Задуман, излеgуваш сè со истата проклета мисла,
и, како штрекнат на самиот праг,
го откриваш за себе, по не знам кој пат, светот:
езерото под модриот превез на Беласица
во зелен обрач од чинари и кипариси.
И треба, за еден човечки миг, оваа убавина да ти
стане пак обична,
да потоне во тебе како во пеплишта,
да ја снема –
за да бидеш ти пак нормално несреќен човек
како повеќето наоколу.
Но колку е, сепак, драгоцен имено тој интервал
ме|у две угризенија на совеста!",2.354430675506592
Блаже Конески,Езеро,Машки заменки,Авторот на овој пасус ја содржи особината Машки заменки. Оваа особина е присутна во следниве делови од текстот:,"ЕЗЕРО

Задуман, излеgуваш сè со истата проклета мисла,
и, како штрекнат на самиот праг,
го откриваш за себе, по не знам кој пат, светот:
езерото под модриот превез на Беласица
во зелен обрач од чинари и кипариси.
И треба, за еден човечки миг, оваа убавина да ти
стане пак обична,
да потоне во тебе како во пеплишта,
да ја снема –
за да бидеш ти пак нормално несреќен човек
како повеќето наоколу.
Но колку е, сепак, драгоцен имено тој интервал
ме|у две угризенија на совеста!",1.778745412826538
Блаже Конески,Езеро,Женски заменки,"Авторот на овој пасус не ја содржи особината Женски заменки. Женските заменки се користат за замена на женски именки (таа, неа, нејзин).","ЕЗЕРО

Задуман, излеgуваш сè со истата проклета мисла,
и, како штрекнат на самиот праг,
го откриваш за себе, по не знам кој пат, светот:
езерото под модриот превез на Беласица
во зелен обрач од чинари и кипариси.
И треба, за еден човечки миг, оваа убавина да ти
стане пак обична,
да потоне во тебе како во пеплишта,
да ја снема –
за да бидеш ти пак нормално несреќен човек
како повеќето наоколу.
Но колку е, сепак, драгоцен имено тој интервал
ме|у две угризенија на совеста!",2.2178237438201904
Блаже Конески,Езеро,Просоцијално однесување,"Просоцијално однесување – јазик кој покажува соработка, помош или емпатија.","ЕЗЕРО

Задуман, излеgуваш сè со истата проклета мисла,
и, како штрекнат на самиот праг,
го откриваш за себе, по не знам кој пат, светот:
езерото под модриот превез на Беласица
во зелен обрач од чинари и кипариси.
И треба, за еден човечки миг, оваа убавина да ти
стане пак обична,
да потоне во тебе како во пеплишта,
да ја снема –
за да бидеш ти пак нормално несреќен човек
како повеќето наоколу.
Но колку е, сепак, драгоцен имено тој интервал
ме|у две угризенија на совеста!",1.3425331115722656
