author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity,bleu_score
Петре М. Андреевски,ПЕТТО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Зборови за комуникација
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Оксфордска запирка",Темнината на спомените,"Темнината на спомените

Во тишината на ноќта, душата се шета,
Пролетни ветрови, ветуваат ветувања,
Но срцето тука, тука е полно со тага,
Сеќуврствата, тихо, ги шепат сенките на минатото.

Зборови на ветер, несигурни и лесни,
Тој ги слуша, но срцето му е тука,
Во темнината, сенките ги шепат,
Сеќуврството, како смрт, тука е.

Океанот на спомени, без брегови,
Тој ги плива, ги шепа, ги губи,
Во тишината, ветерот тихо ветува,
Тага, тука, тука, во секој здив.

Смртта, блиска, блиска, тука е,
Во темнината, сенките ги шепат,
Срцето, тука, тука, во спомените.

Ветерот, тихо, ветува,
Тага, тука, тука, во минатото.

Сеќуврството, како смрт, тука е,
Во темнината, сенките ги шепат,
Срцето, тука, тука, во времето.

Ветерот, тихо, ветува,
Тага, тука, тука, во спомените.

Смртта, блиска, блиска, тука е,
Во темнината, сенките ги шепат,
Срцето, тука, тука, во минатото.

Ветерот, тихо, ветува,
Тага, тука, тука, во времето.",374,530,904,3272,7.068089485168457,0.0014496340956157375
Петре М. Андреевски,1903,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Просоцијално однесување
Прикажување меѓучовечки конфликт
Морализирање
Зборови за комуникација
Индикатори за моќ
Увид
Сè или ништо размислување
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви",Темнината на спомените,"Темнината на спомените

О, мој брат, со кој говоревме ден и ноќ,
сега ти си тихо, како да не постоиш.
Твоите зборови, сега само ветер,
но ти си оставил трага, трага на спомен.

Долгата реченица се вртеше во мојот мозок,
како да го исклучам звукот на твојот гласен смев.
Ти беше силата, брат, која мене го држеше во рамките,
но сега ти си дал далеку, а јас останавме овде.

Ти беше мојот брат, мојот брат, мојот брат,
и ти беше мојот брат, кој ми го дал срцето.
Ти беше мојот брат, кој ми го дал светот,
но сега ти си дал далеку, а јас останавме овде.

Ти беше мојот брат, мојот брат, мојот брат,
и ти беше мојот брат, кој ми го дал срцето.
Ти беше мојот брат, кој ми го дал светот,
но сега ти си дал далеку, а јас останавме овде.

Ти беше мојот брат, мојот брат, мојот брат,
и ти беше мојот брат, кој ми го дал срцето.
Ти беше мојот брат, кој ми го дал светот,
но сега ти си дал далеку, а јас останавме овде.

Ти беше мојот брат, мојот брат, мојот брат,
и ти беше мојот брат, кој ми го дал срцето.
Ти беше мојот брат, кој ми го дал светот,
но сега ти си дал далеку, а јас останавме овде.

Ти беше мојот брат, мојот брат, мојот брат,
и ти беше мојот брат, кој ми го дал срцето.
Ти беше мојот брат, кој ми го дал светот,
но сега ти си дал далеку, а јас останавме овде.",536,692,1228,3777,1.883497953414917,0.0032965007913036684
Петре М. Андреевски,ПРВО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Тага на минатото,"Тага на минатото

Во тишината на ноќта, ветрот шепоти,
Споменици на денови исчезнати, исчекај.
Очите ми се полни со светлина на сонце,
но срцето ми е пуно со сенки на туга.

Звуците на стариот град, исчезнати како мракот,
сè уште се слушаат во далечнината на спомените.
Видел светлини што се губеа во темнината,
и сега сè е тихо, освен споменот на болка.

Очите гледаа ѕвезди што сега се затворија,
а ушите слушаа песни што сега не се пеат.
Сега сè ми го потсетува на она што беше,
но никогаш нема да го повториме.

Време што тече, но не го враќа минатото,
и болката што се стега, но не го враќа срцето.
Тага што се раѓа со секој миг што минува,
и сенки што се губеа во далечнина.

Тука сè уште се слуша тишината на минатото,
и срцето се држи до она што нема да се врати.
Вели, дали некогаш ќе се врати времето,
или ќе останеме во оваа тага засекогаш?",382,450,832,3272,25.637887954711918,0.004630000499698593
Петре М. Андреевски,ПЕСНА ЗА НЕЈЗИНАТА ПЕСНА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Зборови за комуникација
Индикатори за моќ
Индикација на сигурност
Увид
Негативна емоција
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи",Сон на Животот,"Сон на Животот

no_song_found",425,1786,2211,7609,336.79864501953125,4.4397139758903746e-24
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Индикатори за моќ
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи",no_title_found,"no_title_found

no_song_found",410,1786,2196,6271,120.73731994628906,0
Петре М. Андреевски,УМИЛКУВАЊЕ,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Индикатори за моќ
Говор за постигнување
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со внимание
Зборови поврзани со привлечност
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови кои изразуваат стекнување
Сексуална содржина
Зборови фокусирани на сегашноста
Зборови фокусирани на иднината
Зборови поврзани со време
Интерпункциски симболи",Сончевиот Вихор,"Сончевиот Вихор

О, син ми, син ми, ти си сончевиот вихор,
кој со својата топлина ми го загрева срцето.
Ти, мој син, ти си она што ми дава сила,
да се борам и да се радувам на секој ден.

Ти си она што ми го врзува светот со нијанси на злато,
твојата љубов е она што ми го враќа животот.
Секој ден, кога ќе те гледам, срцето ми се раде,
и ти си она што ми го врзува срцето со надежда.

Ти си мојот сон, ти си мојата љубов,
и ти си она што ми го врзува светот со нијанси на радост.
Ти си она што ми го враќа животот,
и ти си мојот сон, мојата љубов.

Ти си она што ми го врзува срцето со надежда,
и ти си она што ми го враќа животот со сила.
Секој ден, кога ќе те гледам, срцето ми се раде,
и ти си мојот сон, мојата љубов.

Ти си она што ми го врзува светот со нијанси на злато,
и ти си она што ми го враќа животот со радост.
Ти си мојот сон, ти си мојата љубов,
и ти си она што ми го врзува срцето со надежда.

Ти си она што ми го враќа животот со сила,
и ти си она што ми го врзува светот со нијанси на радост.
Секој ден, кога ќе те гледам, срцето ми се раде,
и ти си мојот сон, мојата љубов.

Ти си она што ми го врзува срцето со надежда,
и ти си она што ми го враќа животот со сила.
Ти си она што ми го врзува светот со нијанси на злато,
и ти си мојот сон, мојата љубов.",482,713,1195,3572,2.5282866954803467,0.0038906794926188825
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Сè или ништо размислување
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат болест
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Броеви",Темнината на спомените,"Темнината на спомените

Во сенките на минатото, ти си јас, 
оддалечена сенка, колку е силно она што нема,
фигуративно, ти си огното што го губам,
а секоја реченица, долга и непрекината,
се врти околу нас, околу нашата несогласност.

Ти ми прашаше, „Зошто не го разбираш?“
и јас, со колеблив глас, одговорив,
„Не знам, но чувствувам дека ти си болка во мојата душа“.
Мојот вид се замаглува, јас гледам само темнина,
и срцето ми се труе со тага.

„Зошто не го исклучиш овој звук?“, ти реков,
и ти, со остар глас, одговори,
„Нема исклучување кога болката е толку голема“.
Мојот ум се врти, полн со анксиозност,
и јас секогаш се питам, „Сеќавањето ли е смрт?“

Сега, тука, во оваа вечерна тишина,
сè е или ништо, и јас сум во полето на ништо,
моето тело труе со болка,
и душа ми лебнеше во сенките на минатото.
Ти си тука, ти си таму, но срцето ми е празнина.

„Зошто мислиш дека сме разделени?“, прашаше ти,
и јас, со негативен тон, одговорив,
„Затоа што сè уште ми болиш“.
Мојот мир се труе со болка,
и јас сум полн со сенки на болест.

„Сеќавај на денот кога ние смешеме“, реков,
но ти ми го врати, „Сеќавај на денот кога ние се разделивме“.
Временските стрели се вртаат,
и јас сум полн со празнини,
и тие се полнети со минатото и сегашноста.

„Зошто не го исклучуваш овој звук?“, прашаше ти,
и јас, со колеблив глас, одговорив,
„Нема исклучување кога болката е толку голема“.
Мојот ум се врти, полн со анксиозност,
и јас секогаш се питам, „Сеќавањето ли е смрт?“

Сега, тука, во оваа вечерна тишина,
сè е или ништо, и јас сум во полето на ништо,
моето тело труе со болка,
и душа ми лебнеше во сенките на минатото.
Ти си тука, ти си таму, но срцето ми е празнина.",461,882,1343,5952,11.03122329711914,0.0033812058245318347
Петре М. Андреевски,Наопачно оро,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови фокусирани на сегашноста
Интерпункциски симболи",Звуци на Моментот,"Звуци на Моментот

Во тишината, ветерот шепоти,
Ѕвончењата на далечниот ѕвон,
Сегашниот трептеж, звукот на срцето,
Тој ми го шепа ритамот.

Очите слушаат, ушите гледаат,
Вртежи на звукови, брзи како ветер,
Сегашноста се исплакува во миг,
Каде што времето се губи во звук.

Ехо на сегашноста, звукот на денот,
Тој ни го шепа патот,
Во овој трепкање на миг,
Каде што сè е звук и сенка.

Тука, во сегашноста, звукот живее,
Тој ни го шепа ритамот,
Во тишината, ветерот шепоти.",280,287,567,2061,22.67742347717285,0.003387793259145
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со религија
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",no_title_found,"no_title_found

О, ти мината љубов, колку си ми ја осветила душа
со сенки што вечно се шетаат во мојот ум
Ти си како сон што се расипува со утринскиот светлин
но ти си останала во спомените, како траен траг

Сега ти си тука, во овие часови на тага
и ти ми ги враќаш оние денови кога смешеноста беше наша
Ти си ми ја осветила душа со љубовта што вечно трае
но сега ти си тука, во овие часови на тага

Ти си ми ја осветила душа со спомените што вечно остануваат
Ти си ми ја осветила душа со оние моменти на среќа
но сега ти си тука, во овие часови на тага

Ти си ми ја осветила душа со оние зборови што вечно звучат
Ти си ми ја осветила душа со оние денови што вечно се враќаат
но сега ти си тука, во овие часови на тага

Ти си ми ја осветила душа со оние спомени што вечно остануваат
Ти си ми ја осветила душа со оние моменти на среќа
но сега ти си тука, во овие часови на тага

Ти си ми ја осветила душа со оние зборови што вечно звучат
Ти си ми ја осветила душа со оние денови што вечно се враќаат
но сега ти си тука, во овие часови на тага

Ти си ми ја осветила душа со оние спомени што вечно остануваат
Ти си ми ја осветила душа со оние моменти на среќа
но сега ти си тука, во овие часови на тага",451,635,1086,3645,4.149442672729492,0.0014069799210653861
Петре М. Андреевски,КОГА ЈА ЉУБЕВ ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Индикатори за моќ
Говор за постигнување
Индикација на сигурност
Увид
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови кои изразуваат желби
Зборови кои изразуваат стекнување
Зборови кои изразуваат исполнување
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Сончеви Разговори на Младата Поетеса,"Сончеви Разговори на Младата Поетеса

О, сонце што сјаиш на нашите улици,
ти си она што ни дава сила и смисла.
Ти, големо светло, ми ги откриваш очите
на денови кои се полни со надевање.

Женскиот дух во секоја нијанса,
ти си она што ги осветлува срцата.
Сончеви зборови, ти си ми љубезен ветер,
кој ми ги носи очекувањата на утрото.

Сигурен сум дека ти си наша сила,
наш водител кон светлината на денот.
Ти ги исполнуваш нашите желби,
со твоите златни зраци, ти ги освојуваш нашите срца.

Временските стрели се губеат во твоите огништа,
а ти, сонце, си остаси сигурен и вечен.
Ти ги носиш нашите културни траги,
нашите спомени, нашите надежни сонцеве.

Минатото се враќа со твоите блиски зраци,
и ние, жените, ги исполнуваме нашите ветувања.
Сончевиот говор ни дава моќ,
и ние, со ти, ги градиме нашите надежни будности.

Смртта нема да ни го земе сончевиот сјај,
зашто ти си нашата вечно љубезност.
Ти си политиката на светлината,
и ние, со ти, ги градиме нашите културни споменици.

Сончеви разговори, ти си нашата поезија,
наша вечно љубезност, наша сила и смисла.
Сонце, ти си она што ни дава светлина,
и ние, со ти, ги градиме нашите сончеви надежни будности.",497,593,1090,4249,16.73923683166504,0.003544450554154097
