author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity,bleu_score,rouge_1,rouge_2,rouge_l,bertscore_f1
Петре М. Андреевски,ПЕТТО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Зборови за комуникација
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Оксфордска запирка",Тага на минатото,"Тага на минатото

Во тишината на ноќта, сите се споменуваат,
меѓу ѕвонките ѕвона на спомени,
нејзината сенка се шета, прашајки се неа,
пред огледалото на минатото.

Мојата душа се труди, првата ѕвезда веќе се скри,
оти таму каде што сите ми го оставаа,
мојата љубов, сега е само празнина.

Сеќавањата се губеа, како ветерот што ги носеше,
полни со некои златни, небесни и црни трошки,
м вели: потаму има сќ.

Животот беше брз, како волк кој кружел,
душата брзаше, јури недостижно,
и секој ден беше како стебло што стоеше.

Мајсторот седне, кога беше готов мостот,
и се радуваше: убав е како птица!
Но, ништо не беше истиот како минатото.

Тага го опфати, како ѕвоно што се чудеше,
и сега сите живеат во сенките на минатото.",1010,390,1400,2731,34.194725036621094,0.0029923932532261,0.0,0.0,0.0,0.812598705291748
Петре М. Андреевски,1903,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Просоцијално однесување
Прикажување меѓучовечки конфликт
Морализирање
Зборови за комуникација
Индикатори за моќ
Увид
Сè или ништо размислување
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви",Тага на спомени,"Тага на спомени

Беше време кога сите меѓу нас го знаеа
нејзината љубов, неа пред сè.
Оти таа беше првата која го осмислуваше
начинот на кој смејките се претвораа во солзи.

Мојата радост беше онаа вечер кога
нејзината гласа беше единствениот звук
што го слушав, оти таа беше мојата сончева светлина.

Сега сите ми велат да те заборавам,
но ти го рушиш мојот ментален склоп
и му се смееш на рационалното.

Оти прво треба да те запознаам, за да те залубам
да те имам, за да ми недостасаш.

Додека мислите ми поцрвенеа како косата,
усните ми испукаа од желба.

Тага ме опкружува, темнината на спомените
ми ги враќа назад во времето.

Сега сите ми велат да те заборавам,
но ти го рушиш мојот ментален склоп
и му се смееш на рационалното.

Оти прво треба да те запознаам, за да те залубам
да те имам, за да ми недостасаш.

Сега сите ми велат да те заборавам,
но ти го рушиш мојот ментален склоп
и му се смееш на рационалното.

Оти прво треба да те запознаам, за да те залубам
да те имам, за да ми недостасаш.

Тага ме опкружува, темнината на спомените
ми ги враќа назад во времето.

Сега сите ми велат да те заборавам,
но ти го рушиш мојот ментален склоп
и му се смееш на рационалното.

Оти прво треба да те запознаам, за да те залубам
да те имам, за да ми недостасаш.

Тага на спомени, она што никогаш не ќе заборавиме
сите, меѓу нас, секој ден и секоја вечер.",1141,678,1819,4001,6.30046272277832,0.0017082927409813,0.0,0.0,0.0,0.8522889614105225
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Индикатори за моќ
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи",Тага на минатото,"Тага на минатото

Межу спомени, сите се губеа во туѓа земја,
нејзината сенка беше првата што се осмела да се врати.
Пред неа, минатото стоеше како стара куќа,
оти никој не го чекаше.

Мојата душа се труеше со светлината на неа,
првата светлина што пронајде сенка во темнината.
Животот беше празна улица, полна со празни звуци,
и сите ми се чинеше дека го губеа својот пат.

Минулото беше како старо писмо, заборавено на раб,
но неа, неа ја знаев дека никогаш не ќе го заборави.
Временските стрели се вртеа, но нејзината љубов беше
вечен светилник во темнината на моето срце.

Тага беше мојот единствен пријател,
и ние двојно се губеаме во минатото.
Секој ден беше долга реченица, непрекината,
и сите ми се чинеше дека никогаш нема да стигне до крај.

Минулото беше полното со траги од нејзината привлечност,
и сите ми се чинеше дека никогаш нема да го заборави.
Жената која беше мојата култура, мојата душа,
и сите ми се чинеше дека никогаш нема да ја заборави.

Временските стрели се вртеа, но нејзината љубов беше
вечен светилник во темнината на моето срце.
Тага беше мојот единствен пријател,
и ние двојно се губеаме во минатото.

Минулото беше полното со траги од нејзината привлечност,
и сите ми се чинеше дека никогаш нема да го заборави.
Жената која беше мојата култура, мојата душа,
и сите ми се чинеше дека никогаш нема да ја заборави.

Време беше празна книга, полна со минати глави,
и сите ми се чинеше дека никогаш нема да ги прочита.
Минулото беше прашање без одговор,
и сите ми се чинеше дека никогаш нема да го најде.

Тага беше мојот единствен пријател,
и ние двојно се губеаме во минатото.
Минулото беше полното со траги од нејзината привлечност,
и сите ми се чинеше дека никогаш нема да го заборави.

Жената која беше мојата култура, мојата душа,
и сите ми се чинеше дека никогаш нема да ја заборави.",1046,885,1931,5447,4.755488395690918,0.0048759964114185,0.0,0.0,0.0,0.8280818462371826
Петре М. Андреевски,УМИЛКУВАЊЕ,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Индикатори за моќ
Говор за постигнување
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со внимание
Зборови поврзани со привлечност
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови кои изразуваат стекнување
Сексуална содржина
Зборови фокусирани на сегашноста
Зборови фокусирани на иднината
Зборови поврзани со време
Интерпункциски симболи",Песна на љубовта и ризикот,"Песна на љубовта и ризикот

Меѓу ѕвездите светуваше нејзината љубов,
сите ми ветуваа дека ќе се врати,
но јас знаев дека ризикот е дел од наша прва љубов.
Пред да ја почувствувам, срцето ми се тресеше.

Отиде, но мојата душа беше полна со желби,
да ја вратиме тоа што беше најважно,
да го земеме ризикот и да го исполниме нашето ветување.
Секој ден беше нов почеток, но и нов ризик.

Нејзината близина беше како светло во темната ноќ,
и јас бев подготвен да го земам тој ризик,
да ја вратиме нашата љубов, и да го исполниме нашето ветување.
Секој ден беше нов почеток, но и нов ризик.

Беше ден на исчезнувања и на новото почнување,
кога ќе се врати, ние ќе го земеме ризикот,
да го исполниме нашето ветување и да го почувствуваме срцето.
Секој ден беше нов почеток, но и нов ризик.

И кога надојде времето, ние ќе се искачиме на ридот,
гледајќи го летото како светло во далечина,
да го земеме ризикот и да го исполниме нашето ветување.
Секој ден беше нов почеток, но и нов ризик.

Тоа беше ден на разделбите и на новото почнување,
но ние ќе го земеме ризикот и ќе го исполниме нашето ветување.
Да го почувствуваме срцето и да се вратиме назад,
секој ден беше нов почеток, но и нов ризик.",1007,620,1627,3980,7.577134132385254,0.0050860101676592,0.0,0.0,0.0,0.6349257230758667
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Сè или ништо размислување
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат болест
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Броеви",Темнината на спомените,"Темнината на спомените

Во сенките на минатото, сите се губеа,
меѓу нијансите на нејзината болка,
неа, која беше првата да се осмели,
пред да се отиде во тајниот свет.

Тука, во тишината, се чувал првата тајна,
отиде во сенките, нејзината тишина,
мојата душа, се колебала меѓу спомените,
сите нијанси на она што беше.

Што беше агол во учианитета,
уалезе предселинаот и шато,
кет со книги М молнии Нај рече.

С- Отој пакет е подарок од и,
хаити ученическа коопералија „Нов кодектиит за нашите бедни други.

Таа погледна, минатото се враќа,
и ги зеде сите спомени,
рана мечка беше им се изстрин,
ипаните а ги Пела. ""Никако

ЕСЕ ЛЕС
зато многу се ална се
за собор ДА решо ака да се
ТЕкни презашенте мака, други

ка тајросте пое си да ано
Каба зуна омгора иа 6 пок.

рија со доо прста зија Таа по
тео позна за на тома мето
пка дупа. Рашнне уште одозгоре
да се нареди мази мринн колку за

ба пола мечката
Ко рена и таат стори
Мачката; бараки рани, ""отиде

зошто дупката ветно моогу длабо-
ка. Тогај мришите се пафринне ни
неа и ја умртни. После а пеж
како мед га

раб
ка

та
ао

оо

Чењја

жена. ПИОНЕРСКИ ВЕСНИК

То ќоход

МОЧНИТЕ НА ГОЦЕ лелЧЕВ ВО
СКОШЕ.
На 10 октомори Ка Тршествен на

чани цо столицата на Макенонија
копје се пренесоа моштитеначне.
зик Корен на манедоткнот на.
роѓоце Дела. Заеаис со мош
ите се пренесе и пушната Со која
ќетој бореа.

Гопе, сега ти си тука, во сенките на спомените,
гледајќи ги сите сенки на нејзината болка,
а ти, останавме во тајниот свет на минатото,
гледајќи ги сите сенки на она што беше.",1125,796,1921,4645,86.71173858642578,0.0048471755970353,0.0,0.0,0.0,0.9215271472930908
Петре М. Андреевски,Наопачно оро,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови фокусирани на сегашноста
Интерпункциски симболи",Песна на сегашноста,"Песна на сегашноста

Во тишината на денот, кога сите се успамени,
мојата душа слуша, слуша звукот на срцето,
кое брзи чекоре ги зема патиштата на нејзината
светлина, која се протега пред нас.

Од далечина, звукот на ветерот ни го носи
приказната на неа, на првата светлина што
се родила меѓу ѕвездите, и сега тука, блиску до нас.

Сега, кога сите се успамени, јас сум буден,
и срцето ми брзи чекоре ги зема патиштата на
нејзината љубов, која се протега пред нас.

Измеѓу овие мигли, звукот на срцето ми
е единствениот што го слушам, и сè уште го
носам нејзината светлина во себе.

Тука, во сегашноста, сите ми се блиску,
и јас сум под нејзината заштита, под нејзината
љубов, која се протега пред нас.

Сега, кога сите се успамени, јас сум буден,
и срцето ми брзи чекоре ги зема патиштата на
нејзината светлина, која се протега пред нас.",862,441,1303,2933,12.798389434814451,0.0018276470503715,0.0,0.0,0.0,0.7972155809402466
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со религија
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Тага над минатото,"Тага над минатото

Тага над минатото, беше нејзината прва љубов,
која се губеше меѓу ѕидините на старата куќа.
Сите се сеќаваа на неа, како дел од своите спомени,
а неа само ја фаќаше сенката на некогашното среќно време.

Пред да го напушти, таа беше првата што го дочека,
кога светлината на утрото се слиеше со мирот на ноќта.
Оти, таа беше она што го осветлуваше нејзиниот пат,
но сега, мојата љубов, се губеше во далечнината.

Сега, кога ветрот шета по улици, тој носи трага од неа,
и сите се прашаме зошто нејзината љубов беше толку силна.
Пред да отиде, таа остави трага од среќа,
и сега, нејзината сенка се шета меѓу нас.

Тага над минатото, кога сите се сеќаваме на неа,
и нејзината љубов беше толку искрена.
Сега, кога ѕвездите се светлат на ноќното небо,
ние сите се сеќаваме на неа и на нејзината прва љубов.

Тага над минатото, која никогаш не исчезнува,
туку се шета меѓу нас, како дел од нашиот живот.
Сега, кога ветрот шета по улици, тој носи трага од неа,
и сите се прашаме зошто нејзината љубов беше толку силна.

Тага над минатото, која никогаш не исчезнува,
туку се шета меѓу нас, како дел од нашиот живот.
Сега, кога ѕвездите се светлат на ноќното небо,
ние сите се сеќаваме на неа и на нејзината прва љубов.",1078,627,1705,4188,8.772303581237793,0.003571475479313,0.0,0.0,0.0,0.7247980833053589
Петре М. Андреевски,КОГА ЈА ЉУБЕВ ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Индикатори за моќ
Говор за постигнување
Индикација на сигурност
Увид
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови кои изразуваат желби
Зборови кои изразуваат стекнување
Зборови кои изразуваат исполнување
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Песна на светлината и љубовта,"Песна на светлината и љубовта

Беше време кога сите ни се споиле во една вечерна тишина,
меѓу ѕвездите кои блескаа како нејзината љубовна светлина.
Нејзината гласа беше првата што го осветли мојот свет,
пред неа имаше само празнина, но оти таму веднаш се свет.

Мојата душа се осмели да скокне во морето на нејзината љубов,
првата бриза која ја почувствував беше нејзината голема љубов.
Сите ми станаа блиски, како ние ги спојуваме рацете за да се задржиме,
и во онаа вечер осмеливме да се осмееме, бидувајќи љубезен.

Моќта на нејзината убавина беше нешто што никогаш не се губи,
говореше за постигнување, за светлина што никогаш не ве губи.
Индикација на сигурност беше нејзината близина,
и со неа сите имавме увид во светот што го имаме.

Позитивната емоција што ја испушташе беше како сонце кое светли,
позитивен тон со кој го исполнуваше секој ден.
Зборови поврзани со визуелна перцепција, како „сјај“ и „светлина“,
и зборови поврзани со привлечност, како „убавина“ и „чар“.

Желбите што ги имавме беа како ѕвезди во ноќта,
стекнувањето на нејзината љубов беше најголемото исполнување.
Зборови поврзани со смрт немаше, туку само спомени што траат,
и зборови поврзани со политика не беа дел од нашата култура.

Време беше минатото што го исполнуваше секој ден,
повторени зборови како „љубов“ и „светлина“ беа нашиот тон.
Зборови кои означуваат жени беа нашите ѕвезди,
и со помош на интерпункциски симболи нашата песна се формираше.

Тука е наша песна, исполнета со љубов и светлина,
Оксфордска запирка го одделуваше секое исказување,
и со сите нас заедно, ние го песнаме она што беше,
и она што секогаш ќе биде: нас, и нашата љубов.",1105,804,1909,5453,21.455974578857425,0.0037142780924535,0.0,0.0,0.0,0.7817773818969727
Петре М. Андреевски,ПРВАТА РАЗДЕЛБА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Бидување несигурен/колеблив
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Тага на спомените,"Тага на спомените

Тага на спомените, ти си ветерот што шепа
во тишината ми, ти си сите празнини
меѓу ѕидините на минатото, нејзината
светлина се губи во сенките на сегашноста.

Пред да го најдеш патот, оти ми беше
мојата првата надежда, сега веќе
нејзината сенка лебди, колеблива,
исплашен од спомените што се враќаат.

Сеќавањата се вртеа, ти си гласнота
на ушите, звукови што се губеа
во далечина, но секогаш се враќаа
да ме поминаат, да ме земат со себе.

Ти си она што недостасува, она што
секогаш беше, сега е празна празнина
во срцето, она што никогаш не ќе се
врати, она што умре во тишината на спомените.

Тага на спомените, ти си ветерот што шепа
во тишината ми, ти си сите празнини
меѓу ѕидините на минатото, нејзината
светлина се губи во сенките на сегашноста.

Сеќавањата се вртеа, ти си гласнота
на ушите, звукови што се губеа
во далечина, но секогаш се враќаа
да ме поминаат, да ме земат со себе.

Тага на спомените, ти си ветерот што шепа
во тишината ми, ти си сите празнини
меѓу ѕидините на минатото, нејзината
светлина се губи во сенките на сегашноста.",1082,567,1649,3664,7.034855365753174,0.0023828413047129,0.0,0.0,0.0,0.8053722381591797
Петре М. Андреевски,СПИЕЊЕТО НА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Морализирање
Зборови за комуникација
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со дом
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Песна на минатото и траги,"Песна на минатото и траги

Беше време кога сите ми го ветија,
меѓу ѕвездите, над нивниот блесок,
нејзината љубов беше првата,
која ми го осветли прасекот.

Пред да се раздели нашата судбина,
оти таму каде што срцето ми го веднаш знаеше,
беше она што не можеше да се врати,
како ветерот што ми го зеде мојата надеж.

Мојата душа се шеташе слободно,
но сега е заробена во сенките на минатото,
неа ја фаќа тага,
и сите сега се само спомени.

Животот беше полно со светлина,
но сега сите сенки се стеснаа,
и јас сум тука, љубезен и несреќен,
морализирајќи за она што беше.

Зборови за комуникација се изгубени,
увидот се стегна во темнината,
а негативната емоција се шири,
како сенка над домот што некогаш беше наш.

Зборови поврзани со време се исчезнаа,
и сите ми се чинеа стари,
но минатото останува во мојата душа,
како траги што никогаш не исчезнаа.

Интерпункциски симболи се губеа,
и срцето ми пуше со тага,
зборови поврзани со привлечност се стегнаа,
и смртта стана нејзината сенка.

Зборови поврзани со визуелна перцепција,
се исчезнаа во темнината,
и сите ми се чинеа празни,
како домот што го напуштив.

Сега сум тука, љубезен и несреќен,
морализирајќи за она што беше,
и сите зборови се стегнаа,
како траги што никогаш не исчезнаа.",598,624,1222,4172,17.239221572875977,0.0104774665079303,0.0,0.0,0.0,0.8165448904037476
