author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity,bleu_score,rouge_1,rouge_2,rouge_l,bertscore_f1
Петре М. Андреевски,1903,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Машки заменки
Просоцијално однесување
Прикажување меѓучовечки конфликт
Морализирање
Зборови за комуникација
Индикатори за моќ
Увид
Сè или ништо размислување
Зборови поврзани со меморија
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат мажи
Интерпункциски симболи
Броеви",Споменици на минатото,"Споменици на минатото

Беше време кога сите меѓу нас го знаеа
нејзината тишина, неа пред ветровите,
оти мојата душа се враќа на првата
светлина што ја осветлуваше нејзината сенка.

Межу столбовите на минатото, тишината
се ризикуваше да зборува, но никогаш не се слушаше
ниту единствениот звук што се губеше во прашањата
на смртта и животот, на културата и опстанокот.

Сега, исполнет со празнини, јас го гледам
светот како го ризикува сè или ништо,
и се сетам на денот кога ни нашироко
се стоеше пред огромниот ѕид на заборавот.

Тага, она што го губеше сите,
се враќаше во сенките на минатото,
и јас го слушав неговиот тон на морализирање
како да ни укажува на пат на правда.

Моќта на зборовите се губеше во тишината,
но тие се враќаа, поново и поново,
како да ни укажуваат на прашањата
на смртта и животот, на културата и опстанокот.

Сега, јас стојам пред огромниот ѕид
на минатото, прашајќи се зошто сите
беа тиши, зошто не го ризикуваа сè,
и зошто никој не го слушаше звукот на смртта.

Спомениците на минатото се уште се тука,
нивните столбови го носат морето на спомените,
и јас го гледам како се ризикува сè или ништо,
и како тишината се враќа во празнините на минатото.",1091,611,1702,4262,19.085866928100582,0.0035746345518872,0.0,0.0,0.0,0.787009596824646
Петре М. Андреевски,ПРВО ПИСМО,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови поврзани со перцепција на движење
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Тага на минатото,"Тага на минатото

Беше време кога сите се единеа во сон,
меѓу звукови на ветрот, кој ги шепаше листовите,
и нејзината сенка се протегаше долго пред мојата врата.
Неа, ја помина тихо, но јас го чувствував секој трепкање на нејзината душа.

Првата светлина на утрото беше последниот звук на нејзината песна,
и пред да отиде, остави само празнина во срцето.
Мојата душа се шеташе меѓу спомените, искривени од времето.

Тага ме опфати, како темнината на ноќта,
кога звукот на тишината станува најголемото прашање.
Сега, минатата е тука, исполнета со тишина и празнини.

Временските стрели се свртеа назад,
но срцето останува во минатото, исполнето со траги.
Интерпункциските знаци на моите мисли се исправиа во празни празнини.

Звуците на минатото се уште се слушаат, тихо и трагично,
визуелните слики се уште се јасни, иако веќе давале.
Просторот ме опкружува со спомени, исполнети со тага.

Секој чекор е спомен, секоја сенка е знак,
и смртта на моите надежи се осетува во секоја сенка.
Минувањето на времето е брзо, но трагата останува.

Сега, јас сум тука, исполнет со минатото,
и сите мои мисли се враќаат кон неа, кон првата светлина.
Нејзината сенка се шета меѓу нас, и јас сум спокоен во тагата.

Беше време кога сите беа единствени,
но сега срцето ми лежи во празнина,
и само тагата ме следи, низ минатото и сега.",937,654,1591,4589,25.69058418273925,0.0019204131347333,0.0,0.0,0.0,0.8216732740402222
Петре М. Андреевски,ПЕСНА ЗА НЕЈЗИНАТА ПЕСНА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Зборови за комуникација
Индикатори за моќ
Индикација на сигурност
Увид
Негативна емоција
Неутрален тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи",Песна на спомен и љубов,"Песна на спомен и љубов

Беше првата вечер кога нејзината сенка се протегаше меѓу ѕидините,
сите мисли се вртеаше околу неа, неа која беше како ѕвезда во далечниот дел од ноќта.
Пред да оти, таа остави трага на светлина, светлина која ми го осветлуваше патот.

Мојата душа се спојуваше со нејзината, како два делови од една целина,
и ние две бевме сè, сите наши чувства се спојуваа во една единствена љубов.
Живевме во светот на нашите сонови, каде сите прашања беа решени.

Таа беше сигурна, нејзината сила беше неоспорлива,
и јас бев под неговиот оган, под нејзината заштита.
Ние две бевме единство, нејзината љубов беше мојот свет.

Но времето беше немилосрдно, ние ги минувавме минатите секунди,
и секој ден беше ново искуство, нови спомени.
Секој ден беше како нов поглед на старата улица на спомените.

И повторно се враќаме, секој ден, секоја вечер,
и ние сè уште се спојуваме, и ние сè уште љубиме.
Нашата љубов е вечен звук, една песна која се повикува на себе.

Сега, кога мислите се враќаат, ти си таму, мојата прва љубов,
и јас сè уште го чувствувам твојот допир, твојот ветер.
Ти си ми остави силен знак, ти си беше светлината во мојата темнина.

И уште еднаш, ќе се спојиме, ќе се вратиме во минатото,
и ќе ги исполниме нашите сонови, уште еднаш.
Нашата љубов е вечен сон, една песна која се повикува на себе.",1005,676,1681,4831,15.92770004272461,0.0078622876701314,0.0,0.0,0.0,0.7902077436447144
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Индикатори за моќ
Увид
Негативна емоција
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи",Тага на минатото,"Тага на минатото

Беше време кога сите ми го ветуваа светот,
пред да го напуштам она што беше мојата првата љубов.
Меѓу ѕидовите на куќата, нејзината сенка се движеше,
и сите се смееање и светлина, но срцето беше тука.

Неа ја поминавам на улиците, нејзината привлечност
се осветлуваше како ѕвезда во темната ноќ.
Сега, сепак, сите се разделија, а јас сум самиот,
со тагата што ја носаме во себе.

Временските стрели летаа, но минатото останува,
и сите спомени се уште живи во мојата душа.
Просоцијалното однесување се губеше во тишината,
а индикаторите за моќ станаа празни зборови.

Увидот во срцето ми го откри вистинскиот пат,
но тагата беше неизбежна, како смртта на сонцезајдењето.
Негативниот тон се искриви во секој чекор,
и јас сум осамен во оваа куќа на спомени.

Зборови поврзани со визуелна перцепција ми ги опкружуваа,
но само празнината беше она што го видов.
Зборови поврзани со привлечност ми ги исполнуваа очите,
но срцето беше празнина, полна со негативна емоција.

Зборови поврзани со смрт се слушаа во ветрот,
и културата на минатото се губеше во времето.
Повторени зборови се враќаа во мојот ум,
и жените беа сè уште дел од мојот свет.

Интерпункциски симболи ги исполнуваа моите мисли,
но само празнината беше она што го наоѓав.
Беше време кога сите беа тука, сега сите се отишле,
а јас сум осамен, со тагата што ја носаме во себе.",979,666,1645,4950,23.40050506591797,0.0043423951968049,0.0,0.0,0.0,0.6981762647628784
Петре М. Андреевски,УМИЛКУВАЊЕ,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Машки заменки
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Индикатори за моќ
Говор за постигнување
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со внимание
Зборови поврзани со привлечност
Зборови поврзани со ризик
Зборови кои изразуваат потреби
Зборови кои изразуваат желби
Зборови кои изразуваат стекнување
Сексуална содржина
Зборови фокусирани на сегашноста
Зборови фокусирани на иднината
Зборови поврзани со време
Интерпункциски симболи",Песна на љубов и трагедија,"Песна на љубов и трагедија

Беше време кога сите ми го ветуваа сонот,
меѓу ѕвездите имаше трага од нејзината љубов.
Неа, јас ја барав во сенките на ноќта,
пред да се раздели светот на два дела.

Оти, како тихо да се случи,
мојата прва љубов, целосно ме освои.
Сега сите мои мисли се врзани за неа,
и сиот мој имот низ сите времиња е смртта што ми ја пресуди ти.

Посрамнет од тебе во животот,
но постар - во смртта.
Каде и да погледнам, твоите окрвавени раце ме прогонуваат!

Па и земјава во која лежам,
и врз која с означен обликот на мосто тело,
таа моја кобна постела, каине, -
ем- твој дел: така брату мој, каин,
јас, авел, помлад од тебе во животот
сега сум постар од тебе - во смртта!

Ме прашуваш крвта дали вопиј е мој,
но јас - молчам! судбината ме предодреди да знам
дека мртвите нема што да им кажат на живите:
се што имаа да кажат - тие веќе го кажаа.

Сепак, душава моја по тебе пека
како гусле и страдам проколнат.
Ајте поповски сте месна,
зашто брат мој си и ничиј освен мој,
гледам длабоко во твојот грев
како пропаѓаш. Читам во твоите страдања.

Сега, во оваа трагедия на љубов,
јас сум дел од твојот дел,
и заедно ќе поминеме низ вечноста,
каде и да погледнам, ти си секогаш со мене.",1050,625,1675,3745,38.88577651977539,0.0050038936480029,0.0,0.0,0.0,0.8280301094055176
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Зборови за комуникација
Бидување несигурен/колеблив
Увид
Сè или ништо размислување
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови кои изразуваат болест
Зборови поврзани со ментално здравје
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови фокусирани на сегашноста
Зборови поврзани со време
Повторени зборови
Интерпункциски симболи
Броеви",Темнината на спомените,"Темнината на спомените

Беше време кога сите меѓу нас
се држеа силно, но пак ли ме лаже?
„Здраво, мила..“--и во еден чекор
ја минавме калдрмата влажна.

Не верував дека влубен некој
би напишаа -- есента е тажна.
Не, за мене во градинава сива
на секое дрво китка цвета.

Па затоа уште еднаш во живот
барам патје, среќа пак да сретнам.
Та иако по чеванте мои
дождот лее и ги полни тихо.

Во срцево топло катче двојам
за дубовта и своите стихои.
А во стихот вечерва е таа,
што трепети крај мене ко срна.

Гледам кришум -- две зеници
ко две искри под веѓите црин.
Аат, здраво, мила! здраво, граде убав!
Мој животе, прими искрен почит!

Ако таа во срце крие дубов
јис ја читам во нејзините очи.
Интимно, 5 на шопов,
твојот крик за сина ти го доч!

Те наслутив како негде стои,
штом се сетив твојте чувств!
И се сетив на нашите денои--
Бевме во чета, сите ни беше тесно...

Еднаш во племја, на шушкаво сено,
се родија во ноќ нашите песни.
Беа груби, од невешта рака
но регрути во енобе беа...

Слушај, момче, денес пак би сакал
да ти кажам нешто што го чувствувам.
Таа тихо стои, полни со болест,
и ние ги губиме темните спомени.

Сега сè е или ништо,
полн со тага и анксиозност.
Негативната емоција се гуши,
и болката се враќа во мојата душа.

Време е да се размисли,
да се врати назад во минатото.
Сега сите сме тука,
и сите сме тука за да се справиме со сегашноста.

Мојата прва љубов,
нејзината сенка уште се движи.
Пред да помине уште една ноќ,
оти тука сè уште има смрт.

Сега сме овде, во ова трепкање,
и сите сме овде за да го видиме следното.
Сега, сега, сега е времето,
и сите сме овде за да го почувствуваме.

Мојата болка,
нејзината болка,
нашата болка.
Сега сме овде, во овој свет,
и сите сме овде за да го живееме.

Сега, сега, сега е времето,
и сите сме овде за да го почувствуваме.",1044,916,1960,5637,19.05611228942871,0.0043078344201774,0.0,0.0,0.0,0.8441126942634583
Петре М. Андреевски,Наопачно оро,"Фигуративен јазик
Фрагмент од реченица
Активен глас
Неутрален тон
Зборови поврзани со аудитивна перцепција
Зборови фокусирани на сегашноста
Интерпункциски симболи",Песна на тишината,"Песна на тишината

Беше првата вечер кога сите
меѓу нас тихо стоеа,
слушајќи го звукот на ветрот,
кој шепотеше меѓу листовите.

Нејзината сенка се протегаше,
пред неа, во сенката на дрвото,
оти таа стоеше, мирно,
како што звукот се губеше.

Мојата душа се осмели,
да се осмели да слуша,
неа, таа тишина,
која зборуваше за сите.

Тука, во ова моменти,
кога сите починаа,
освен звукот на тишината,
која го носија срцето.

Интерпункциски симболи,
како да ни потсетуваат,
на сегашноста на она што е,
и на она што беше.

Тајната на тишината,
се крие во сегашноста,
и во сите моменти,
кои ги носат со себе.

Тука, во ова мигнато,
кога сите починаа,
освен звукот на тишината,
кој го носија срцето.",838,372,1210,2671,17.83904457092285,0.0025453897553212,0.0,0.0,0.0,0.7424116134643555
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Зборови за комуникација
Увид
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови поврзани со смрт
Сексуална содржина
Зборови поврзани со религија
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Тага на минатото,"Тага на минатото

Тага на минатото, ти си сенката што го следи секој чекор,
сите спомени се врзани меѓу нас, нејзината љубов беше првата
која го пронајде моето срце во темнината на вечерите.

Пред да отиде, неа ја фати тагата, како ветер кој го пуши
листот од стариот албум, каде нашите смешни часови се запечатиле.
Отиде, но нејзината сенка останува, свртена кон мојата празнина.

Мојата душа се задева со светлината на нејзината љубов,
и секој ден се враќаме во минатото, преку врати кои се отвораат
со светлината на спомените, кои сега звучат како ехото на среќата.

Се сети на првата вечер кога се задеваа, рацете преку рамките,
да си играат како две деца во една сончева есен.
Тага на минатото, ти си она што го прави секој ден да се врати.

Животописот на нас две е исполнет со часовниците на љубовта,
сликите на среќниот ден кога сите работи беа нови и свежи.
А сега, часовниците стојат мртви, а слики се стари и исчезнати.

Тага на минатото, ти си она што го следи секој чекор,
и сите знаеме дека нејзината љубов беше неповторлива.
Сега, сите се враќаме во минатото, барајќи го оној ден
кога сите беа свртени една кон друга, и во еден глас не укоруваа.

„Понекогаш, значи,
цел на видикот нема,
ниту пак стрела на лакот.
но јас несвесно тогај
ја оптегнувам тетивата,
ме гаќам а сепак
да ја вратам нејзината љубов,
да ја вратам нашата среќа,
да ја вратам онаа есен која беше наша.”",1010,691,1701,4789,27.92140007019043,0.0041980234243709,0.0,0.0,0.0,0.8388537168502808
Петре М. Андреевски,КОГА ЈА ЉУБЕВ ДЕНИЦИЈА,"Фигуративен јазик
Долга реченица (run-on)
Активен глас
Женски заменки
Просоцијално однесување
Бидување љубезен
Индикатори за моќ
Говор за постигнување
Индикација на сигурност
Увид
Позитивна емоција
Позитивен тон
Зборови поврзани со визуелна перцепција
Зборови поврзани со привлечност
Зборови кои изразуваат желби
Зборови кои изразуваат стекнување
Зборови кои изразуваат исполнување
Зборови поврзани со смрт
Зборови поврзани со политика
Зборови поврзани со култура
Зборови фокусирани на минатото
Зборови поврзани со време
Повторени зборови
Зборови кои означуваат жени
Интерпункциски симболи
Оксфордска запирка",Песна на светлината и спомените,"Песна на светлината и спомените

Беше еднаш, сите ние минувавме по стариот дел од градот,
меѓу ѕидините кои зборуваа со своите тишини,
нејзината сенка лебдеше над нив, неа ја следевме со очите,
пред неа се шеташе мојата душа, оти се осмелуваше да го испише.

Првата светлина на утрото беше како првата љубов,
сите ние ја гледавме како го осветлува срцето,
нејзината блескавост ги исполнуваше очите,
и секој чекор беше како ново откритие на нејзината лепота.

Се сеќававме на денови кога сите сме ги исполнувавме улици,
и секој звук беше како дел од нејзината приказна,
и секој чекор беше како дел од нашата драма,
и во секоја сенка беше дел од нашата легенда.

Оти сега, сите ние стоиме пред минатото,
мојата душа се осмелува да го испише,
првата светлина на денот беше како првата љубов,
и сите ние сме дел од нејзината веченост.

Секој ден беше како ново откритие на нејзината лепота,
и сите ние сме дел од нејзината приказна,
и во секоја сенка беше дел од нашата драма,
и во секоја светлина беше дел од нашата легенда.

Сега сите ние стоиме пред минатото,
и секој чекор беше како дел од нашата драма,
и во секоја светлина беше дел од нашата легенда,
и сите ние сме дел од нејзината веченост.

Секој ден беше како ново откритие на нејзината лепота,
и сите ние сме дел од нејзината приказна,
и во секоја сенка беше дел од нашата драма,
и во секоја светлина беше дел од нашата легенда.

Сега сите ние стоиме пред минатото,
и сите ние сме дел од нејзината веченост.",1048,717,1765,4528,5.124967575073242,0.0037323862235672,0.0,0.0,0.0,0.7032309770584106
Петре М. Андреевски,ПРВАТА РАЗДЕЛБА,"Фигуративен јазик
Фрагмент од реченица
Долга реченица (run-on)
Активен глас
Женски заменки
Прикажување меѓучовечки конфликт
Бидување несигурен/колеблив
Зборови поврзани со меморија
Негативна емоција
Анксиозност
Тага
Негативен тон
Зборови поврзани со аудитивна перцепција
Зборови поврзани со визуелна перцепција
Зборови поврзани со просторна перцепција
Зборови кои изразуваат потреби
Зборови кои изразуваат недостаток
Зборови поврзани со смрт
Зборови фокусирани на минатото
Зборови поврзани со време
Интерпункциски симболи",Тага на спомените,"Тага на спомените

Беше време кога сите меѓу нас
се единствени, нејзината гласа
првата светлина што мојата душа
се осмели да ја осветли.

Отиде, но нејзината сенка
се шета пред мојата глава,
колеблив, јас чекам, чекам
дали некогаш ќе ја врати.

Спомената е во тихиот ветер,
во звукот на тие тихи води,
и јас сум само бран што леко тече
се плиска, се шуми, се смирува, трае.

Тага ме опфати, јас слушам
звуците што ги губеше неа,
и срцето ми се полни со празнина,
сите мои стапки се губеа.

Време, сето брановитост свесиа,
зар зеде нешто и зар нешто губам?
Не! тие стапки во приквечер јасна
ги слушам веќе една вечност цела.

И не велам: ти пусто, младост, згасна,
а - ти си уште жива, младост! - велам.
Жалам дека немам спомен
што појарко во свеста да те роди.

Скопје, ти што стоиш на газибаба,
потомче - чуј:
одовде и јас скопје сум.",1027,461,1488,3019,40.031524658203125,0.006393223126195,0.0,0.0,0.0,0.8889040350914001
