author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity,bleu_score,rouge_1,rouge_2,rouge_l,bertscore_f1
Петре М. Андреевски,ПЕТТО ПИСМО,,Меѓу расцепи и традиција,"Меѓу расцепи и традиција

Во нејзината душа, цепки се креваат,
Пред нејзините нозе, раздори цлефаат.
Меѓу се искрваваат пред неа два света,
Нејзината традиција, борба ја водела.

Таа, меѓу сенките на миналото стоеше,
Пред новата рапавост, засолнок бараше.
Нејзиниот поглед, на две странки се дели,
Оти, од каде снага за борба да зели?

Од овој расцеп, нејзиното срце боли,
Меѓу нив стои, а никому не се помоли.
Нејзините мисли, во внатрешен бег ги носи,
Пред неа иднината, незнајно нејзе ја пуштоси.

Но, таа знае дека над сè стои традицијата,
Што со нејзини предци ги спои душите.
Затоа, верно оди по нивните патеки,
Ведро, над расцепите се издига мешу векотите.",6884,357,7241,9057,37.14286422729492,0.0010446684976156,0.0,0.0,0.0,0.7802441120147705
Петре М. Андреевски,1903,,Пред расцепи,"Пред расцепи

Пред стари расцепи во традицијата,
меѓу вековите следи нејзината нишка.
Ја носам нејзината приказна, њезина,
пред нови цепења, нови вистини.

Оти, ова што гледам пред мене,
не е како пред, не е сосем мое.
Јас, меѓу две времиња, 
чекам, мој првиот фотографски чекор.

Да ги заврзам парчињата што се расипани,
да ја пронајдам нејзината суштина,
да ја сочувам, да ја пренесам 
низ нови расцепи, нови пукнатини.",6884,236,7120,5129,28.47772789001465,0.0010610468306227,0.0,0.0,0.0,0.769802451133728
Петре М. Андреевски,ПРВО ПИСМО,,Меѓу расцепи и традиции,"Меѓу расцепи и традиции

Во расцепи на времето,
Со нејзин поглед пред мене,
Отсекогаш меѓу нас
Беше пустина за да прескокнам.

Но традицијата што ме врзува,
Слободата што ме води,
Тие мои, мои меѓу нив,
Ја осветлуваат патеката.

Пред сè, пред себе,
Во мојот фотографски ум,
Прва е таа - нејзината сенка,
Што ме влече во новиот ден.",6884,204,7088,4987,44.89744567871094,0.0011143981176494,0.0,0.0,0.0,0.808682918548584
Петре М. Андреевски,ПЕСНА ЗА НЕЈЗИНАТА ПЕСНА,,Раскол и Традиција,"Раскол и Традиција

Со расцепот меѓу нас,
Предоцна се претстави,
Нејзиниот пат се гаси,
Пред да може да сјае.

Но, меѓу тродимензиите,
Постои нишка на традиција,
Што нашите предци ни ја оставија,
За да нè води до вистинска унија.

Затоа, пред да се расколиме,
Да се потсетиме на оваа нишка,
Да ја следиме кон заедништвото,
Кон мирот, прогресот и среќата.

Зашто, во мојата душа,
Нејзината слика ми шепти,
Дека само заедно можеме да се најдеме,
Во сјајот на нашата иднина.",6884,269,7153,6552,26.44150733947754,0.0016545986767576,0.0,0.0,0.0,0.7367563247680664
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,,Расцепи на нејзината традиција,"Расцепи на нејзината традиција

Меѓу нејзините спомени,
Пред нејзиниот поглед,
Леат расцепи на нејзината традиција,
Оти мојот прв поглед 
Бележи фотографски 
Нејзините срцепи.

Во расцепот на нејзиниот живот,
Меѓу сите нејзини верувања,
Пред нејзината душа,
Стојам и ја набљудувам
Како се бори да ја зачува
Првата нејзина љубов.",6884,200,7084,5995,18.843664169311523,5.981134577349657e-05,0.0,0.0,0.0,0.6796808242797852
Петре М. Андреевски,УМИЛКУВАЊЕ,,Расцеп на традиција,"Расцеп на традиција

Меѓу нејзини верувања
Се појави расцеп голем,
Што ја ломи нејзината традиција,
Со болка и двоумење обземен.

Пред неа се издига предизвикот,
Да ја совлада оваа пукнатина,
Оти нејзиниот живот и мој
Меѓу тој расцеп се наоѓаат.

Фотографски ја гледам нејзината борба,
Да ги зачува нејзините навики и реди, 
Но пред неа стојат повеќе патишта,
Меѓу кои мора мудро да одлучи.

Темелите на нејзината традиција
Треба пред се да не ги заборави,
Но и да прифати дека времето
Промени многу меѓу нас сега направи.

Нека го пронајде вистинскиот пат,
Пред да биде премногу доцна,
Да ја зачува нејзината традиција
И да ја пренесе на идните поколенија.",6884,353,7237,8124,21.440114974975582,0.0025078128285557,0.0,0.0,0.0,0.8008334636688232
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,,Расцепот на традицијата,"Расцепот на традицијата

Меѓу нејзините тиха страста кипи,
Пред пукнатини во нејзината душа.
Оти традицијата сè повеќе се губи,
Мојот прв чекор можам да го чујам само јас.

Во фотографски лик на минатото,
Нејзиното лице се меша на незнание.
Пред вистината таа се крие,
Оти нов расцеп раѓа во срцето.

Меѓу былиот ред и сегашното неизвесно,
Нејзиниот прв вопль се слуша само во мрак.
Оти времето брзо минува, 
А нејзините спомени се гасат како ситни зраци.",6884,254,7138,4803,30.66545486450196,0.0010758746324053,0.0,0.0,0.0,0.7561212182044983
Петре М. Андреевски,Наопачно оро,,Пред расцепот,"Пред расцепот

Меѓу традиции и нејзини реки,
расцепот се раѓа пред нејзиниот поглед.
Пред нејзиниот пристап, живот ја крие,
оти патиштата не ја водат кон неа.

Меѓу болка и надеж, нејзината душа пее,
прв чекор кон свободата што ја крие.
Пред немилоста на светот, таа се бори,
за да го премости расцепот што ја дели.

Пред тајната што ја држи, таа чека,
фотографски ја запишува секоја болка.
И во мрак што ја опкружува, таа се бори,
оти знае дека надежта е единствениот пат.",6884,256,7140,5317,28.00274658203125,0.0028718620586135,0.0,0.0,0.0,0.6763389110565186
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,,Пред Расцепот,"Пред Расцепот

Расцеп во сржта на традицијата,
Затворен меѓу нејзините нишки.
Нејзиниот глас, како одек древен,
Пред мојот прв поглед се подига.

Оти во овој миг, пред очи ми се јавува,
Кризата од која никој не може да побегне.
Пред нејзиниот несогледлив расцеп,
Мојот прв чекор застанува.

Искористувајќи ја оваа фотографска слика,
Ја гледам нејзината суштина вистинита.
Пред оваа страшна разединетост,
Мојата душа се колеба, не знаејќи каде да тргне.",6884,251,7135,4825,27.50069046020508,0.00034833668057,0.0,0.0,0.0,0.7808162569999695
Петре М. Андреевски,КОГА ЈА ЉУБЕВ ДЕНИЦИЈА,,Пред раскол,"Пред раскол

Традицијата чуден пат води,
Меѓу сите расцепи тешко да се оди.
Нејзините зраци ме облеваат,
Пред мене скриенa неа гледаам.

Пред себе расцеп голем јас имам,
Дали оттаму пат да си прокрадам?
Меѓу двете крајности сите сме гледани,
Нечија фотографска претстава сме станати.

Но, оти пред тие расцепи јас стојам,
Мојот почеток и крај ги согледувам.
Пред овие искушенија, прв да стапнам,
И со себе традицијата да ја повлечам.",6884,244,7128,4931,46.40361022949219,0.0021428496223085,0.0,0.0,0.0,0.7684720754623413
Петре М. Андреевски,ПРВАТА РАЗДЕЛБА,,Расцеп на традицијата,"Расцеп на традицијата

Меѓу расцеп и традиција,
Нејзиниот глас не доаѓа до неа.
Пред очи, а далеку,
Оти таа не ја слуша нејзината молба.

Првиот чекор кон помирување,
Фотографски отпечатен во сеќавања.
Меѓу нив, расцепот се шири,
Пред новата генерација што доаѓа.

Мојот глас се изгуби во времето,
Оти нејзините уши не сакаат да слушнат.
Расцепот меѓу нив се намножува,
Пред традицијата да биде загубена.",6884,237,7121,5622,26.80060577392578,0.0017929588074443,0.0,0.0,0.0,0.7659094333648682
Петре М. Андреевски,СПИЕЊЕТО НА ДЕНИЦИЈА,,Расцепи во традицијата,"Расцепи во традицијата

Меѓу нејзините расцепи
Нејзината традиција гледаат,
Пред нејзините очи таа се кријат,
А неа напуштаат.

Оти пред нејзината чист душа,
Нејзините расцепи се лудина,
Мојот поглед ги бара,
Но фотографски трагите не ги наоѓам.

Расцепи низ нејзината традиција,
Оти таа чека да се спојат, да се видат,
Но пред нејзиниот поглед
Тие се губат, се кријат.",6884,216,7100,3608,23.47705268859864,0.0008405932934965,0.0,0.0,0.0,0.7837504148483276
Петре М. Андреевски,АКО НЕ СИ ТИ,,Расцепот во традицијата,"Расцепот во традицијата

Меѓу столетијата, пред нејзините очи,
расцеп во традицијата сега се појави,
раскол меѓу минатото и иднината,
разединетост што го вознемирува нејзиното срце.

Пред да ги сложи парчињата на мозаикот,
нејзините мисли се борат меѓу себе,
меѓу она што пред неа стои
и она што во минатото некогаш било.

Фотографски сликата на нејзината душа,
зафатена меѓу чеканот и наковалната,
моли за обединување, за спој на традициите,
пред да биде премногу доцна.

Но, во нејзините раце е да ги собере
парчињата на расцепот што ја мачи,
да ја продолжи нишката на нејзиниот мој,
што ќе ја поврзе со нејзината минато и идно.",6884,317,7201,4974,24.02163314819336,0.0027881039215828,0.0,0.0,0.0,0.7806575298309326
Петре М. Андреевски,ВТОРА ИСПОВЕД,,Расцеп на традициите,"Расцеп на традициите

Меѓу нејзините традиции,
Пред неа расцеп се јави,
Нејзиниот свет раздели,
Расцепот опустоши и оти.

Мојот глас пред неа стои,
За нејзината вера да подигне,
Фотографски да го запамти,
Првиот чекор кон заедницата.

Нејзиното срце се колеба,
Меѓу две патишта бира,
Одбира први зори,
За да срцето ѝ се соедини.

Пред неа избор се јавува,
Традицијата да го одбере,
Или во расцепот да падне,
За нејзиното битие да стане.",6884,244,7128,3915,23.987449645996094,0.000385500232942,0.0,0.0,0.0,0.7642860412597656
Петре М. Андреевски,Песна за нејзината песна,,Расцеп на традиции,"Расцеп на традиции

Меѓу слоевите на време,
Нејзиниот расцеп пустиот сјај го брани,
Пред очите на света нов почеток,
Оти мојот прв поглед со фотографска прецизност ги улови.

Традиции на тивката партија,
Што како меѓу чеканот и наковалната,
Во нејзините разединети раце ги притиска,
Нејзиниот свет на Единство порано го елепнал.

Пред расцепените зурки на неа,
Расцепот на нејзината втишена душа,
Длабоко како провалија ја зјае,
Оти со неа го однел и мојот сон.

Сепак, меѓу овие траги од минатото,
Таа пред сè ја гледа својата иднина,
Во која првите чекори ќе бидат засновани
На мојот расцеп и нејзината традиција.",6884,321,7205,5635,39.42150115966797,0.0011876243240022,0.0,0.0,0.0,0.7812595367431641
Петре М. Андреевски,ЛЕТУВАЊЕ,,Пукнатина во Времето,"Пукнатина во Времето

Во расцепот на традицијата,
меѓу нејзиниот и мој свет,
пред неа застанав,
оти знаев оти таа е прва.

Првите чекори во нејзината судбина,
фотографски врежани во мојата меморија,
ја делат нашата приказна на пред и после,
оставајќи нов расцеп во времето што нè дели.

Но, во том меѓу,
каде што минатото и иднината се судираат,
пронајдов место за себе,
место на својот глас, мојата приказна.

Затоа, чекам да се обединат
моите и нејзините патишта,
да ја сплетам нашата судбина,
да ја преминам пукнатината што нè дели.",6884,272,7156,4728,37.89273834228516,0.0033159774591785,0.0,0.0,0.0,0.8171854019165039
Петре М. Андреевски,Летно пладне,,Танц на расцепи,"Танц на расцепи

Меѓу традициите и нејзиниот расцеп
Пред нас ги гледаме пукнатините.
Оти, пред нашите очи, 
Мојот расцепен свет се раскинува.

Се раскинуваат врските меѓу нас,
Оставајќи празни места, тишина и немир.
Расцепен на парчиња, 
Фотографски се одразува пред нас.

Но, затаен во мракот,
Сѐ уште постои надеж,
Да се најде патот што ќе ги поврзе
Парчињата на овој расцепен свет.",6884,228,7112,4134,38.02107620239258,0.0020456172753905,0.0,0.0,0.0,0.7142330408096313
Петре М. Андреевски,ЧЕТВРТО ПИСМО,,Расцепи меѓу традицијата,"Расцепи меѓу традицијата

Меѓу традицијата и тешките расцепи,
Нејзината душа нема мир,
Пред нејзини очи – судири што не престануваат,
Оти расцепите го поткопуваат нејзиниот свет.

Пред неа – раздор и разединетост,
Првите вредности сè повеќе бледнеат,
Нејзиниот пристап кон животот се менува,
Фотографски оставјајќи траги на промените.

Оти расцепот двојно ја дели,
Нејзината внатрешност се бори,
Пред новите предизвици таа колебливо се огледува,
Меѓу минатото и сегашноста не може да одлучи.

Така нејзината душа нема спокој,
Пред неа – раздор што не ја остава на мир,
Борба меѓу традицијата и новото,
Оти расцепот ѝ ја одзема слободата.",6884,332,7216,4725,23.52883529663086,0.0010832848564907,0.0,0.0,0.0,0.6955804228782654
Петре М. Андреевски,Таа,,Расцеп во традиција,"Расцеп во традиција

Меѓу нас, отсекогаш
Расцепена традиција живее,
Нејзиниот глас пред нас стои,
Оти расцепот се крие.

Пред да се догоди,
Тивок и непознат,
Низ моето тело шета,
Чекајќи да го откријам.

Прв знак, прва пукнатина,
Фотографска застина слика,
На мојата грижа и нејзина,
Расцепот на традицијата не бира.

Мојата, нејзината - каде граници ги има?
Прв јад, прва болка, прв лом,
Меѓу нас, отсекогаш,
Традицијата расколена цветка во дом.",6884,259,7143,4048,28.68503189086914,0.0041624201181368,0.0,0.0,0.0,0.8080531358718872
Петре М. Андреевски,Тркалезни форми,,Расцепи во традицијата,"Расцепи во традицијата

Меѓу нејзините расцепи,
Неа ја гледам одамна,
Плени ме нејзиниот фотографски лик,
Пред мене стои како прв чекор.

Традицијата наша што ни ја остави,
Меѓу расцепите што ја дели,
Пред нас се криет вистини што трепереле,
Оти не ѝ посветивме доволно време.

Да ја зашиеме нејзината рана,
Расцепот да го спојиме повторно,
Да ѝ го вратиме нејзиниот сјај,
Да ја оживееме нејзината душа.

Пред нас е патот, прв, но не лесен,
Да ја соедините семејната традиција,
Да ја вратиме нејзината чест и слава,
Да ја продолжиме нејзината приказна.",6884,303,7187,4779,18.715633392333984,0.0007794437602767,0.0,0.0,0.0,0.6778025031089783
Петре М. Андреевски,ТРЕТО ПИСМО,,Расцепот во традицијата,"Расцепот во традицијата

Између традиција што ми ги браат,
И расцеп кој мене ме раздира,
На Живот ми небо посертај,
Пријатели повеќе не ме гира.

Пред нејзиниот поглед што ме вера,
Сакам да спојам што е расцепено,
Во мојата душа што ми е чера,
Нејзиното добро пред очи имено.

Оти тоа што е мое, не сум смел
Со расцепот да подели и расфрла,
Туку како первенец да го зел,
И со фотографски детали да го врца.",6884,222,7106,3651,51.9254035949707,0.0016018702928309,0.0,0.0,0.0,0.8256178498268127
Петре М. Андреевски,Лицето на зборовите,,Расцепи и традиции,"Расцепи и традиции

Меѓу расцепите на камен и ѕид,
Растат традициите како пупки мили.
Нејзиниот траг се крие меѓу редови,
Пред очи ни донесува слики јасни.

Пред нас животот се расцепува,
Оти традициите го водат низ реки,
Меѓу митови и мечти, мој и нејзин свет,
Кон првите чекори на фотографската крајност.",6884,176,7060,3254,67.02494049072266,0.0045926148866596,0.0,0.0,0.0,0.8122348785400391
