author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity,bleu_score,rouge_1,rouge_2,rouge_l,bertscore_f1
Петре М. Андреевски,ПЕТТО ПИСМО,,Сеќавање во времето,"Сеќавање во времето

Беше тоа нејзината првата
Меѓу сите мигови исткани во сеќавање,
Пред неа ce отворија вратите
Оти ја водеа во нејзината мала внатрешност.

Мојата љубов, таа беше пред сè,
Нејзините очи, огледало на душата,
Сè што порано ce мислело, веќе немаше важност,
Во нив ce одразуваше сета мојата вселена.",229,180,409,2175,55.989845275878906,0.0001782408472693,0.0,0.0,0.0,0.7430161237716675
Петре М. Андреевски,1903,,Изгубена времиња,"Изгубена времиња

Беше некогаш сé меѓу нас,
Нејзината душа, мојата вера,
Пред нас некогаш ce гледаше
Оти она што остана, ce изгуби.

Сите ние не знаевме,
Како да ce вратиме назад,
Во времето кога нашата љубов
Била првата и единствена.

Сега кога сето тоа ce изгуби,
Оставајќи нас полни со жал,
Сфаќаме дека нема враќање
Во изгубените времиња.",229,202,431,2325,32.012821197509766,0.000646801191375,0.0,0.0,0.0,0.7604028582572937
Петре М. Андреевски,ПРВО ПИСМО,,Сеќавање,"Сеќавање

Беше мојата, првата,
сите нејзини моменти, 
меѓу сенките на минатото
што го исполнуваат нејзината душа.

Пред мене, сега, 
стои она што беше,
оти никогаш не ќе се врати
она што беше некогаш.

Но, во мојата душа,
во нејзината сеќавање,
ќе живее засекогаш
она што беше некогаш.",229,171,400,2178,24.482398986816406,0.0016132435193138,0.0,0.0,0.0,0.8042722940444946
Петре М. Андреевски,ПЕСНА ЗА НЕЈЗИНАТА ПЕСНА,,Маевтички пламен,"Маевтички пламен

Беше пред неа сите,
меѓу нејзините редови,
мојата душа се препознаваше,
оти таа ме водеше.

Првата искра што ме запали,
беше нејзината вера,
што не згасна ни пред мене,
ни пред сите други.

Таа пламенот го носеше во себе,
и го распламтуваше мојот,
за да откриеме заедно
дека вистината е во нас.",229,175,404,2011,38.583946228027344,0.0008478111013815,0.0,0.0,0.0,0.7519617676734924
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,,Сенки на минатото,"Сенки на минатото

Беше времето кога сите
Меѓу звездите се криеа,
Нејзината душа несебична
Ги даваше зраците што ги имаше.

Пред неа стоеја сенки на минатото,
Оти животот неа ја тераше,
Мојата грижа за нејзината судбина
Првата беше која ме допираше.

Сега ја гледам како сама,
Небото, месечината, ѕвездите свои,
Но сенките на минатото се тука,
Не даваат мирен сон да има.",229,207,436,2881,35.96915817260742,0.000223062657999,0.0,0.0,0.0,0.714134931564331
Петре М. Андреевски,УМИЛКУВАЊЕ,,Моментот што беше меѓу нас,"Моментот што беше меѓу нас

Пред мене стоеше таа,
Нејзината убавина ме опкружуваше.
Се прашував дали ова е вистина,
Oти сите мојата душа ја знаеја.

Првата допирна на моето срце,
Тревожејќи го со нејзините зраци.
Во миг, сето тоа ce изгуби,
Оставајќи ме сам, но со спомен.

Тој спомен ќе чувам во мојата душа,
Оти тоа беше моментот што меѓу нас беше.
Иако сега таа е само сеќавање,
Нејзината убавина вечно во мене ќе живее.",229,249,478,3363,20.78044319152832,0.0008126781200714,0.0,0.0,0.0,0.8302439451217651
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,,Меѓу сите,"Меѓу сите

Беше пред неа, нејзината,
Мојата првата средба меѓу сите,
Оти не ја знаев, не сакав да се плашам,
Но тогаш ce појави, тогаш ce прикажа.

Нејзиниот поглед, нејзината убавина,
Ме опколија, ме опчинија, ме освоија,
Во тој миг сите мои сомнежи исчезнаа,
Само таа остана, само таа вечно ќе живее.",229,190,419,2408,26.626903533935547,0.0003729651372249,0.0,0.0,0.0,0.7706182599067688
Петре М. Андреевски,Наопачно оро,,Миг,"Миг

Беше пред нејзината врата,
сите погледи меѓу нас.
Мојата душа, првата,
ce запали во нејзиниот сјај.

Оти, ова не беше сон,
туку реалност што згасна пред нас.
Тажен беше овој миг,
но нејзината светлина сè уште трае.",229,138,367,1912,37.57600402832031,0.0047476886598065,0.0,0.0,0.0,0.7373287677764893
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,,Пред сè,"Пред сè

Таа беше меѓу сите,
Нејзината душа, моја прва.
Пред мене стоеше,
Оти мојата ја бараше.

Сите навистина знаеја,
Дека оваа љубов ќе биде вечна.
Само нејзината срцева вербата,
Прва ќе ме води низ жедното лето.",229,146,375,1751,30.83295631408692,1.997541511675271e-05,0.0,0.0,0.0,0.7822244763374329
Петре М. Андреевски,КОГА ЈА ЉУБЕВ ДЕНИЦИЈА,,Моето срце,"Моето срце

Беше таа, сред сите,
меѓу нејзината убост,
пред погледите,
оти моето срце
ја сретна првата.

Нејзината слика
ce вреза во мојата душа,
како прва љубов,
што никогаш не престанува,
туку вечно трае.",229,127,356,1841,43.56059646606445,0.0001569400377416,0.0,0.0,0.0,0.7520738840103149
