author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity,bleu_score,rouge_1,rouge_2,rouge_l,bertscore_f1
Петре М. Андреевски,ПЕТТО ПИСМО,,Маглата на Македонија,"Маглата на Македонија

Маглата густа се спушта,
Над поројот на селата,
Мирисот на земја - тивок шепот,
Што буди скриени чувства.

Низ палетата на бои,
Што ја сликаат есента,
Тивко се крие тајната,
На Македонија рамна.

Во залезот на сонцето,
Што ја бои земјата,
Коренот на предците,
Дава нов живот во душата.

Маглата тивко се крие,
Во мистериите на таму,
Каде што стариот дух живее,
И дава сила да одам напред.",330,224,554,3528,25.789831161499023,0.0005034558950134,0.0,0.0,0.0,0.7540688514709473
Петре М. Андреевски,1903,,Во полето на сенките,"Во полето на сенките

Во полето на сенките,
каде времето не тече,
среде тивката вечност,
душата ми се губи.

Тука ги слушам гласовите
на немирни ветрови,
што шумат и повикуваат
на неподнослива тага.

Од длабочината на мракот
се извиркуваат лица,
чии болни погледи
ме сведочат за животот.

Во полето на сенките,
каде немаат своја сила
ниту законот, ниту светот,
јас сум загубен и сам.",330,203,533,2736,57.8846435546875,0.0008728721025047,0.0,0.0,0.0,0.7830626368522644
Петре М. Андреевски,ПРВО ПИСМО,,Мугрите на Крушево,"Мугрите на Крушево

Во тажните очи на Крушевските мугри,
Се таложи тиха тага на векови.
Та тага се плете во её ветри, 
И зборува за Илинден и борби.

Во таја далечина се распрснуваат
Молчељиви сребрени сонови,
И го будат минатото мрачно, 
Што к'н слобода ги тераше синови.

Мугрите чувствуваат, знаат тие
За горчината од горчиот напиток,
Што го пиеја тие сине младини
Што пред слобода дарнаа свој живот.

Во тој тих треперез на обрачи, 
Се слуша вулканскиот рев на борби,
Кој одекнуваше низ Крушевски планини
И викаше: ""Живее Македонија!""",330,330,660,4739,47.834449768066406,0.0017608637559891,0.0,0.0,0.0,0.8664572238922119
Петре М. Андреевски,ПЕСНА ЗА НЕЈЗИНАТА ПЕСНА,,Човечка душа,"Човечка душа

Крај полски на ливада зелена,
Легната стара јамка свои,
Таму се роди сета болка, пена,
Што во животот ме зафати ми.

Од црн камен, што скршен лежеше,
Потекува реката на тага,
Што низ виорот на денот тече, све
Во темнина што не знае брега.

Но, ете, пукна светлина некаде,
И пламте пеперутки сите,
И ветрот носи гласови несфатени,
И сака душа да полети.

Каде, каде бега таа душа моја?
Што сака, што сака да најде?
Дали достигне таа до крајот своја?
Дали во светлина ќе заврши?",330,260,590,3539,41.00838470458984,0.0018192319586717,0.0,0.0,0.0,0.7592113018035889
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,,Орото на мраколобни магли,"Орото на мраколобни магли

Во кругот на мрачни облаци,
орото се вее и низа,
над земјата плаче и нуди
уточиште за душите.

Ги крие небото и месечината,
обвиткува села и градови,
ги пропива светите букови,
се лизга по петите на деновите.

Таа е долга, непрегледна нишка
што се вие низ сокровишта и пештери,
сведок на тајни и судби,
на животи што вечно трепери.

Но, во нејзините пресеци сјае
искра на спасение и утеха,
раската симболика на ороводот
што време и простор прегрнува.",330,240,570,4020,68.87400817871094,0.0007354803420003,0.0,0.0,0.0,0.7691527605056763
Петре М. Андреевски,УМИЛКУВАЊЕ,,Лирски излив,"Лирски излив

Во тиха ноќ, кога времето застанува,
мислите и срцето мое се разбуркуваат.
Темнината ме обгрнува, а душата ми пламнува
во оган од тага, што не може да се угаси.

Излевам ги болките, што ме душат и гушат,
во стихови облечени, со рими убави.
Надежта да стигнат до некое срце што ќе слуша,
и да пронајдат одраз во емоциите туѓи.

Нека низ мракот да избие некое светло,
што ќе го раздели, ќе ми отвори пат.
Нека зборовите мои станат толку ветри,
што ќе ме понесат, и ќе ме вратат назад.

Во оваа тишина, кога светот е заспан,
се прелевам во ноќтта, како нејзин дел.
И молчам, и плачам, и шепотам ја раната,
надевајќи се дека утре ќе се раѓа нов ден.",330,353,683,4656,31.90959930419922,0.0043991810051131,0.0,0.0,0.0,0.817785918712616
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,,Шепотот на мракот,"Шепотот на мракот

Во ветрот на сонот, што ме гали нежно,
Се раѓа шепотот на мракот што ме влече длабоко.
Низ магијата на темнината, што ме загрнува,
Се крие ридот што ме вика, со глас што ме трга.

Во измаглицата на ноќта, што ме носи кон себе,
Се раѓа тајната на животот, што ми ја открива.
Во плиска на звездите, што ме гледаат сочно,
Се крие тагата што ме бара, со очи што ме гледаат.

Во дишењето на земјата, што ми ја дава топлината,
Се раѓа љубовта што ми ја нуди, со раце што ме бранат.
Во шепотот на вечноста, што ме повикува мудро,
Се крие приказната за животот, што ми ја раскажува.",330,316,646,4121,14.920450210571287,0.0011198542896512,0.0,0.0,0.0,0.6899847984313965
Петре М. Андреевски,Наопачно оро,,Тивкиот танц на ветрот,"Тивкиот танц на ветрот

Во ноќна тишина, ветрот се буди,
танцувајќи тивко, на стрвни крила,
гранките пелтечејќи, оплетени во соништа,
шепоти магични песни, што душата ги гали.

Со гледот магичен, во далечини се гледа,
над земјата, каде што времето стои на чекор,
ветрот во сенки се вплетува, играјќи танц неверен,
оставајќи траги на мистерија, што никој не ги рече.

Во шушкавоста тивка, ветрот танцува,
носејќи нежност што ја допира кожата,
љубов што пламтее во себе вгнездена,
оставајќи белези на душа, што ја допира.

Оваа чувствена игра, сè што допира го менува,
симболизирајќи танц, што душата го води,
во лирски стихови што никогаш не замолкнуваат,
во тивок заграбок на ветрот, што ја милува.",330,357,687,4959,29.281230926513672,0.0024065919238633,0.0,0.0,0.0,0.8420460820198059
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,,Вјерување,"Вјерување

Во теснотијата на душата
азборавам ја вјечната смисла,
закована во дом сиромашен,
како вечна дрхтавица во леден простор.

Но, кога сонце нежно проструи
низ сивата магла на очите,
и радоста живот ми враќа
како пролетно здивје на збран простор.

Тогаш знам, знам дека постои
искра божја скриена темело,
која ми подарува надеж
во празна преобразба на светот.

Затоа верувајте во живот,
во пребогата творечка снага,
што најнеочекувано воскреснува
во празнината на душата.",330,274,604,3533,43.09602737426758,0.0003593237566746,0.0,0.0,0.0,0.8196905255317688
Петре М. Андреевски,КОГА ЈА ЉУБЕВ ДЕНИЦИЈА,,Прашини на ветерот,"Прашини на ветерот

Ветрот го носи мојот глас,
низ полињата на сеќавањето,
допирајќи ги сенките на минатото,
што пцрнееја како стари ткаенини.

Прашини на ветерот,
што танцуваат во сончевите зраци,
ме водат низ скриените патеки,
каде одјекнуваат заборавени песни.

Во тивките ноќи,
гласот на ветрот шепоти,
раскажувајќи ми за давни настани,
што вгнездени во моето срце чекаат.

Прашини на ветерот,
што носат мирис на жолти ливчиња,
ме потсетуваат на измамата на времето,
и на неговото непредвидливо минување.

Ветрот шепоти, а јас слушам,
во тишината на моето постоење,
дозволувајќи му да ме носи,
низ прашините на сеќавањето.",330,333,663,5073,25.501070022583008,0.0033530157771908,0.0,0.0,0.0,0.8471763730049133
