author,song_title,styles_to_apply,name_of_new_song,new_song,input_tokens,output_tokens,total_tokens,ms,perplexity,bleu_score,rouge_1,rouge_2,rouge_l,bertscore_f1
Петре М. Андреевски,ПЕТТО ПИСМО,,Алхемија на будалеење,"Алхемија на будалеење

Меѓу будали се пати се,
Нејзиниот нејзин царинарник го влече.
Пред неа пати се,
Оти нејзин мој прв подадува.",6370,96,6466,1879,68.56617736816406,9.372547694059876e-07,0.0,0.0,0.0,0.6961618661880493
Петре М. Андреевски,1903,,Пред будаличиштето,"Пред будаличиштето

Меѓу пати се, што се множат,
Нејзините деца зборуваат пред царинарникот, 
Оти мојот прв поглед
Право ги гледа нив.

Неа ја нема, а прв ред заземаат 
Меѓу будаличиштето, што се множи. 
Пред да дојдам, тие веќе ме сметаат 
За гласник на промените што доаѓаат.",6370,172,6542,3145,57.601539611816406,0.0004032188171181,0.0,0.0,0.0,0.7546424865722656
Петре М. Андреевски,ПРВО ПИСМО,,Будаличината патешка,"Будаличината патешка

Меѓу царинарниците се патат будаличишта,
на неа пред оковите застанаа први.
Нејзиниот поглед ја ископува земјата,
оти мојот мој се мешаше меѓу нив.

Пред мене таа стои, сама пред сè,
будаличината ја носи со себе.
Во нејзиниот оган пред чекан и наковална,
меѓу размислувањата се раѓа некоја надеж.

Оти колку и да ја засенува тоа што е пред,
нејзиниот прв чекор кон светлината ме води.
Прво ќе ја видам, па ќе се сетам, оти
меѓу нас само таа ја знае вистината.",6370,268,6638,3734,37.792030334472656,0.0017827754535695,0.0,0.0,0.0,0.8127325773239136
Петре М. Андреевски,ПЕСНА ЗА НЕЈЗИНАТА ПЕСНА,,Меѓу будаличиштата,"Меѓу будаличиштата

Во царинарниците, меѓу редови будаличишта,
пати се зборовите, мои и нејзини.
Пред оти да поминат, пати се секоја реч,
мојот пат се расипува меѓу пред и неа.

Пред очите ми се губи нејзиниот лик,
а среде тие будали се кршат моите зборови.
Меѓу првите погледи што се загубени,
моите мисли се патат, но не ме водат кај неа.",6370,192,6562,3262,43.4976921081543,0.0012559238893769,0.0,0.0,0.0,0.7224306464195251
Петре М. Андреевски,УШТЕ ЕДНИ ПОДАТОЦИ ЗА ДЕНИЦИЈА,,Будаликот на Царица Неа,"Будаликот на Царица Неа

Будаликот се пати меѓу,
Под пред Царица Неа,
Нејзините зборови пресудно.
Меѓу сè, мојот глас, 
Прв слушнат од оти Царица.",6370,110,6480,2027,61.93292236328125,1.0619977429270845e-07,0.0,0.0,0.0,0.7162120342254639
Петре М. Андреевски,УМИЛКУВАЊЕ,,Будалиште меѓу патениците,"Будалиште меѓу патениците

Будаличиште на царинарници,
Каде се патат меѓу нејзините.
Пред нив стојам, оти ги знам,
Мојот влог е нивниот прв.

Како зрно меѓу песокот,
Стојам пред неа, јас - само мој.
Ми вети оти ќе ме чува,
Но во будаличишта ја нема.

Меѓу други, што се патат,
Нејзиниот живот со мој се спати.
Пред бога и луѓето ми ветува,
Но во царината ја нема.

Така ме остави, меѓу будаличишта,
Да патам сам, без нејзината лишта.
Оти ме изневери, оти се одврати,
Пред нив стојам, а нејзината нема ни на прати.",6370,294,6664,4050,21.68754005432129,0.0011154507746548,0.0,0.0,0.0,0.8590356111526489
Петре М. Андреевски,БОЛЕС ТА НА ДЕНИЦИЈА,,Летописот на будаличиштата,"Летописот на будаличиштата

Меѓу царинарницит' се патат,
будаличишта бројни се множат,
населени со души што жедно
нејзиниот глас среде нив го бараат.

Пред нив, во бугарите што пазат,
насмевки на први се јавуваат,
а слободата нивна е порана
од мрачните треви што ги обгрнуваат.

Оти никој меѓу нив да не страда,
ветувам пред тие души што души бројат,
нејзиното име што живот доведува
да го слават во глас, да го појат.

Мој е овој летопис на ветот,
што будаличишта во молк ги чува,
нејзиното тело да ги напои,
нејзиниот дух да им го подари.",6370,274,6644,4850,40.83818054199219,0.002131746637223,0.0,0.0,0.0,0.7863398790359497
Петре М. Андреевски,Наопачно оро,,Меѓу царинарниците,"Меѓу царинарниците

Меѓу будаличишта, на патот што се пати,
пред нејзиното царинарно око,
мојот глас се издига, први зборови да вати.

Оти, овде меѓу нас, каде што времето стати,
чека нејзиниот поглед, нејзиниот глас,
да ме постави пред прв избор, да ми речи да пати.

И корачам, ко дете пред царинарникот, 
чекајќи нејзина милост, нејзино небо,
раширувајќи ги моите мисли, ко птици,
за да достигнат нејзиното царство, нејзино бебе.",6370,237,6607,3541,31.493146896362305,0.0026348495048119,0.0,0.0,0.0,0.8054773807525635
Петре М. Андреевски,НА ГРОБОТ ОД ДЕНИЦИЈА,,Будаличиште,"Будаличиште

Меѓу трошките на време и простор,
храмот на будаличишта се кади.
Нејзин плач мелодично се кове,
меѓу сеидба и жетва калиберот се пати.

Пред порти на збор, мисли и глед,
оти илузии проколнати ги мојат,
царинарници ги блазнат и подметат,
а невина неа ја претопуваат.

Но, будаличиште ќе се тргне прочу,
оти мојот глас во круг ќе се провје,
да ја наредам нештастната од почу,
нејзиното срце, мојата песна ќе спее.",6370,235,6605,3381,53.01919555664063,0.0004078429111773,0.0,0.0,0.0,0.8536664247512817
Петре М. Андреевски,КОГА ЈА ЉУБЕВ ДЕНИЦИЈА,,Будаличиштето и Неа,"Будаличиштето и Неа

Меѓу будаличишта и нејзини чуда,
Пред нејзин лик што сите лудува,
Оти што нејзе ја мамат, се подмудра.

Мојот прв чекор кон неа ќе биде,
Прв да се најдам меѓу нејзините меѓи,
Да патат се и нејзините зборови пред мене.

Што ќе настане меѓу нас двајца,
Нека се множи како пород божествен,
Нека го нарече народ свој царинарник.",6370,206,6576,3184,32.93020248413086,0.0009684056936713,0.0,0.0,0.0,0.769366443157196
