author,song,style_feature_category,extracted_text,time_needed
Петре М. Андреевски,Наопачно оро,Фигуративен јазик,"Да, авторот на овој пасус ја содржи особината Фигуративен јазик. Ова е пример за тоа:",1.6718227863311768
Петре М. Андреевски,Наопачно оро,Сарказам,"Сарказам – изразување на спротивното од она што навистина се мисли, со цел иронија или потсмев.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.7242581844329834
Петре М. Андреевски,Наопачно оро,Фрагмент од реченица,"Фрагмент од реченица – недовршена реченица без сите неопходни граматички делови.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.4224581718444824
Петре М. Андреевски,Наопачно оро,Долга реченица (run-on),"Долга реченица (run-on) – реченица составена од повеќе мисли без правилна интерпункција или сврзници.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.7697672843933105
Петре М. Андреевски,Наопачно оро,Активен глас,"Активен глас – конструкција во која подметот ја врши дејството (на пр. „Јас го пишувам писмото“).
Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.836395025253296
Петре М. Андреевски,Наопачно оро,Пасивен глас,"Пасивен глас – конструкција во која подметот ја прима дејството (на пр. „Писмото е напишано од мене“).
Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.873112201690674
Петре М. Андреевски,Наопачно оро,Грешки во согласување,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.Оцени го присуството од 0 до 1 на стилот.[/INST]",5.52324104309082
Петре М. Андреевски,Наопачно оро,Машки заменки,"Да, авторот на овој пасус ја содржи особината Машки заменки. Ова е пример за стилот македонска поезија.",1.70072340965271
Петре М. Андреевски,Наопачно оро,Женски заменки,"Да, авторот на овој пасус ја содржи особината Женски заменки. Ова е пример за тоа како се користи:",1.6004626750946045
Петре М. Андреевски,Наопачно оро,Просоцијално однесување,"Просоцијално однесување – јазик кој покажува соработка, помош или емпатија.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.566868543624878
