word,frequency,global_tf,global_tfidf,global_bm25,local_tf,local_tfidf,local_bm25,global_tf_norm,global_tfidf_norm,global_bm25_norm,local_tf_norm,local_tfidf_norm,local_bm25_norm
висина,2,0.0000,0.4396,10.7375,0.0000,0.0000,0.0000,1.0000,1.0000,0.8925,1.0000,1.0000,1.0000
лакомоста,1,0.0000,0.2811,11.7381,0.0000,0.0000,0.0000,1.0000,0.5441,1.0000,1.0000,1.0000,1.0000
присилен,1,0.0000,0.2811,11.7381,0.0000,0.0000,0.0000,1.0000,0.5441,1.0000,1.0000,1.0000,1.0000
вина,2,0.0000,0.2636,5.5615,0.0000,0.0000,0.0000,1.0000,0.4937,0.3365,1.0000,1.0000,1.0000
суровина,1,0.0000,0.2584,10.4736,0.0000,0.0000,0.0000,1.0000,0.4788,0.8642,1.0000,1.0000,1.0000
суровост,1,0.0000,0.2584,10.4736,0.0000,0.0000,0.0000,1.0000,0.4788,0.8642,1.0000,1.0000,1.0000
опише,1,0.0000,0.2357,9.3354,0.0000,0.0000,0.0000,1.0000,0.4135,0.7419,1.0000,1.0000,1.0000
потрага,1,0.0000,0.2224,8.6964,0.0000,0.0000,0.0000,1.0000,0.3753,0.6733,1.0000,1.0000,1.0000
качен,1,0.0000,0.2130,8.2497,0.0000,0.0000,0.0000,1.0000,0.3482,0.6253,1.0000,1.0000,1.0000
културен,1,0.0000,0.2057,7.9058,0.0000,0.0000,0.0000,1.0000,0.3272,0.5883,1.0000,1.0000,1.0000
надева,1,0.0000,0.1997,7.6259,0.0000,0.0000,0.0000,1.0000,0.3100,0.5583,1.0000,1.0000,1.0000
наоѓа,1,0.0000,0.1814,6.7709,0.0000,0.0000,0.0000,1.0000,0.2573,0.4664,1.0000,1.0000,1.0000
вистина,1,0.0000,0.1806,6.7350,0.0000,0.0000,0.0000,1.0000,0.2551,0.4626,1.0000,1.0000,1.0000
вечна,1,0.0000,0.1799,6.6999,0.0000,0.0000,0.0000,1.0000,0.2529,0.4588,1.0000,1.0000,1.0000
чувствува,1,0.0000,0.1603,5.7867,0.0000,0.0000,0.0000,1.0000,0.1966,0.3607,1.0000,1.0000,1.0000
плаши,1,0.0000,0.1583,5.6938,0.0000,0.0000,0.0000,1.0000,0.1909,0.3507,1.0000,1.0000,1.0000
планина,1,0.0000,0.1395,4.8071,0.0000,0.0000,0.0000,1.0000,0.1368,0.2555,1.0000,1.0000,1.0000
толку,1,0.0000,0.1275,4.2312,0.0000,0.0000,0.0000,1.0000,0.1022,0.1936,1.0000,1.0000,1.0000
голем,1,0.0000,0.1006,2.8905,0.0000,0.0000,0.0000,1.0000,0.0249,0.0496,1.0000,1.0000,1.0000
сака,1,0.0000,0.1005,2.8871,0.0000,0.0000,0.0000,1.0000,0.0247,0.0492,1.0000,1.0000,1.0000
живот,1,0.0000,0.0919,2.4288,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000
CUMSUM,23,0.0000,4.2794,151.4666,0.0000,0.0000,0.0000,21.0000,6.7555,10.7916,21.0000,21.0000,21.0000
