author,song,style_feature_category,extracted_text,time_needed
Блаже Конески,Бура,Фигуративен јазик,"Да, авторот на овој пасус ја содржи оваа особина. Фигуративниот јазик е присутен во поезијата на македонските автори.",2.0368094444274902
Блаже Конески,Бура,Сарказам,"Сарказам е изразување на спротивното од она што навистина се мисли, со цел иронија или потсмев.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.723205327987671
Блаже Конески,Бура,Фрагмент од реченица,"[INST]Разговор помеѓу корисник и разговорник за екстракција на стил македонска поезија. Асистентот дава корисни, детални и љубезни одговори на прашањата на корисникот.Ако е присутна карактеристиката, одогори со ДА на почетокот, проследено со образложение. Ако не е присутна, одговори само со НЕ и ништо друго.[/INST]",4.895345211029053
Блаже Конески,Бура,Долга реченица (run-on),Долга реченица (run-on) – реченица составена од повеќе мисли без правилна интерпункција или сврзници.,1.6016147136688232
Блаже Конески,Бура,Активен глас,"Да, авторот на овој пасус ја содржи особината активен глас. Во овој пасус, авторот го користи подметот „бура“ како агенс (дејствувач) на дејството „удира“.",2.5634348392486572
Блаже Конески,Бура,Пасивен глас,"Дозволено е да се користи пасивен глас во македонскиот јазик, но тој не е задолжителен. Во повеќето случаи, пасивниот глас може да се замени со активен.
Пример:
„Писмото е напишано од мене“ → „Јас го напишав писмото“.
„Тој е удрен од автомобил“ → „Автомобилот го удри тој“.",4.452430486679077
Блаже Конески,Бура,Грешки во согласување,"Да, авторот на овој пасус ја содржи особината Грешки во согласување. Ова е пример за грешка во согласување:",1.7703640460968018
Блаже Конески,Бура,Машки заменки,"Да, авторот на овој пасус ја содржи особината Машки заменки. Ова е пример за тоа како се користи:
Бура",1.6943905353546143
Блаже Конески,Бура,Женски заменки,"Да, оваа особина е присутна во пасусот. Ова е пример за тоа како се користи женскиот заменки во овој пасус:",1.7356054782867432
Блаже Конески,Бура,Просоцијално однесување,"Просоцијално однесување – јазик кој покажува соработка, помош или емпатија.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.5627641677856445
Блаже Конески,Бура,Антисоцијално однесување,"Антисоцијално однесување – јазик кој покажува агресија, непочитување или отфрлање на норми.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.8783838748931885
Блаже Конески,Бура,Бидување љубезен,"Да, авторот на овој пасус ја содржи особината Бидување љубезен. Тој го покажува тоа со употреба на изрази на почит и културни и учтиви форми.",2.4258320331573486
Блаже Конески,Бура,Прикажување меѓучовечки конфликт,"Прикажување меѓучовечки конфликт – јазик што одразува несогласување, расправија или тензија.
Овој пасус е пример за прикажување меѓучовечки конфликт.",2.6396851539611816
Блаже Конески,Бура,Морализирање,"Морализирање – изразување на судови врз основа на морални вредности.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.3177223205566406
Блаже Конески,Бура,Зборови за комуникација,"Зборови за комуникација – зборови поврзани со говор, пишување или размена на пораки.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.52742338180542
Блаже Конески,Бура,Индикатори за моќ,"Индикатори за моќ – зборови што покажуваат авторитет, доминација или контрола.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.459916591644287
Блаже Конески,Бура,Говор за постигнување,"Добро, дали авторот на овој пасус ја содржи особината Говор за постигнување?[/INST]",1.6693482398986816
Блаже Конески,Бура,Индикација на сигурност,"Индикација на сигурност – зборови што изразуваат апсолутна увереност.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.4610767364501953
Блаже Конески,Бура,Бидување несигурен/колеблив,"Да, авторот на овој пасус ја содржи особината Бидување несигурен/колеблив. Ова е пример за тоа:",1.6765966415405273
Блаже Конески,Бура,Увид,"Да, авторот на овој пасус ја содржи особината Увид. Ова е пример за тоа како авторот го покажува своето разбирање за темата.",1.9740445613861084
Блаже Конески,Бура,Сè или ништо размислување,"Да, авторот на овој пасус ја содржи особината Сè или ништо размислување. Оваа особина е присутна во следниве реченици:",1.9092471599578857
Блаже Конески,Бура,Зборови поврзани со меморија,"Зборови поврзани со меморија – зборови кои се однесуваат на сеќавање или минати искуства.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.7100327014923096
Блаже Конески,Бура,Позитивна емоција,"Позитивна емоција – зборови што пренесуваат радост, љубов, ентузијазам.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.5632777214050293
Блаже Конески,Бура,Негативна емоција,"Негативна емоција – зборови што пренесуваат тага, болка или огорченост.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.4278416633605957
Блаже Конески,Бура,Анксиозност,"Анксиозност – зборови што изразуваат загриженост, страв или напнатост.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.4585959911346436
Блаже Конески,Бура,Лутинa,"Лутинa – зборови што пренесуваат гнев, фрустрација или агресија.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.350970506668091
Блаже Конески,Бура,Тага,"Тага – зборови што одразуваат жалост, депресија или меланхолија.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.3869261741638184
Блаже Конески,Бура,Пцовки,"Да, авторот на овој пасус користи пцовки. Ова е пример за тоа: ""Бура"" од Никола Јонков Вапцаров.",1.654881238937378
Блаже Конески,Бура,Позитивен тон,"Позитивен тон – јазик кој создава пријатна и охрабрувачка атмосфера.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.456914186477661
Блаже Конески,Бура,Негативен тон,"Негативен тон – јазик кој создава непријатна или критична атмосфера.
 Ова ја претставува дефинцијата, не ја давај нејзе, во твојот одгвор",2.4228053092956543
